mode,step,loss,gradient_norm,update_norm,correction_loss,loss_std,moment_error_initial,moment_error_training,observed_loss,physical_energy_initial,physical_energy_training,physical_loss,preprojection_loss,projection_converged,projection_rank_deficient,relaxation_converged,training_correction_rms,training_projection_used,training_relaxation_used
base,0,10.405926827830337,4.933756716015639,0.0901036459134769,0.0,3.2308714741079405,0.10074115369939328,0.10074115369939328,10.405917746414161,9.081416175795939e-05,9.081416175795939e-05,9.08141617579594e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,1,10.346734695662397,4.975091586550241,0.08790491672946622,0.0,3.237904029342087,0.10043347222734972,0.10043347222734972,10.346725465018292,9.230644105411853e-05,9.230644105411853e-05,9.230644105411854e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,2,10.287279305625121,5.043832003520786,0.08677733700800938,0.0,3.2446053930199765,0.1001235861126509,0.1001235861126509,10.287269921312378,9.384312742991376e-05,9.384312742991376e-05,9.384312742991377e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,3,10.22707129920708,5.143791649320828,0.08585398297194918,0.0,3.2508909145820626,0.09980902914400397,0.09980902914400397,10.227061755683618,9.543523461391351e-05,9.543523461391351e-05,9.543523461391353e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,4,10.165477718740247,5.27691260825593,0.08495315129120047,0.0,3.256796013417369,0.09948645748616246,0.09948645748616246,10.165468008677765,9.710062481684318e-05,9.710062481684318e-05,9.710062481684318e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,5,10.10150794731483,5.447612360101331,0.08427407082645465,0.0,3.26257895785677,0.0991504285728475,0.0991504285728475,10.10149806166624,9.885648590189523e-05,9.885648590189523e-05,9.885648590189524e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,6,10.033963681604721,5.6587527694224,0.08380736191116095,0.0,3.268511660629404,0.09879430932517602,0.09879430932517602,10.03395360757617,0.00010074028552452678,0.00010074028552452678,1.007402855245268e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,7,9.96159945920453,5.913149863875867,0.08323044072071711,0.0,3.2749199252218912,0.09841104179362292,0.09841104179362292,9.961589180145577,0.00010279058952949992,0.00010279058952949992,1.0279058952949994e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,8,9.883316160507343,6.213773109794283,0.0829748676845001,0.0,3.282522723252573,0.09799382215575317,0.09799382215575317,9.88330565756549,0.0001050294185170844,0.0001050294185170844,1.050294185170844e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,9,9.797637332638798,6.566484685779494,0.08275158590516785,0.0,3.291594226780315,0.09753405524814474,0.09753405524814474,9.797626581385321,0.00010751253476942707,0.00010751253476942707,1.0751253476942707e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,10,9.703168717109923,6.9749895436533125,0.08284381102042115,0.0,3.3025962659279946,0.09702313958278232,0.09702313958278232,9.703157688119717,0.00011028990206530668,0.00011028990206530668,1.1028990206530668e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,11,9.598396245139108,7.44570434666753,0.08307945201297776,0.0,3.3160167516933616,0.09645146900098414,0.09645146900098414,9.598384902130874,0.00011343008233804537,0.00011343008233804537,1.1343008233804537e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,12,9.481841231932158,7.983364328740656,0.08336987506042162,0.0,3.3322601105163776,0.0958092619055583,0.0958092619055583,9.481829532336466,0.0001169959569372709,0.0001169959569372709,1.1699595693727092e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,13,9.351763104720378,8.59330574314628,0.08372554166896284,0.0,3.3518323216463455,0.09508465663421109,0.09508465663421109,9.351750997389827,0.000121073305509146,0.000121073305509146,1.2107330550914602e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,14,9.206477903163403,9.277427287663958,0.0841590976972113,0.0,3.375188776391085,0.09426538266981119,0.09426538266981119,9.206465328221551,0.00012574941850842573,0.00012574941850842573,1.2574941850842574e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,15,9.044064037604109,10.038765292508703,0.0,0.0,3.40293072838014,0.09333671471039728,0.09333671471039728,9.04405092653376,0.00013111070349040312,0.00013111070349040312,1.3111070349040312e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,0,10.405926827830337,4.933756716015639,0.0901036459134769,0.0,3.2308714741079405,0.10074115369939328,0.10074115369939328,10.405917746414161,9.081416175795939e-05,9.081416175795939e-05,9.08141617579594e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,1,10.346734695662397,4.975091586550241,0.08790491672946622,0.0,3.237904029342087,0.10043347222734972,0.10043347222734972,10.346725465018292,9.230644105411853e-05,9.230644105411853e-05,9.230644105411854e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,2,10.287279305625121,5.043832003520786,0.08677733700800938,0.0,3.2446053930199765,0.1001235861126509,0.1001235861126509,10.287269921312378,9.384312742991376e-05,9.384312742991376e-05,9.384312742991377e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,3,10.22707129920708,5.143791649320828,0.08585398297194918,0.0,3.2508909145820626,0.09980902914400397,0.09980902914400397,10.227061755683618,9.543523461391351e-05,9.543523461391351e-05,9.543523461391353e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,4,10.165477718740247,5.27691260825593,0.08495315129120047,0.0,3.256796013417369,0.09948645748616246,0.09948645748616246,10.165468008677765,9.710062481684318e-05,9.710062481684318e-05,9.710062481684318e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,5,10.10150794731483,5.447612360101331,0.08427407082645465,0.0,3.26257895785677,0.0991504285728475,0.0991504285728475,10.10149806166624,9.885648590189523e-05,9.885648590189523e-05,9.885648590189524e-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,6,10.033963681604721,5.6587527694224,0.08380736191116095,0.0,3.268511660629404,0.09879430932517602,0.09879430932517602,10.03395360757617,0.00010074028552452678,0.00010074028552452678,1.007402855245268e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,7,9.96159945920453,5.913149863875867,0.08323044072071711,0.0,3.2749199252218912,0.09841104179362292,0.09841104179362292,9.961589180145577,0.00010279058952949992,0.00010279058952949992,1.0279058952949994e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,8,9.883316160507343,6.213773109794283,0.0829748676845001,0.0,3.282522723252573,0.09799382215575317,0.09799382215575317,9.88330565756549,0.0001050294185170844,0.0001050294185170844,1.050294185170844e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,9,9.797637332638798,6.566484685779494,0.08275158590516785,0.0,3.291594226780315,0.09753405524814474,0.09753405524814474,9.797626581385321,0.00010751253476942707,0.00010751253476942707,1.0751253476942707e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,10,9.703168717109923,6.9749895436533125,0.08284381102042115,0.0,3.3025962659279946,0.09702313958278232,0.09702313958278232,9.703157688119717,0.00011028990206530668,0.00011028990206530668,1.1028990206530668e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,11,9.598396245139108,7.44570434666753,0.08307945201297776,0.0,3.3160167516933616,0.09645146900098414,0.09645146900098414,9.598384902130874,0.00011343008233804537,0.00011343008233804537,1.1343008233804537e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,12,9.481841231932158,7.983364328740656,0.08336987506042162,0.0,3.3322601105163776,0.0958092619055583,0.0958092619055583,9.481829532336466,0.0001169959569372709,0.0001169959569372709,1.1699595693727092e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,13,9.351763104720378,8.59330574314628,0.08372554166896284,0.0,3.3518323216463455,0.09508465663421109,0.09508465663421109,9.351750997389827,0.000121073305509146,0.000121073305509146,1.2107330550914602e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,14,9.206477903163403,9.277427287663958,0.0841590976972113,0.0,3.375188776391085,0.09426538266981119,0.09426538266981119,9.206465328221551,0.00012574941850842573,0.00012574941850842573,1.2574941850842574e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,15,9.044064037604109,10.038765292508703,0.0,0.0,3.40293072838014,0.09333671471039728,0.09333671471039728,9.04405092653376,0.00013111070349040312,0.00013111070349040312,1.3111070349040312e-05,0.0,1.0,0.0,1.0,0.0,0.0,0.0
relax_e2e,0,10.408238039014229,4.9284056420904525,0.090103345507609,1.9856972781039563e-06,3.228560262924049,0.10074115369939328,0.10075478267646842,10.408227020365176,9.081416175795939e-05,9.032951775011365e-05,9.032951775011366e-06,0.0,1.0,0.0,1.0,3.150950077440102e-05,0.0,1.0
relax_e2e,1,10.349118916136538,4.969707364259749,0.08791223239033315,2.075337695708183e-06,3.235519797515882,0.10043347223388185,0.1004475968292609,10.349107660802932,9.230644041478764e-05,9.179995908376817e-05,9.179995908376818e-06,0.0,1.0,0.0,1.0,3.221286773719613e-05,0.0,1.0
relax_e2e,2,10.290881223728945,5.035868314710602,0.08677610615139719,4.637568927059436e-06,3.240998096552147,0.10012358976513638,0.10014501820471894,10.290867278997016,9.384239725570538e-05,9.307163002156753e-05,9.307163002156753e-06,0.0,1.0,0.0,1.0,4.815375856077818e-05,0.0,1.0
relax_e2e,3,10.23078359656198,5.135679577897407,0.08584685369054008,4.84907532008094e-06,3.247163516848842,0.09980903381859407,0.09983123044062177,10.230769284752153,9.54332046144869e-05,9.462734507092972e-05,9.462734507092974e-06,0.0,1.0,0.0,1.0,4.9239594434159076e-05,0.0,1.0
relax_e2e,4,10.1693008930794,5.268627477454535,0.08496380937728053,5.07384687121084e-06,3.252940775622731,0.0994864503126078,0.09950944668608458,10.169286193868906,9.709678509548158e-05,9.62536362148959e-05,9.625363621489591e-06,0.0,1.0,0.0,1.0,5.036788099181283e-05,0.0,1.0
relax_e2e,5,10.106633006252105,5.436504675519426,0.08427937111048053,8.971874769483788e-06,3.2573981302399555,0.09915036877349591,0.0991813980101684,10.106614263527476,9.885076081667797e-05,9.770849860735974e-05,9.770849860735974e-06,0.0,1.0,0.0,1.0,6.697714076266539e-05,0.0,1.0
relax_e2e,6,10.039228044777575,5.647328388757715,0.08380954884585833,9.404392838772764e-06,3.2631575999309534,0.09879411757600805,0.09882631979526998,10.039208686761544,0.00010073348061758719,9.953623192676984e-05,9.953623192676985e-06,0.0,1.0,0.0,1.0,6.85725631676867e-05,0.0,1.0
relax_e2e,7,9.968214046365528,5.8985453684902005,0.08323529486636884,1.4667625253575725e-05,3.2681740436769466,0.09841063001328285,0.09845149413623626,9.968189253039327,0.00010278302974792692,0.00010125700947024422,1.0125700947024423e-05,0.0,1.0,0.0,1.0,8.563768228290547e-05,0.0,1.0
relax_e2e,8,9.890111503012857,6.19852237462204,0.08298307987671626,1.545558815626614e-05,3.275540795248761,0.09799308746428978,0.09803569360878159,9.890085706086081,0.00010502129574160805,0.00010341338618884347,1.0341338618884348e-05,0.0,1.0,0.0,1.0,8.790787267436899e-05,0.0,1.0
relax_e2e,9,9.804624004971997,6.550436980289501,0.08276076698443267,1.635202589763317e-05,3.28435358699417,0.09753289474872909,0.0975774725792273,9.804597072681233,0.0001075037149967447,0.00010580264864342597,1.0580264864342597e-05,0.0,1.0,0.0,1.0,9.042130804637028e-05,0.0,1.0
relax_e2e,10,9.711655360883858,6.954649590458409,0.08285118383346914,2.3777033458020594e-05,3.2937755760600003,0.09702143589022515,0.0970763067555506,9.711620766352603,0.00011028067825235912,0.00010817497796644368,1.0817497796644368e-05,0.0,1.0,0.0,1.0,0.00010903447495636551,0.0,1.0
relax_e2e,11,9.607176248224464,7.423974417742281,0.08308477203910453,2.5420690802980178e-05,3.3068059069279747,0.09644912397175244,0.0965070672234715,9.607139710643658,0.00011342006178733849,0.00011116890003628867,1.1116890003628867e-05,0.0,1.0,0.0,1.0,0.00011274016764884684,0.0,1.0
relax_e2e,12,9.492327198762704,7.955066527419275,0.08337101101923397,3.538196645805605e-05,3.3212469504181747,0.09580625373259097,0.0958763534632033,9.492280392655415,0.00011698513246848511,0.00011424140830185652,1.1424140830185654e-05,0.0,1.0,0.0,1.0,0.00013300745553925926,0.0,1.0
relax_e2e,13,9.36272365639253,8.56174518686228,0.08372302605043144,3.836986224212916e-05,3.340230148540854,0.09508079318644336,0.09515574121150203,9.362673477921607,0.00012106146110306368,0.00011808608681689729,1.180860868168973e-05,0.0,1.0,0.0,1.0,0.00013850967879922536,0.0,1.0
relax_e2e,14,9.221367456266002,9.230846662226577,0.08414883575939884,5.255307090093639e-05,3.3633672553861946,0.09426059178181039,0.0943592284674302,9.221302713634236,0.00012573570759022,0.00012189560864344276,1.2189560864344278e-05,0.0,1.0,0.0,1.0,0.0001768803300543249,0.0,1.0
relax_e2e,15,9.063207889363492,9.973173369546709,0.0,7.110829698631111e-05,3.390762184383277,0.09333081680114824,0.09345595961116843,9.063124156430387,0.0001310922145708934,0.0001262463611640349,1.2624636116403492e-05,0.0,1.0,0.0,1.0,0.00021774990518876007,0.0,1.0
full_e2e,0,4.0840575512564214,3.422358426084318,0.0901016693941852,4.0836410129061695,0.7923084122026485,0.10074115369939328,0.00011480844956674084,2.253599394098349e-05,9.081416175795939e-05,0.003940023563113476,0.00039400235631134763,0.0,0.5,0.0,1.0,0.06359920131448323,1.0,1.0
full_e2e,1,4.032312732167286,3.112238319319474,0.08245987795909888,4.031905363334516,0.7798629851137899,0.10044481496419791,9.858701418265183e-05,1.6522555211318027e-05,9.225069971069953e-05,0.003908462775586455,0.0003908462775586455,0.0,0.5,0.0,1.0,0.0631969228473711,1.0,1.0
full_e2e,2,3.9833546259856036,3.05546016091834,0.08068096873183954,3.982968549974346,0.7659882672589473,0.10014698796138821,1.5654283261725697e-05,2.455355791983169e-07,9.371590544068261e-05,0.0038583047567798626,0.0003858304756779863,0.0,1.0,0.0,1.0,0.06281566250215348,1.0,1.0
full_e2e,3,3.94684908414902,3.0346445165076035,0.08028642044210106,3.9464629663173207,0.7680086647591535,0.09984676726932223,9.498629069617232e-06,9.914368011866875e-08,9.520479934151464e-05,0.0038601868801900934,0.00038601868801900935,0.0,1.0,0.0,1.0,0.06252000788887298,1.0,1.0
full_e2e,4,3.9722320957151815,3.995366250269047,0.07412305674000928,3.9718195499497346,0.8304195751106134,0.09954104412618023,0.00011186673195226462,2.1211642248809152e-05,9.672486762865785e-05,0.00391334123198194,0.00039133412319819396,0.0,0.5,0.0,1.0,0.06267333358512356,1.0,1.0
full_e2e,5,3.9024676905190003,3.201893852215133,0.07495974299839132,3.9020601837487985,0.7929337402494085,0.09922990684787866,9.696433814544665e-05,1.5689238347685215e-05,9.837650288993444e-05,0.003918175318541797,0.00039181753185417976,0.0,0.5,0.0,1.0,0.06213991879067571,1.0,1.0
full_e2e,6,3.860032736707582,3.230176115551066,0.07551556564301301,3.8596280575448394,0.7818184772319989,0.09890022627904163,9.10393767767263e-05,1.4368982701442258e-05,0.0001001349651793483,0.0039031018004078637,0.00039031018004078637,0.0,0.5,0.0,1.0,0.06180321765105487,1.0,1.0
full_e2e,7,3.806737624561775,3.2027565486441403,0.07585369170523486,3.806351416078109,0.7656568663547112,0.09854726221936119,7.028756070060356e-06,7.560112059717332e-08,0.00010201885620633524,0.00386132882545355,0.000386132882545355,0.0,1.0,0.0,1.0,0.0613796773301564,1.0,1.0
