drifter_id,gate,crossing_time,crossing_lon,crossing_lat,horizon_days,completeness_class,coverage_fraction,max_gap_hours,drogue_class,drogue_lost_date_metadata,eligible,exclusion_reasons,year,month,season,decade
8909320,cape_hatteras_A,1990-01-22T00:00:00,-74.29899999999998,36.461,30,materially_incomplete,0.8760330578512396,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1990,1,DJF,1990s
9012737,cape_hatteras_A,1990-07-01T18:00:00,-74.32799999999997,36.494,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,7,JJA,1990s
9012740,cape_hatteras_A,1990-07-05T18:00:00,-74.23899999999998,36.497,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,7,JJA,1990s
9012741,cape_hatteras_A,1990-07-06T12:00:00,-73.96100000000001,36.495,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,7,JJA,1990s
9012751,cape_hatteras_A,1990-09-23T06:00:00,-73.981,36.5,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,9,SON,1990s
9012744,cape_hatteras_A,1990-09-27T18:00:00,-74.40899999999999,36.495,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,9,SON,1990s
9012752,cape_hatteras_A,1990-11-07T12:00:00,-74.207,36.422,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,11,SON,1990s
9012753,cape_hatteras_A,1990-11-04T06:00:00,-74.17899999999997,36.417,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,11,SON,1990s
9012743,cape_hatteras_A,1990-11-18T06:00:00,-74.39999999999998,36.475,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,11,SON,1990s
9012768,cape_hatteras_A,1990-12-09T12:00:00,-74.52499999999998,36.494,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1990,12,DJF,1990s
9122735,cape_hatteras_A,1991-06-13T12:00:00,-74.80200000000002,36.461,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1991,6,JJA,1990s
7712329,cape_hatteras_A,1993-09-24T00:00:00,-73.51999999999998,34.182,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1993,9,SON,1990s
7700463,cape_hatteras_A,1993-12-02T00:00:00,-73.51799999999997,35.164,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1993,12,DJF,1990s
7700139,cape_hatteras_A,1994-05-26T00:00:00,-73.50599999999997,34.014,30,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1994,5,MAM,1990s
7700138,cape_hatteras_A,1994-05-27T12:00:00,-73.54599999999999,34.007,30,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1994,5,MAM,1990s
7720102,cape_hatteras_A,1994-10-07T00:00:00,-73.50599999999997,35.226,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1994,10,SON,1990s
9421089,cape_hatteras_A,1995-02-01T12:00:00,-73.57400000000001,33.506,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1995,2,DJF,1990s
9217772,cape_hatteras_A,1998-07-11T12:00:00,-75.59899999999999,33.591,30,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1998,7,JJA,1990s
