drifter_id,gate,crossing_time,crossing_lon,crossing_lat,horizon_days,completeness_class,coverage_fraction,max_gap_hours,drogue_class,drogue_lost_date_metadata,eligible,exclusion_reasons,year,month,season,decade
7712329,gulfstream_downstream_A,1993-10-26T12:00:00,-76.52499999999998,31.822,45,materially_incomplete,0.049723756906077346,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1993,10,SON,1990s
7712327,gulfstream_downstream_A,1993-06-08T12:00:00,-76.505,30.205,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1993,6,JJA,1990s
7700139,gulfstream_downstream_A,1994-03-24T18:00:00,-77.04899999999998,29.021,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1994,3,MAM,1990s
9217772,gulfstream_downstream_A,1997-10-09T06:00:00,-76.50400000000002,31.549,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1997,10,SON,1990s
9423487,gulfstream_downstream_A,1995-06-14T06:00:00,-78.88499999999999,30.986,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1995,6,JJA,1990s
9423545,gulfstream_downstream_A,1997-02-28T06:00:00,-77.17399999999998,29.019,45,materially_incomplete,0.9226519337016574,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1997,2,DJF,1990s
9423542,gulfstream_downstream_A,1996-08-06T06:00:00,-77.76600000000002,29.009,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1996,8,JJA,1990s
9423579,gulfstream_downstream_A,1996-11-15T00:00:00,-76.54199999999997,29.094,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,11,SON,1990s
9526398,gulfstream_downstream_A,1996-10-08T12:00:00,-78.89699999999999,31.759,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,10,SON,1990s
9423547,gulfstream_downstream_A,1998-08-29T12:00:00,-76.56200000000001,31.352,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,8,JJA,1990s
9729810,gulfstream_downstream_A,1998-08-25T00:00:00,-78.916,31.592,45,materially_incomplete,0.022099447513812154,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1998,8,JJA,1990s
9730659,gulfstream_downstream_A,1999-04-26T00:00:00,-78.97899999999998,31.613,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1999,4,MAM,1990s
9525721,gulfstream_downstream_A,1998-06-21T18:00:00,-78.97399999999999,30.925,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,6,JJA,1990s
9525752,gulfstream_downstream_A,1998-12-21T12:00:00,-78.76999999999998,31.83,45,materially_incomplete,0.39779005524861877,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1998,12,DJF,1990s
9729813,gulfstream_downstream_A,1999-11-24T00:00:00,-76.531,31.518,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
9728865,gulfstream_downstream_A,1999-08-29T00:00:00,-77.12700000000001,29.046,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,1999,8,JJA,1990s
9730688,gulfstream_downstream_A,1999-03-03T18:00:00,-78.97699999999998,30.43,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,1999,3,MAM,1990s
9821159,gulfstream_downstream_A,1999-09-10T00:00:00,-78.93099999999998,31.862,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,9,SON,1990s
9809634,gulfstream_downstream_A,2000-07-15T06:00:00,-78.01499999999999,29.007,45,materially_incomplete,0.46408839779005523,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,7,JJA,2000s
9809635,gulfstream_downstream_A,2000-04-02T18:00:00,-78.92599999999999,31.848,45,materially_incomplete,1.0,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,4,MAM,2000s
9812046,gulfstream_downstream_A,1999-04-14T06:00:00,-78.976,31.861,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,4,MAM,1990s
9812989,gulfstream_downstream_A,2000-01-09T06:00:00,-77.60700000000003,29.012,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
9714827,gulfstream_downstream_A,1999-09-03T06:00:00,-78.96300000000002,31.687,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,9,SON,1990s
17300,gulfstream_downstream_A,1999-12-16T18:00:00,-78.93,31.971,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
20008,gulfstream_downstream_A,1999-11-24T18:00:00,-78.75299999999999,32.0,45,materially_incomplete,0.0055248618784530384,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
