drifter_id,gate,crossing_time,crossing_lon,crossing_lat,horizon_days,completeness_class,coverage_fraction,max_gap_hours,drogue_class,drogue_lost_date_metadata,eligible,exclusion_reasons,year,month,season,decade
9526392,yucatan_A,1996-11-13T18:00:00,-86.73500000000001,20.066,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,11,SON,1990s
9526398,yucatan_A,1996-08-21T12:00:00,-85.51799999999997,20.014,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,8,JJA,1990s
9730622,yucatan_A,1998-09-24T12:00:00,-86.10000000000002,20.002,45,materially_incomplete,1.0,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1998,9,SON,1990s
9729810,yucatan_A,1998-07-23T12:00:00,-86.36700000000002,20.034,45,materially_incomplete,0.7403314917127072,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1998,7,JJA,1990s
9730659,yucatan_A,1998-07-10T18:00:00,-85.94900000000001,20.09,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,7,JJA,1990s
9619804,yucatan_A,1998-11-20T00:00:00,-87.07400000000001,20.072,45,materially_incomplete,0.06629834254143646,nan,not_assessed_incomplete,missing_or_zero,False,not_exact_6_hour;not_assessed_incomplete,1998,11,SON,1990s
9730661,yucatan_A,1998-07-15T06:00:00,-86.82299999999998,20.146,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,7,JJA,1990s
9525752,yucatan_A,1998-11-17T12:00:00,-86.024,20.033,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,11,SON,1990s
9821142,yucatan_A,1999-01-28T12:00:00,-86.493,20.136,45,materially_incomplete,0.36464088397790057,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,1,DJF,1990s
9730688,yucatan_A,1999-01-29T18:00:00,-86.93900000000002,20.117,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,1999,1,DJF,1990s
9821159,yucatan_A,1999-05-13T06:00:00,-86.94400000000002,20.014,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,5,MAM,1990s
9823472,yucatan_A,1999-11-12T00:00:00,-85.09699999999998,20.756,45,materially_incomplete,0.5193370165745856,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
9825579,yucatan_A,1999-07-16T06:00:00,-85.02800000000002,21.642,45,materially_incomplete,0.9281767955801105,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,7,JJA,1990s
9812231,yucatan_A,1999-06-16T06:00:00,-87.17099999999999,20.171,45,materially_incomplete,0.011049723756906077,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,6,JJA,1990s
9816007,yucatan_A,1999-03-20T18:00:00,-87.31599999999997,20.071,45,materially_incomplete,0.7182320441988951,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,3,MAM,1990s
9817802,yucatan_A,1999-01-29T12:00:00,-85.06599999999997,20.486,45,materially_incomplete,0.7348066298342542,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,1,DJF,1990s
9817803,yucatan_A,1999-01-22T12:00:00,-86.94200000000001,20.026,45,materially_incomplete,0.49171270718232046,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,1,DJF,1990s
9815989,yucatan_A,2000-02-18T00:00:00,-87.132,20.063,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2000,2,DJF,2000s
9809635,yucatan_A,1999-12-27T18:00:00,-86.68400000000003,20.075,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
9802862,yucatan_A,2000-02-23T00:00:00,-86.488,20.032,45,materially_incomplete,0.16574585635359115,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,2,DJF,2000s
9804532,yucatan_A,1999-10-21T12:00:00,-87.19999999999999,20.003,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,10,SON,1990s
20009,yucatan_A,1999-11-11T06:00:00,-85.03899999999999,20.572,45,materially_incomplete,0.44751381215469616,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
17300,yucatan_A,1999-11-21T12:00:00,-86.832,20.074,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
9819621,yucatan_A,2000-03-01T18:00:00,-86.666,20.07,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,3,MAM,2000s
9817583,yucatan_A,1999-11-07T00:00:00,-87.24900000000002,20.042,45,materially_incomplete,0.15469613259668508,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
20008,yucatan_A,1999-11-03T06:00:00,-86.99099999999999,20.015,45,materially_incomplete,0.48066298342541436,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
17578,yucatan_A,2000-04-07T00:00:00,-85.01499999999999,20.292,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,4,MAM,2000s
19622,yucatan_A,1999-11-06T06:00:00,-86.60300000000001,20.133,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
20007,yucatan_A,1999-11-04T18:00:00,-87.101,20.078,45,materially_incomplete,0.03314917127071823,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
18747,yucatan_A,1999-11-13T18:00:00,-87.36399999999998,20.048,45,materially_incomplete,0.08287292817679558,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
19620,yucatan_A,1999-11-21T12:00:00,-85.97199999999998,20.021,45,materially_incomplete,0.4696132596685083,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
9817579,yucatan_A,2000-07-29T00:00:00,-85.007,21.15,45,materially_incomplete,0.56353591160221,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,7,JJA,2000s
9817581,yucatan_A,2000-04-28T06:00:00,-85.04700000000003,20.576,45,materially_incomplete,0.850828729281768,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,4,MAM,2000s
20027,yucatan_A,1999-11-13T18:00:00,-85.12799999999999,20.617,45,exact_6_hour,1.0,6.0,lost_during_horizon,dated,False,lost_during_horizon,1999,11,SON,1990s
9818748,yucatan_A,2000-01-28T18:00:00,-86.12799999999999,20.04,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
17580,yucatan_A,1999-11-17T18:00:00,-87.02999999999997,20.057,45,materially_incomplete,0.32044198895027626,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
17503,yucatan_A,2000-01-31T00:00:00,-85.916,20.001,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
17493,yucatan_A,1999-11-15T00:00:00,-85.041,21.229,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
9818773,yucatan_A,2000-01-27T12:00:00,-85.64699999999999,20.033,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
19465,yucatan_A,2000-01-19T12:00:00,-85.291,20.01,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
9819623,yucatan_A,2000-07-25T18:00:00,-85.017,21.26,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,7,JJA,2000s
19464,yucatan_A,1999-12-13T12:00:00,-85.03500000000003,20.112,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
9819463,yucatan_A,2000-01-26T18:00:00,-86.45100000000002,20.144,45,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,2000,1,DJF,2000s
9817495,yucatan_A,2000-01-05T12:00:00,-86.30200000000002,20.039,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
19466,yucatan_A,1999-12-25T06:00:00,-85.007,20.215,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
9918751,yucatan_A,2000-06-11T12:00:00,-86.88600000000002,20.0,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,6,JJA,2000s
18809,yucatan_A,2000-03-18T12:00:00,-87.18299999999999,20.125,45,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,3,MAM,2000s
18909,yucatan_A,2001-04-07T18:00:00,-85.50799999999998,20.035,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2001,4,MAM,2000s
19118,yucatan_A,2001-08-30T00:00:00,-86.63400000000001,20.225,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2001,8,JJA,2000s
29217,yucatan_A,2003-02-20T06:00:00,-86.94400000000002,20.124,45,materially_incomplete,0.016574585635359115,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2003,2,DJF,2000s
29156,yucatan_A,2002-06-08T06:00:00,-85.99799999999999,20.005,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2002,6,JJA,2000s
34750,yucatan_A,2004-02-04T18:00:00,-86.548,20.071,45,materially_incomplete,0.8121546961325967,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2004,2,DJF,2000s
40430,yucatan_A,2004-03-21T12:00:00,-86.858,20.06,45,exact_6_hour,1.0,6.0,lost_during_horizon,dated,False,lost_during_horizon,2004,3,MAM,2000s
2447613,yucatan_A,2005-01-07T18:00:00,-85.043,21.604,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2005,1,DJF,2000s
2444070,yucatan_A,2006-01-10T06:00:00,-87.02100000000002,20.033,45,materially_incomplete,0.3314917127071823,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2006,1,DJF,2000s
43583,yucatan_A,2006-03-24T00:00:00,-87.22699999999998,20.077,45,materially_incomplete,0.03314917127071823,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2006,3,MAM,2000s
44000,yucatan_A,2004-12-21T00:00:00,-86.50299999999999,20.017,45,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2004,12,DJF,2000s
