drifter_id,gate,crossing_time,crossing_lon,crossing_lat,horizon_days,completeness_class,coverage_fraction,max_gap_hours,drogue_class,drogue_lost_date_metadata,eligible,exclusion_reasons,year,month,season,decade
9526392,yucatan_B,1996-11-15T06:00:00,-86.37200000000001,21.03,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,11,SON,1990s
9526398,yucatan_B,1996-09-24T12:00:00,-86.50299999999999,21.062,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1996,9,SON,1990s
9730622,yucatan_B,1998-09-26T06:00:00,-85.69,21.033,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,9,SON,1990s
9729810,yucatan_B,1998-07-25T00:00:00,-85.91899999999998,21.097,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,7,JJA,1990s
9730659,yucatan_B,1998-07-12T12:00:00,-85.54000000000002,21.093,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,7,JJA,1990s
9619804,yucatan_B,1998-11-22T00:00:00,-86.76400000000001,21.027,30,materially_incomplete,0.03305785123966942,nan,not_assessed_incomplete,missing_or_zero,False,not_exact_6_hour;not_assessed_incomplete,1998,11,SON,1990s
9730661,yucatan_B,1998-07-16T06:00:00,-86.13299999999998,21.129,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,7,JJA,1990s
9525752,yucatan_B,1998-11-21T06:00:00,-85.81099999999998,21.047,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1998,11,SON,1990s
9821142,yucatan_B,1999-01-30T00:00:00,-86.31,21.187,30,materially_incomplete,0.49586776859504134,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,1,DJF,1990s
9730688,yucatan_B,1999-01-31T12:00:00,-86.41000000000003,21.112,30,exact_6_hour,1.0,6.0,undrogued_at_entry,missing_or_zero,False,undrogued_at_entry,1999,1,DJF,1990s
9821159,yucatan_B,1999-05-15T12:00:00,-86.41699999999997,21.208,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,5,MAM,1990s
9823472,yucatan_B,1999-11-14T00:00:00,-85.82,21.062,30,materially_incomplete,0.7107438016528925,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
9825579,yucatan_B,1999-07-18T18:00:00,-85.20499999999998,21.492,30,exact_6_hour,1.0,6.0,lost_during_horizon,dated,False,lost_during_horizon,1999,7,JJA,1990s
9816007,yucatan_B,2000-02-01T00:00:00,-86.62200000000001,21.059,30,materially_incomplete,0.9586776859504132,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,2,DJF,2000s
9817802,yucatan_B,1999-01-31T18:00:00,-85.59500000000003,21.066,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,1,DJF,1990s
9817803,yucatan_B,1999-01-23T18:00:00,-86.32900000000001,21.065,30,materially_incomplete,0.6942148760330579,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,1,DJF,1990s
9815989,yucatan_B,2000-02-19T00:00:00,-86.54700000000003,21.117,30,exact_6_hour,1.0,6.0,undrogued_at_entry,dated,False,undrogued_at_entry,2000,2,DJF,2000s
9809635,yucatan_B,1999-12-30T12:00:00,-86.39999999999998,21.008,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,12,DJF,1990s
9802862,yucatan_B,2000-02-25T12:00:00,-86.02800000000002,21.134,30,materially_incomplete,0.1652892561983471,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,2000,2,DJF,2000s
9804532,yucatan_B,1999-10-23T00:00:00,-86.56,21.039,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,10,SON,1990s
20009,yucatan_B,1999-11-14T12:00:00,-85.97399999999999,21.052,30,materially_incomplete,0.5619834710743802,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
17300,yucatan_B,1999-11-23T12:00:00,-86.34699999999998,21.052,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
9819621,yucatan_B,2000-03-03T12:00:00,-86.11599999999999,21.129,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,3,MAM,2000s
20008,yucatan_B,1999-11-05T06:00:00,-86.29399999999998,21.124,30,materially_incomplete,0.6528925619834711,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
17578,yucatan_B,2000-04-10T06:00:00,-85.618,21.028,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,4,MAM,2000s
19622,yucatan_B,1999-11-13T12:00:00,-86.19299999999998,21.123,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,1999,11,SON,1990s
19620,yucatan_B,1999-11-28T12:00:00,-85.84899999999999,21.057,30,materially_incomplete,0.47107438016528924,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
9817581,yucatan_B,2000-05-01T06:00:00,-85.45400000000001,21.009,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,5,MAM,2000s
20027,yucatan_B,1999-11-16T18:00:00,-85.96800000000002,21.085,30,exact_6_hour,1.0,6.0,lost_during_horizon,dated,False,lost_during_horizon,1999,11,SON,1990s
9818748,yucatan_B,2000-01-31T06:00:00,-85.79399999999998,21.119,30,exact_6_hour,1.0,6.0,known_drogued_throughout,dated,True,,2000,1,DJF,2000s
17580,yucatan_B,1999-11-20T00:00:00,-86.50299999999999,21.076,30,materially_incomplete,0.4049586776859504,nan,not_assessed_incomplete,dated,False,not_exact_6_hour;not_assessed_incomplete,1999,11,SON,1990s
