design_index,design_id,nominal_bandwidth_days,nominal_tangent_action,bandwidth_sensitivity_evaluable,low_bandwidth_days,low_multiplier_dynamics_valid,low_tangent_action_valid,low_tangent_action,low_relative_lambda_change,low_relative_lambda_dot_change,low_relative_tangent_action_change,high_bandwidth_days,high_multiplier_dynamics_valid,high_tangent_action_valid,high_tangent_action,high_relative_lambda_change,high_relative_lambda_dot_change,high_relative_tangent_action_change,bandwidth_sensitivity_valid,not_evaluable_reason
216,design_000216,0.75,1037513.6600102822,True,0.5,True,True,1085237.2192108715,0.1708225711460617,0.4349302005573581,0.04599800565528588,1.0,True,True,1040739.8629010532,0.14379658915614363,0.3373005691901813,0.003109552206511674,True,
278,design_000278,0.75,1067799.028992142,True,0.5,True,True,1103161.9540624986,0.1822687088717194,0.4415486107248403,0.03311758496702736,1.0,True,True,1078770.7728747444,0.12255274437239709,0.2901050202803481,0.010275101947749622,True,
240,design_000240,0.75,1038237.2439511812,True,0.5,True,True,1097257.9892493046,0.1546781801278512,0.3970491024930969,0.05684707001408501,1.0,True,True,1036202.438729319,0.12939740170917063,0.2959853156604313,0.0019598653715391452,True,
266,design_000266,0.75,1085614.8163801546,True,0.5,True,True,1001562.4661734095,0.17026199113199783,0.4046158600328324,0.07742373163900529,1.0,True,True,1318237.4685638733,0.11531810513548607,0.3346467756699966,0.2142773372966386,False,
324,design_000324,0.75,990968.633698364,True,0.5,True,True,1097171.1335782295,0.1831573832558334,0.495092888650731,0.10717039497356269,1.0,True,True,990850.3907548533,0.10039788978162459,0.32855615666029575,0.00011932057129747034,True,
235,design_000235,0.75,1074900.8520710934,True,0.5,True,True,1116986.7869709227,0.13365583738730707,0.3514021303366176,0.03915331801880997,1.0,True,True,1083916.0466161338,0.11054446660815306,0.2632402627825651,0.008387001022159495,True,
267,design_000267,0.75,1053864.792503537,True,0.5,True,True,1106501.8684492225,0.13995786223620563,0.32906231630398436,0.04994670694012103,1.0,False,False,nan,0.11353863658045031,0.24591752526432584,inf,False,
186,design_000186,0.75,1094581.5936951048,True,0.5,True,True,1131810.6269894734,0.1910708602052096,0.5210365242543851,0.034012113403707266,1.0,True,True,1094317.6949952468,0.1052658255886828,0.2566897469098146,0.00024109550295571834,False,
4,design_000004,0.75,3065369.045661061,True,0.5,True,True,3300873.4916253136,0.15970177207148753,0.373196967320501,0.07682743658470817,1.0,True,True,1499212.9656269313,0.13715625469713652,0.31681711876205076,0.5109192585639818,False,
138,design_000138,0.75,1877866.8958318827,True,0.5,True,True,1154715.1935025859,0.11439681101309444,0.2792741169784987,0.3850920978128992,1.0,True,True,1001794.7627615834,0.11338218611577901,0.3525045986336741,0.46652514883500573,False,
347,design_000347,0.75,961484.1348604917,True,0.5,True,True,962088.9933289359,0.16996915548788818,0.3878554856012955,0.0006290883505134134,1.0,True,True,1062808.3596086039,0.10064640808609054,0.25934376419614497,0.1053831478590273,True,
14,design_000014,0.75,1836011.8746344345,True,0.5,True,True,1670515.7709849945,0.10808445196234841,0.214464869588584,0.09013890701681418,1.0,True,True,2164882.903764228,0.11426707026548187,0.19080382488319145,0.17912249570568514,True,
150,design_000150,0.75,1043229.570725814,True,0.5,True,True,1098790.9933920135,0.13067026975392318,0.3070091321571781,0.05325905651576128,1.0,True,True,1033037.1496187428,0.1380874078725027,0.2702234580626395,0.009770065374949033,True,
193,design_000193,0.75,1371220.7511503326,True,0.5,True,True,1420009.0820114391,0.11207602385441288,0.1977030953717457,0.035580216256337595,1.0,True,True,1312361.3545247405,0.12152764672095628,0.18558187763149442,0.042924814677880514,True,
281,design_000281,0.75,1028086.7717741922,True,0.5,True,True,1027829.8735839047,0.17426356294844275,0.4987173365672477,0.00024987987136940686,1.0,True,True,1130138.3966504063,0.09807138122614126,0.25279667154613206,0.0992636299561576,True,
312,design_000312,0.75,1212231.397298253,True,0.5,True,True,1349883.4674620046,0.18061500909126502,0.4432869029935808,0.11355263563585485,1.0,True,True,1129391.3594381383,0.12108453393448862,0.3357454953008915,0.06833681922836135,True,
121,design_000121,0.75,1130151.8143449442,True,0.5,True,True,1195024.647946348,0.14069766146123655,0.29933182761810945,0.05740187537459751,1.0,True,True,1219373.3457147747,0.13684081287092587,0.25535855933017026,0.0789465010252139,True,
241,design_000241,0.75,1026012.4451500893,True,0.5,True,True,1106310.7493781096,0.13341557692438222,0.3255875026938499,0.07826250510662557,1.0,True,True,1011651.2162575845,0.150128284443979,0.26637355613703695,0.013997129333459498,True,
245,design_000245,0.75,784793.1384023115,True,0.5,True,True,739556.1471499852,0.16389997160634934,0.39477511551846556,0.05764193013259537,1.0,True,True,1063282.9934800863,0.10177528908473403,0.23456801932439475,0.3548576579615959,False,
224,design_000224,0.75,940841.22597554,True,0.5,True,True,936959.78988407,0.1541504067470004,0.38854638673417524,0.004125495337903975,1.0,True,True,1034406.8486925984,0.10783709639739188,0.21798440812431535,0.09944889757572221,True,
307,design_000307,0.75,1097550.3348442654,True,0.5,True,True,1111707.5016415946,0.0926658054287372,0.19294911477259197,0.01289887702447652,1.0,True,True,1135202.4453051211,0.09359034091118099,0.17840812030369194,0.03430558878759609,True,
182,design_000182,0.75,1235077.1090200162,True,0.5,True,True,1269870.988501969,0.13786026642984234,0.29964880790875287,0.028171422843032375,1.0,True,True,1126529.8454217014,0.10080848951620326,0.2744370260234898,0.08788703377754495,True,
56,design_000056,0.75,744901.632659021,True,0.5,True,True,1021643.3017514736,0.17948722219164856,0.43440520920746695,0.3715143811735089,1.0,True,True,807557.4859924,0.10201577136605873,0.20228191952564278,0.08411292254753289,False,
318,design_000318,0.75,853506.6380772945,True,0.5,True,True,888359.6588994558,0.1914296786780213,0.5228555167515923,0.0408350905163142,1.0,True,True,833272.3010908967,0.14497111283366157,0.36634046565143125,0.023707298905114433,False,
252,design_000252,0.75,926056.4696772111,True,0.5,True,True,1609752.8764985038,0.16853972924229768,0.43156970756479424,0.7382880301668903,1.0,True,True,937245.1477514784,0.11223397338764107,0.2691298879535129,0.012082068902522959,False,
340,design_000340,0.75,897067.2507532568,True,0.5,True,True,993339.3074142141,0.09830763037595214,0.19018996599968216,0.1073186615386068,1.0,True,True,850645.7968423645,0.10315872534882108,0.1927454846727855,0.0517480198635195,True,
218,design_000218,0.75,1041721.3284615687,True,0.5,True,True,1089665.5930236075,0.1588933203585907,0.38866678764177964,0.046024078851148904,1.0,True,True,1062935.423786123,0.12087991385795692,0.315981580609303,0.020364462879802692,True,
88,design_000088,0.75,1191916.6724783266,True,0.5,True,True,1294880.4673583761,0.16965155674804874,0.3294001425724341,0.08638506135329002,1.0,True,True,1184727.197043284,0.172908510228768,0.29499949120705626,0.006031860784440241,True,
31,design_000031,0.75,1826078.369716517,True,0.5,True,True,1899274.4546929377,0.1576588743788491,0.3536201634883004,0.040083758830013305,1.0,True,True,1806336.9463672,0.1430631056143656,0.31247294926341435,0.01081083028894407,True,
343,design_000343,0.75,1146764.696375618,True,0.5,True,True,1249540.31809744,0.21759818793571775,0.5346156747435632,0.08962224076713149,1.0,True,True,1128441.2088205519,0.18016702938642978,0.45552790389570674,0.01597841964701043,False,
326,design_000326,0.75,1122927.5919394228,True,0.5,True,True,1153207.9849671717,0.19351359675462518,0.5236987238502883,0.026965579299241597,1.0,True,True,1137551.149667821,0.12022602062216824,0.3380982996918382,0.013022707637935577,False,
85,design_000085,0.75,2609984.22881771,True,0.5,True,True,2826768.113668318,0.09745028593952154,0.21331959458177574,0.08305946160786117,1.0,True,True,2464391.8643982685,0.11858370721495852,0.22360045019566477,0.055782852176617624,True,
105,design_000105,0.75,714139.4526541096,True,0.5,True,True,781059.0181232947,0.13628785578740005,0.39420804625064765,0.09370657960497435,1.0,True,True,674877.0025402481,0.12310125295985312,0.31463254865291357,0.0549786879410485,True,
176,design_000176,0.75,678942.4087522114,True,0.5,True,True,728330.3974952339,0.20930415116602027,0.654464566371997,0.07274253030354938,1.0,True,True,654862.9420790931,0.08463534100947721,0.35731881642982316,0.03546614022443014,False,
55,design_000055,0.75,1295208.7755866044,True,0.5,True,True,1361068.527809325,0.1515954067437015,0.36949335988338616,0.05084875385660696,1.0,True,True,1283056.9495510668,0.15133935458831077,0.30107802580277737,0.00938213689143198,True,
500,design_000500,0.75,1933565.8933394544,True,0.5,True,True,2950043.7172481697,0.08245238424584031,0.5064652787027801,0.5257011552645667,1.0,True,True,2228129.198300079,0.09482098617394755,0.19925307059870453,0.15234200498431702,False,
331,design_000331,0.75,964285.7910845345,True,0.5,True,True,973339.5865186262,0.1577782352199917,0.3921452474580982,0.009389120443130124,1.0,True,True,995951.4112993384,0.13733194430932588,0.2821026206839254,0.032838418348142995,True,
162,design_000162,0.75,1137095.8362640457,True,0.5,True,True,1132723.6792187295,0.19104934051487485,0.40121320330150273,0.003845020714947832,1.0,True,True,1228884.41130864,0.14766109426336319,0.3221141362116138,0.08072193399825268,True,
329,design_000329,0.75,1141507.4781756478,True,0.5,True,True,1161015.8195014102,0.13205193068178575,0.26695147388715,0.017089981186054596,1.0,True,True,1200717.0560625049,0.15276419240671685,0.23899329380164375,0.051869636440302236,True,
0,design_000000,0.75,1350562.0607538049,True,0.5,True,True,3264309.2361106914,0.12054757146325779,0.5106548689006406,1.4170005444168516,1.0,True,True,1289804.4861785085,0.10312535185230737,0.20793764847936,0.044986880900078775,False,
192,design_000192,0.75,799560.1929874035,True,0.5,True,True,824912.5742601843,0.14229913713960238,0.34210698486270924,0.031707908291502745,1.0,True,True,946658.8908287653,0.14429174035009618,0.29152527767205755,0.1839745139033945,True,
