ok,design_index,design_id,source_time_index,day,classification,resolved,final_refinement_level,final_quadrature_cell_count,final_verified_l2_residual,final_lambda_norm,final_kl_divergence,final_log10_intrinsic_ess,cache_path
True,29,design_000029,10,2.5,A_resolved,True,1,142948,4.742362419976237e-10,1000000007.039256,11.160402814087163,-447.57093588457343,experiments/ocean_drifters/cache/adaptive_iprojection/design_000029_t010.npz
True,31,design_000031,10,2.5,A_resolved,True,1,145426,7.51525217863379e-10,1000000934.9192321,20.993440920396665,-215.07593609779184,experiments/ocean_drifters/cache/adaptive_iprojection/design_000031_t010.npz
True,50,design_000050,10,2.5,A_resolved,True,1,144763,2.177695424200213e-09,1000005836.5609014,12.100644301203817,-227.8861907655528,experiments/ocean_drifters/cache/adaptive_iprojection/design_000050_t010.npz
True,96,design_000096,20,5.0,A_resolved,True,1,151552,7.426759329459301e-10,1000000029.8841383,6.2634007605578805,-97.28664294533198,experiments/ocean_drifters/cache/adaptive_iprojection/design_000096_t020.npz
True,120,design_000120,10,2.5,A_resolved,True,1,146587,3.3691131841876484e-09,1000000010.3845863,15.046151433225832,-172.2550649964508,experiments/ocean_drifters/cache/adaptive_iprojection/design_000120_t010.npz
True,131,design_000131,10,2.5,A_resolved,True,1,144745,8.339119052927543e-10,1000000167.2362897,28.253750958630057,-121.50893759085584,experiments/ocean_drifters/cache/adaptive_iprojection/design_000131_t010.npz
True,149,design_000149,10,2.5,A_resolved,True,1,146356,7.680072305319979e-10,4836394567.5525255,28.5529600481123,-103.14244272954392,experiments/ocean_drifters/cache/adaptive_iprojection/design_000149_t010.npz
True,153,design_000153,10,2.5,A_resolved,True,1,148183,9.709808464612624e-10,9484094003.787281,17.44335277487011,-152.4840895408783,experiments/ocean_drifters/cache/adaptive_iprojection/design_000153_t010.npz
True,165,design_000165,10,2.5,A_resolved,True,1,147730,5.128343695304317e-10,1000000012.947646,4.243267636162153,-316.77325496631863,experiments/ocean_drifters/cache/adaptive_iprojection/design_000165_t010.npz
True,174,design_000174,10,2.5,A_resolved,True,1,146389,2.9938356487061062e-09,1000000083.1877267,8.601106001663549,-424.09882235861477,experiments/ocean_drifters/cache/adaptive_iprojection/design_000174_t010.npz
True,188,design_000188,10,2.5,A_resolved,True,1,145912,1.815332411572315e-09,1005587353.09261,7.651021424289054,-261.55947337977983,experiments/ocean_drifters/cache/adaptive_iprojection/design_000188_t010.npz
True,195,design_000195,10,2.5,A_resolved,True,1,146293,8.418236723359145e-10,4129992877.5396614,23.3432423607374,-373.24810928316595,experiments/ocean_drifters/cache/adaptive_iprojection/design_000195_t010.npz
True,196,design_000196,10,2.5,A_resolved,True,1,148825,3.179036054184472e-11,2354046721.890104,18.489997513339585,-235.9329875234891,experiments/ocean_drifters/cache/adaptive_iprojection/design_000196_t010.npz
True,210,design_000210,10,2.5,A_resolved,True,1,144004,8.011284083984097e-10,1000000020.8765588,11.3342831365993,-586.9291495651221,experiments/ocean_drifters/cache/adaptive_iprojection/design_000210_t010.npz
True,346,design_000346,10,2.5,A_resolved,True,1,148057,9.973851581155462e-10,35716043076.98391,29.42785887925855,-94.36530992030166,experiments/ocean_drifters/cache/adaptive_iprojection/design_000346_t010.npz
True,373,design_000373,10,2.5,A_resolved,True,1,145777,3.307039648814623e-09,1000001160.6993518,3.293630753873032,-624.7397574395827,experiments/ocean_drifters/cache/adaptive_iprojection/design_000373_t010.npz
True,380,design_000380,20,5.0,A_resolved,True,1,151552,8.435762848691224e-10,4623321155.745412,7.206764968805384,-212.84376689552178,experiments/ocean_drifters/cache/adaptive_iprojection/design_000380_t020.npz
True,468,design_000468,10,2.5,A_resolved,True,1,145849,1.1018437210165936e-09,1016753343.4912944,9.163396668251604,-242.4210328380781,experiments/ocean_drifters/cache/adaptive_iprojection/design_000468_t010.npz
True,472,design_000472,10,2.5,A_resolved,True,1,146110,2.207254807672853e-09,1000000247.5939368,10.846975651223405,-468.3669599467716,experiments/ocean_drifters/cache/adaptive_iprojection/design_000472_t010.npz
True,473,design_000473,10,2.5,A_resolved,True,1,146050,6.613591420655403e-10,2315733232.212076,21.628935519158105,-13996.12343717379,experiments/ocean_drifters/cache/adaptive_iprojection/design_000473_t010.npz
True,475,design_000475,10,2.5,A_resolved,True,1,146185,1.8042887170814748e-09,1000004951.2345672,16.055399662970643,-116.36262829400292,experiments/ocean_drifters/cache/adaptive_iprojection/design_000475_t010.npz
True,477,design_000477,10,2.5,A_resolved,True,1,145741,6.59512676631767e-10,1000006287.7388126,3.8069434669783107,-559.9525679472454,experiments/ocean_drifters/cache/adaptive_iprojection/design_000477_t010.npz
True,488,design_000488,20,5.0,A_resolved,True,1,151552,9.082815104672799e-10,4635600041.062539,7.428345339501949,-68.36412137851656,experiments/ocean_drifters/cache/adaptive_iprojection/design_000488_t020.npz
True,494,design_000494,10,2.5,A_resolved,True,1,145858,1.51733275125851e-09,1000000282.2009687,15.370160198694515,-301.87614066912505,experiments/ocean_drifters/cache/adaptive_iprojection/design_000494_t010.npz
True,495,design_000495,10,2.5,A_resolved,True,1,146257,4.1833062434485593e-10,1000000120.8300546,8.030432624337076,-6361.203225608337,experiments/ocean_drifters/cache/adaptive_iprojection/design_000495_t010.npz
True,500,design_000500,10,2.5,A_resolved,True,1,147400,2.163012494118094e-09,1000000027.8272485,26.795138165811167,-117.10128514778978,experiments/ocean_drifters/cache/adaptive_iprojection/design_000500_t010.npz
True,507,design_000507,10,2.5,A_resolved,True,1,146401,2.441005913708995e-09,1007190381.8118722,19.480117771630898,-216.33908386308678,experiments/ocean_drifters/cache/adaptive_iprojection/design_000507_t010.npz
