ok,design_index,design_id,source_time_index,day,classification,resolved,final_refinement_level,final_quadrature_cell_count,final_verified_l2_residual,final_lambda_norm,final_kl_divergence,final_log10_intrinsic_ess,cache_path
True,29,design_000029,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,152368,0.8585852639129414,2294.4660743881727,78.24986212030898,-328.1847016831599,experiments/ocean_drifters/cache/adaptive_iprojection/design_000029_t010.npz
True,31,design_000031,10,2.5,A_resolved,True,3,153088,9.839132278610372e-10,12690005547.471952,23.710228411850203,-110.9234265681828,experiments/ocean_drifters/cache/adaptive_iprojection/design_000031_t010.npz
True,50,design_000050,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,152782,0.9505817210391764,5394.796722377207,142.12219245578524,-2058.7658482401075,experiments/ocean_drifters/cache/adaptive_iprojection/design_000050_t010.npz
True,96,design_000096,20,5.0,A_resolved,True,2,152320,6.226537560106016e-10,1606522206.564215,6.812046768063681,-91.79908302265189,experiments/ocean_drifters/cache/adaptive_iprojection/design_000096_t020.npz
True,120,design_000120,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,146557,0.8273962944491395,10493.134435355267,59.1298498113927,-3118.22911006685,experiments/ocean_drifters/cache/adaptive_iprojection/design_000120_t010.npz
True,131,design_000131,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,142336,0.8521223970532202,9577.052403656675,30.795076802842765,-879.4801769591231,experiments/ocean_drifters/cache/adaptive_iprojection/design_000131_t010.npz
True,149,design_000149,10,2.5,A_resolved,True,1,146356,7.680072305319979e-10,4836394567.5525255,28.5529600481123,-103.14244272954392,experiments/ocean_drifters/cache/adaptive_iprojection/design_000149_t010.npz
True,153,design_000153,10,2.5,A_resolved,True,1,148183,9.709808464612624e-10,9484094003.787281,17.44335277487011,-152.4840895408783,experiments/ocean_drifters/cache/adaptive_iprojection/design_000153_t010.npz
True,165,design_000165,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,153304,0.5427372659155114,3145.674923687246,3.557124077240691,-691.0088203619663,experiments/ocean_drifters/cache/adaptive_iprojection/design_000165_t010.npz
True,174,design_000174,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.16262453824663725,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000174_t010.npz
True,188,design_000188,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,169225,0.3662748595151627,22273.19238726395,16.346787359156764,-2313.6106980250534,experiments/ocean_drifters/cache/adaptive_iprojection/design_000188_t010.npz
True,195,design_000195,10,2.5,A_resolved,True,1,146293,8.418236723359145e-10,4129992877.5396614,23.3432423607374,-373.24810928316595,experiments/ocean_drifters/cache/adaptive_iprojection/design_000195_t010.npz
True,196,design_000196,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,162649,1.066418563741347,55585.64803892227,11647.078732402342,-5105.089295150161,experiments/ocean_drifters/cache/adaptive_iprojection/design_000196_t010.npz
True,210,design_000210,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,142618,1.0328112867836707,9155.139855332434,7983.001387453805,-3598.025497704097,experiments/ocean_drifters/cache/adaptive_iprojection/design_000210_t010.npz
True,346,design_000346,10,2.5,A_resolved,True,1,148057,9.973851581155462e-10,35716043076.98391,29.42785887925855,-94.36530992030166,experiments/ocean_drifters/cache/adaptive_iprojection/design_000346_t010.npz
True,373,design_000373,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,153856,0.30967283400869644,9779484.717288941,15819.448386096043,-6926.212758648841,experiments/ocean_drifters/cache/adaptive_iprojection/design_000373_t010.npz
True,380,design_000380,20,5.0,A_resolved,True,1,151552,8.435762848691224e-10,4623321155.745412,7.206764968805384,-212.84376689552178,experiments/ocean_drifters/cache/adaptive_iprojection/design_000380_t020.npz
True,468,design_000468,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.0014951868804861344,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000468_t010.npz
True,472,design_000472,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.0028801734576641065,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000472_t010.npz
True,473,design_000473,10,2.5,A_resolved,True,1,146050,6.613591420655403e-10,2315733232.212076,21.628935519158105,-13996.12343717379,experiments/ocean_drifters/cache/adaptive_iprojection/design_000473_t010.npz
True,475,design_000475,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.0013702913718143753,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000475_t010.npz
True,477,design_000477,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.0011513327187153513,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000477_t010.npz
True,488,design_000488,20,5.0,A_resolved,True,1,151552,9.082815104672799e-10,4635600041.062539,7.428345339501949,-68.36412137851656,experiments/ocean_drifters/cache/adaptive_iprojection/design_000488_t020.npz
True,494,design_000494,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.007859205980464308,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000494_t010.npz
True,495,design_000495,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,182494,0.007358375118718056,0.0,0.0,-0.0,experiments/ocean_drifters/cache/adaptive_iprojection/design_000495_t010.npz
True,500,design_000500,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,150181,1.192368929487468,13961.873154088402,8605.408491952003,-3864.19134237214,experiments/ocean_drifters/cache/adaptive_iprojection/design_000500_t010.npz
True,507,design_000507,10,2.5,B_mathematically_feasible_but_numerically_unresolved,False,4,143995,0.9446002158808859,9187.0080996074,109.9435525788535,-3489.7269775642467,experiments/ocean_drifters/cache/adaptive_iprojection/design_000507_t010.npz
