design_index,design_id,day,source_time_index,refinement_level,quadrature_cell_count,minimum_cell_width_x_km,minimum_cell_width_y_km,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_name,accepted_moment_residual,relative_lambda_change_from_previous,relative_kl_change_from_previous,log10_intrinsic_ess_change_from_previous,projected_moment_linf_change_from_previous,stable_under_additional_refinement,refined_parent_cell_count,refined_projected_mass
29,design_000029,2.5,10,0,139264,7.12890625,7.169117647058823,True,2,4.8703144321082456e-09,4.8703144321082456e-09,4.587933844467373e-09,-24.048267795259374,86.77883706393499,2817.630666611961,-1000000000.1840948,1000000000.1880684,11.16210260454779,0.0,-447.55898347293277,2.919845356327447e-19,0.0008962532972551351,693702805673443.5,0.01839769808244894,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,1228,0.999900151873655
29,design_000029,2.5,10,1,142948,3.564453125,3.5845588235294117,True,3,4.742362419976237e-10,4.742362419976237e-10,4.742183856793383e-10,-24.048972171027263,86.7785313042248,2817.6608713785117,-1000000007.0352824,1000000007.039256,11.160402814087163,0.0,-447.57093588457343,3.271442515130729e-19,0.0008962138196318631,675294956527968.6,0.004645242735292972,warm_start_covariance_trust_region,True,6.8512541629999295e-09,0.0001523054757917446,0.01195241164066374,4.584038263994589e-09,True,,
31,design_000031,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,6.5033393867101434e-09,6.5033393867101434e-09,4.935638064917924e-09,12.612335585823256,320.10671495071455,1261826.9648592852,-1000000140.1117209,1000000936.2149885,20.993739732384046,8.424330113595996e-216,-215.07446462333914,5.144475132851294e-19,0.04088022665726633,2.6993491883115324e+16,0.006429456144932641,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2054,0.9999001019113731
31,design_000031,2.5,10,1,145426,3.564453125,3.5845588235294117,True,2,7.51525217863379e-10,7.51525217863379e-10,7.380156882682237e-10,12.612220450671783,320.1063387968586,1261828.351506819,-1000000138.8142139,1000000934.9192321,20.993440920396665,8.395835139777269e-216,-215.07593609779184,5.130924774059998e-19,0.04087990715247029,2.7017454493299428e+16,0.0016062658743976313,warm_start_covariance_trust_region,True,1.8990285235860735e-09,1.423358793416874e-05,0.0014714744526997947,4.820429486129818e-09,True,,
50,design_000050,2.5,10,0,139264,7.12890625,7.169117647058823,True,4,1.997639305634268e-09,1.997639305634268e-09,1.997628557251984e-09,22.115533231242686,-1000000307.6126052,3325563.3008589935,-29.115024799344713,1000005837.2812504,12.1007443537139,1.300840443760675e-228,-227.8857759691139,5.834796149724334e-18,0.015553384609905883,2275617921762479.5,0.008724902270952194,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,1833,0.999900510386146
50,design_000050,2.5,10,1,144763,3.564453125,3.5845588235294117,True,2,2.177695424200213e-09,2.177695424200213e-09,1.9975611825199877e-09,22.115512392409816,-1000000306.8888526,3325564.3231659927,-29.114745317935064,1000005836.5609014,12.100644301203817,1.2995985988634371e-228,-227.8861907655528,5.811667464721085e-18,0.015553015377421146,2283290465656633.5,0.002209191723932976,warm_start_covariance_trust_region,True,1.252561861474162e-09,8.268362212184514e-06,0.0004147964389176195,8.617947466760256e-10,True,,
96,design_000096,5.0,20,0,139264,7.12890625,7.169117647058823,True,3,4.3449272007495015e-10,4.3449272007495015e-10,4.344924658139506e-10,1830.9729733405115,10.276630439502455,-1000000029.1253734,20.923504297765774,1000000029.1270498,6.263370764210996,5.239821957628128e-98,-97.28068346953025,1.0542008496405743e-18,0.030926046771693614,1.505502579122425e+16,0.0026291882941610924,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,4096,0.998531498757814
96,design_000096,5.0,20,1,151552,3.564453125,3.5845588235294117,True,2,7.426759329459301e-10,7.426759329459301e-10,5.716295496845103e-10,1830.9767544053068,10.276414370049771,-1000000029.8824619,20.925865975939338,1000000029.8841383,6.2634007605578805,5.168411149257462e-98,-97.28664294533198,1.0518515452758985e-18,0.03092556572838733,1.5072028870504362e+16,0.0006559127573548613,warm_start_covariance_trust_region,True,7.571016753420513e-10,4.789146987608207e-06,0.005959475801731173,5.712003487388928e-10,True,,
120,design_000120,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,3.6321042582492076e-09,3.6321042582492076e-09,3.369266390087492e-09,0.07153920636611089,5038.079761673828,-1000000002.9022157,18.260209463135414,1000000002.9149071,15.045933639962826,5.599107873474792e-173,-172.2518811652245,2.9201568995353754e-18,0.018366486247304702,4685140599724856.0,0.005880202608933828,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2441,0.9999002611240745
120,design_000120,2.5,10,1,146587,3.564453125,3.5845588235294117,True,2,3.3691131841876484e-09,3.3691131841876484e-09,3.3690363987645523e-09,0.07171776408303132,5038.079283743875,-1000000010.371895,18.260469369564827,1000000010.3845863,15.046151433225832,5.558210669430386e-173,-172.2550649964508,2.9202653356163434e-18,0.018366364448416175,4684979937851227.0,0.0016008531754632869,warm_start_covariance_trust_region,True,7.469679180787991e-09,1.4475014688844797e-05,0.0031838312263232638,1.056475740224272e-09,True,,
