gate,horizon_days,N_total,N_30,N_45,N_60,drogued_fraction,time_span_years,first_year,last_year,seasonal_balance,median_displacement_km,spread_growth,domain_95_xmin_km,domain_95_xmax_km,domain_95_ymin_km,domain_95_ymax_km,domain_99_xmin_km,domain_99_xmax_km,domain_99_ymin_km,domain_99_ymax_km,recommended_xmin_km,recommended_xmax_km,recommended_ymin_km,recommended_ymax_km,domain_width_km,domain_height_km,characteristic_displacement_km,transverse_spread_km,endpoint_robust_spread_km,non_gaussianity,max_anisotropy,projection,visual_structure,main_failure_mode,recommendation
florida_A,30,65,65,63,59,0.32338308457711445,28,1996,2023,0.9663759832605044,1806.9299343448624,29.06457627255872,-49.84989280837582,1670.7020189818622,-71.03355733562961,1859.4247353340443,-91.0544362341495,1870.6565537687845,-133.6260644353348,1992.707452791038,-191.0544362341495,1970.6565537687845,-233.6260644353348,2092.707452791038,2161.710990002934,2326.333517226373,1806.9299343448624,215.55359198446158,703.2561041172773,0.02392957763679955,5.303480419096077,+proj=laea +lat_0=24.5 +lon_0=-81 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
florida_A,45,63,65,63,59,0.31343283582089554,28,1996,2023,0.9664024768905931,2106.8681230287393,21.27774685148394,-23.069305514664418,2049.736432508553,-52.4972467429989,1957.1213095812634,-86.03530054363172,2474.093549016707,-121.38456266129963,2072.1757263808386,-186.0353005436317,2574.093549016707,-221.38456266129964,2172.1757263808386,2760.128849560339,2393.5602890421383,2106.8681230287393,252.4956069488615,514.8434030086385,0.08705471704557953,5.286933294085431,+proj=laea +lat_0=24.5 +lon_0=-81 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
florida_A,60,59,65,63,59,0.2935323383084577,28,1996,2023,0.9629114441034774,2331.610719923395,26.39234832403749,6.006405811424505,2387.5900061032644,-41.81959452551021,2039.9503010226185,-83.03626626255343,2715.9439400893602,-110.38267756511733,2180.6809317467855,-183.03626626255343,2815.9439400893602,-210.38267756511732,2280.6809317467855,2998.9802063519137,2491.063609311903,2331.610719923395,295.8645745835893,640.188581914085,0.06530698321885645,5.279612014824069,+proj=laea +lat_0=24.5 +lon_0=-81 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
florida_B,30,67,67,65,57,0.39644970414201186,28,1996,2023,0.9623587866846011,1704.5349173077511,38.77798266218733,4.017272114482132,1714.8440587853286,-57.747328565693145,1747.1140886886012,-9.588339598825053,2406.390736210587,-102.25516583594501,1864.1412968425439,-109.58833959882506,2506.390736210587,-202.255165835945,1964.1412968425439,2615.979075809412,2166.396462678489,1704.5349173077511,227.7351511784392,627.2853296946467,0.024173626064579533,5.696105542675354,+proj=laea +lat_0=26 +lon_0=-80.3 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
florida_B,45,65,67,65,57,0.38461538461538464,28,1996,2023,0.9610115714257864,2003.6552134463404,33.928453831685744,6.60460366293445,2219.489659668211,-43.50293216520617,1832.969377012772,-10.093779633073567,2938.2411459224436,-102.8331151531985,2092.9740950929745,-110.09377963307357,3038.2411459224436,-202.8331151531985,2192.9740950929745,3148.334925555517,2395.807210246173,2003.6552134463404,263.4288197433795,549.4608035263825,0.05928924537607458,5.732321735259721,+proj=laea +lat_0=26 +lon_0=-80.3 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
florida_B,60,57,67,65,57,0.33727810650887574,28,1996,2023,0.9710023251114243,2139.273292859642,45.33462649267802,6.921312602374521,2562.6487196901276,-24.19579668209466,1952.1672101696304,-23.686788929160276,3074.424015156749,-106.56167182301476,2285.2227218014064,-123.68678892916027,3174.424015156749,-206.56167182301476,2385.2227218014064,3298.1108040859094,2591.784393624421,2139.273292859642,294.2930720365202,707.8454852782312,0.06431766117121344,5.5236950609432265,+proj=laea +lat_0=26 +lon_0=-80.3 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
yucatan_A,30,63,63,52,43,0.391304347826087,28,1996,2023,0.9866460025301633,657.1518818760902,9.432492891978118,-234.38176588661423,866.4984611653053,-229.07881641485096,1327.5135223640987,-329.39399670848496,1371.2809916079889,-291.8915421347348,1886.3518044457435,-429.39399670848496,1471.2809916079889,-391.8915421347348,1986.3518044457435,1900.674988316474,2378.2433465804784,657.1518818760902,258.97584528523845,501.2976526196047,0.0600055283798125,2.8050269706576194,+proj=laea +lat_0=21.25 +lon_0=-86.25 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,coherent spreading transport,modest sample size,no
yucatan_A,45,52,63,52,43,0.32298136645962733,28,1996,2023,0.9790089185165758,754.3946090602067,12.622791614057853,-304.17592572583874,1747.313909650506,-205.1262225618267,2016.0674695483362,-406.23097895800214,2329.909260911694,-281.89426693638245,2311.3546055763804,-506.23097895800214,2429.909260911694,-381.89426693638245,2411.3546055763804,2936.1402398696964,2793.248872512763,754.3946090602067,260.0936565240471,659.1677975842017,0.22483956037370578,4.263722917732493,+proj=laea +lat_0=21.25 +lon_0=-86.25 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
yucatan_A,60,43,63,52,43,0.2670807453416149,28,1996,2023,0.9648537157698606,1113.5300750035894,15.809175123955713,-378.18456483874206,2110.6130528429635,-194.11818018240723,2259.397314922094,-460.0733665595595,2812.4581941112033,-276.1931834301636,2530.7250111048515,-560.0733665595594,2912.4581941112033,-376.1931834301636,2630.7250111048515,3472.5315606707627,3006.918194535015,1113.5300750035894,281.04640876317694,802.039285930752,0.13410720176812993,4.674531448229388,+proj=laea +lat_0=21.25 +lon_0=-86.25 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
yucatan_B,30,67,67,53,45,0.42948717948717946,28,1996,2023,0.9930307338969482,605.1529587989747,18.1733799277019,-261.67995446088656,937.1561118944632,-192.60823744611164,1357.0564972713717,-350.6811585653516,1513.5245240677323,-287.98392099747775,1854.1741331811131,-450.6811585653516,1613.5245240677323,-387.98392099747775,1954.1741331811131,2064.2056826330836,2342.1580541785906,605.1529587989747,251.03446768574628,593.2431135735694,0.07145261689589273,3.0696518572347475,+proj=laea +lat_0=22 +lon_0=-86.1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
