metric,value
file_size_bytes,1258410754
trajectory_rows,28706
observation_rows,48840300
unique_drifter_ids,28706
time_start,1979-02-15T00:00:00
time_end,2025-01-20T00:00:00
longitude_min,-179.999
longitude_max,180.0
latitude_min,-78.305
latitude_max,89.984
missing_time,0
missing_longitude,0
missing_latitude,0
malformed_longitude,0
malformed_latitude,0
duplicate_id_time,0
nonmonotone_or_duplicate_intervals,0
six_hour_interval_fraction,0.9999389899047345
drogue_flag_true_fraction,0.44264910330198626
drogue_lost_date_nan,597
drogue_lost_date_zero,997
trajectory_length_q0,2.0
trajectory_length_q0.01,20.0
trajectory_length_q0.1,161.0
trajectory_length_q0.25,471.25
trajectory_length_q0.5,1177.5
trajectory_length_q0.75,2414.0
trajectory_length_q0.9,4041.5
trajectory_length_q0.95,5129.0
trajectory_length_q0.99,7290.0
trajectory_length_q1,15170.0
trajectory_duration_days_q0,0.25
trajectory_duration_days_q0.01,4.75
trajectory_duration_days_q0.1,40.25
trajectory_duration_days_q0.25,118.25
trajectory_duration_days_q0.5,297.25
trajectory_duration_days_q0.75,608.5
trajectory_duration_days_q0.9,1019.25
trajectory_duration_days_q0.95,1289.125
trajectory_duration_days_q0.99,1828.7250000000004
trajectory_duration_days_q1,3792.25
sampling_interval_hours_6,48808616
sampling_interval_hours_96,128
sampling_interval_hours_180,52
sampling_interval_hours_198,45
sampling_interval_hours_492,38
sampling_interval_hours_390,35
sampling_interval_hours_186,34
sampling_interval_hours_204,33
sampling_interval_hours_378,32
sampling_interval_hours_414,32
sampling_interval_hours_192,30
sampling_interval_hours_426,29
