design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason
216,design_000216,True,True,-5.608664276433179e-09,2.740727997995937e-12,128x68,5.566595512933814e-09,0.774386868123717,4.9309812015532045e-11,pending_dense_projection,
240,design_000240,True,True,-6.990892165119858e-08,1.7059772953293643e-19,128x68,7.942777806268142e-08,0.6831264333371178,1.501701248957761e-09,pending_dense_projection,
278,design_000278,True,True,-2.5571131781806812e-06,1.6653345369377348e-16,128x68,3.1707080500376487e-06,0.8969110547917106,1.8070137902209453e-07,pending_dense_projection,
235,design_000235,True,True,-2.2349624024809688e-07,2.7755575615628914e-16,128x68,2.839239685777755e-07,0.5756812381271873,7.813981041763736e-09,pending_dense_projection,
267,design_000267,True,True,-4.752910277777588e-08,8.673617379884035e-18,128x68,5.569940329670569e-08,0.8873509538990194,1.041224745552592e-09,pending_dense_projection,
324,design_000324,True,True,-2.752398348212965e-07,1.1102230246251565e-16,128x68,3.2489072936914844e-07,0.7483837953965323,9.167197793669577e-09,pending_dense_projection,
150,design_000150,True,True,-6.69471014674478e-09,6.193206969087853e-10,128x68,1.0758194170406512e-09,0.6561972477142559,5.988210261525698e-12,pending_dense_projection,
266,design_000266,True,True,-9.754700683504075e-06,1.1102230246251565e-16,128x68,1.507069806946739e-05,0.8665224736399327,1.2543393655758928e-06,pending_dense_projection,
4,design_000004,True,True,-6.025421555875865e-09,1.1530345702929703e-14,128x68,1.318943620102199e-14,0.27923881101576314,2.277811757331667e-18,pending_dense_projection,
186,design_000186,True,True,-5.276386489587168e-07,2.220446049250313e-16,128x68,6.003627516686936e-07,0.8787931025924693,2.1773317143364142e-08,pending_dense_projection,
138,design_000138,True,True,-0.0001906827853515072,2.7755575615628914e-17,128x68,0.00032670695887687185,0.735310830589774,5.230612522384139e-05,pending_dense_projection,
500,design_000500,True,True,-5.4256457169802276e-08,1.6325393325270998e-11,128x68,1.8660877097114877e-11,0.8134279268077376,3.101036530806554e-14,pending_dense_projection,
14,design_000014,True,True,-1.4229006847163612e-07,0.0,128x68,1.5723962852533378e-07,0.536618867088265,3.845799417200536e-09,pending_dense_projection,
