case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,dx_km,dy_km,exact_lp_success,exact_lp_verified_linf_residual,minimum_linf_residual,minimum_l2_residual_at_linf_solution,lp_active_weight_count,lp_maximum_weight
0,design_000017,17,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,2.7755575615628914e-16,1.1102230246251565e-16,1.1102230246256614e-16,5,0.5823646334474057
1,design_000024,24,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,5,0.43219373634906477
2,design_000107,107,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.8358305641496064e-11,6.507310953398351e-10,6.507310953398353e-10,4,0.6556168406833942
3,design_000159,159,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,4.3357376361183853e-10,1.7868973996098966e-11,1.786897399609905e-11,5,0.49038996544203733
4,design_000199,199,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,3.732067912245365e-10,4.222859986788134e-10,4.222859986788207e-10,4,0.5913329211332102
5,design_000205,205,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.0587911840678754e-22,1.1102230246251565e-16,1.1102230246252828e-16,5,0.5116089218259636
6,design_000215,215,support_random,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102314949223176e-16,5,0.3731149064905457
7,design_000279,279,longitudinal_stratified,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.448494102440634e-16,6.245004513516506e-17,8.35763991997998e-17,5,0.4641465653506699
8,design_000321,321,longitudinal_stratified,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.649079256109843e-11,1.2213301861350434e-10,1.2213301861350434e-10,4,0.7286668903316351
9,design_000392,392,lateral_discriminating,2.5,10,128,68,8704,28.515625,28.676470588235293,True,4.0657581468206416e-20,5.421010862427522e-20,6.060874975586348e-20,5,0.7876613924144522
10,design_000403,403,lateral_discriminating,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.1102230246251565e-16,6.938893903907228e-18,6.938893903907228e-18,5,0.43875114874483195
11,design_000424,424,upstream_focused,2.5,10,128,68,8704,28.515625,28.676470588235293,True,1.1102230246251565e-16,3.3306690738754696e-16,3.3422138886441676e-16,5,0.5283218494807185
12,design_000460,460,upstream_focused,2.5,10,128,68,8704,28.515625,28.676470588235293,True,0.0,5.551115123125783e-17,5.732467154385379e-17,5,0.5767262439651362
13,design_000363,363,lateral_discriminating,5.0,20,128,68,8704,28.515625,28.676470588235293,True,2.7755575615628914e-16,6.938893903907228e-18,6.938893903907228e-18,5,0.5322601418126448
14,design_000400,400,lateral_discriminating,5.0,20,128,68,8704,28.515625,28.676470588235293,True,1.457167719820518e-16,3.469446951953614e-18,3.469446951953614e-18,5,0.5208097574887646
15,design_000215,215,support_random,7.5,30,128,68,8704,28.515625,28.676470588235293,True,5.551115123125783e-17,5.551115123125783e-17,6.206335383118183e-17,5,0.53116114734164
16,design_000302,302,longitudinal_stratified,7.5,30,128,68,8704,28.515625,28.676470588235293,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1775693440128312e-16,5,0.33106638090337676
17,design_000354,354,lateral_discriminating,7.5,30,128,68,8704,28.515625,28.676470588235293,True,1.6143336667440167e-14,2.7755575615628914e-17,2.7755575615628914e-17,5,0.3401189185527694
18,design_000387,387,lateral_discriminating,10.0,40,128,68,8704,28.515625,28.676470588235293,True,2.706168622523819e-16,2.7755575615628914e-17,2.7755575615628914e-17,5,0.5045498696235583
19,design_000409,409,lateral_discriminating,10.0,40,128,68,8704,28.515625,28.676470588235293,True,1.3010426069826053e-18,2.7755575615628914e-17,2.7755575615628914e-17,5,0.3016752298802044
