case,design_id,day,classification,sensor,target_moment,reference_observable_min,reference_observable_max,coordinatewise_feasible
0,design_000017,2.5,C_convex_hull_failure,1,0.6983407139778137,0.10257166936582508,0.8975271554219882,True
0,design_000017,2.5,C_convex_hull_failure,2,6.790934889977507e-07,1.5014291118895186e-12,1.1347588690818295e-08,False
0,design_000017,2.5,C_convex_hull_failure,3,0.26483145356178284,0.0023487268013005548,0.33224889001908264,True
0,design_000017,2.5,C_convex_hull_failure,4,0.23870335519313812,0.013976363633412387,0.9104002619007906,True
8,design_000321,2.5,B_feasible_but_unhealthy,1,0.02078062668442726,1.0563531886836933e-05,0.3470210517894299,True
8,design_000321,2.5,B_feasible_but_unhealthy,2,0.5269646644592285,0.08601307977700619,0.9999995503725928,True
8,design_000321,2.5,B_feasible_but_unhealthy,3,0.07311472296714783,9.774931388645825e-05,0.12080975505403693,True
8,design_000321,2.5,B_feasible_but_unhealthy,4,1.2216769262884952e-10,4.307634929579695e-17,5.45364734182526e-13,False
15,design_000215,7.5,A_support_repaired,1,0.0034609204158186913,4.777335527320262e-10,0.10065388476102972,True
15,design_000215,7.5,A_support_repaired,2,0.30374565720558167,0.0001442746720049935,0.9489261018826557,True
15,design_000215,7.5,A_support_repaired,3,0.2858392894268036,0.007305249353198185,0.9999990810447251,True
15,design_000215,7.5,A_support_repaired,4,0.22034794092178345,0.0018225129783183437,0.9985773138686704,True
16,design_000302,7.5,B_feasible_but_unhealthy,1,0.10472342371940613,8.059252174873182e-06,0.9904165750313568,True
16,design_000302,7.5,B_feasible_but_unhealthy,2,0.4119352698326111,0.013881275300215636,0.9999803137822756,True
16,design_000302,7.5,B_feasible_but_unhealthy,3,0.24918712675571442,4.717369816582246e-05,0.8220797692391186,True
16,design_000302,7.5,B_feasible_but_unhealthy,4,0.1343679130077362,6.084905667804492e-07,0.3412395346845045,True
