gate,horizon_days,category_type,category,count
florida_A,30,drogue,known_drogued_throughout,65
florida_A,30,drogue,lost_during_horizon,8
florida_A,30,drogue,undrogued_at_entry,38
florida_A,30,drogue,uncertain_drogue_status,0
florida_A,30,drogue,not_assessed_incomplete,90
florida_A,30,completeness,exact_6_hour,111
florida_A,30,completeness,materially_incomplete,90
florida_A,30,scalar_metadata,drogue_lost_date_missing_or_zero,14
florida_A,45,drogue,known_drogued_throughout,63
florida_A,45,drogue,lost_during_horizon,9
florida_A,45,drogue,undrogued_at_entry,33
florida_A,45,drogue,uncertain_drogue_status,0
florida_A,45,drogue,not_assessed_incomplete,96
florida_A,45,completeness,exact_6_hour,104
florida_A,45,completeness,materially_incomplete,97
florida_A,45,scalar_metadata,drogue_lost_date_missing_or_zero,14
florida_A,60,drogue,known_drogued_throughout,59
florida_A,60,drogue,lost_during_horizon,11
florida_A,60,drogue,undrogued_at_entry,32
florida_A,60,drogue,uncertain_drogue_status,0
florida_A,60,drogue,not_assessed_incomplete,99
florida_A,60,completeness,exact_6_hour,101
florida_A,60,completeness,materially_incomplete,100
florida_A,60,scalar_metadata,drogue_lost_date_missing_or_zero,14
florida_B,30,drogue,known_drogued_throughout,67
florida_B,30,drogue,lost_during_horizon,2
florida_B,30,drogue,undrogued_at_entry,44
florida_B,30,drogue,uncertain_drogue_status,0
florida_B,30,drogue,not_assessed_incomplete,56
florida_B,30,completeness,exact_6_hour,113
florida_B,30,completeness,materially_incomplete,56
florida_B,30,scalar_metadata,drogue_lost_date_missing_or_zero,12
florida_B,45,drogue,known_drogued_throughout,65
florida_B,45,drogue,lost_during_horizon,4
florida_B,45,drogue,undrogued_at_entry,39
florida_B,45,drogue,uncertain_drogue_status,0
florida_B,45,drogue,not_assessed_incomplete,61
florida_B,45,completeness,exact_6_hour,107
florida_B,45,completeness,materially_incomplete,62
florida_B,45,scalar_metadata,drogue_lost_date_missing_or_zero,12
florida_B,60,drogue,known_drogued_throughout,57
florida_B,60,drogue,lost_during_horizon,9
florida_B,60,drogue,undrogued_at_entry,37
florida_B,60,drogue,uncertain_drogue_status,0
florida_B,60,drogue,not_assessed_incomplete,66
florida_B,60,completeness,exact_6_hour,102
florida_B,60,completeness,materially_incomplete,67
florida_B,60,scalar_metadata,drogue_lost_date_missing_or_zero,12
yucatan_A,30,drogue,known_drogued_throughout,63
yucatan_A,30,drogue,lost_during_horizon,9
yucatan_A,30,drogue,undrogued_at_entry,39
yucatan_A,30,drogue,uncertain_drogue_status,0
yucatan_A,30,drogue,not_assessed_incomplete,50
yucatan_A,30,completeness,exact_6_hour,111
yucatan_A,30,completeness,materially_incomplete,50
yucatan_A,30,scalar_metadata,drogue_lost_date_missing_or_zero,4
yucatan_A,45,drogue,known_drogued_throughout,52
yucatan_A,45,drogue,lost_during_horizon,8
yucatan_A,45,drogue,undrogued_at_entry,33
yucatan_A,45,drogue,uncertain_drogue_status,0
yucatan_A,45,drogue,not_assessed_incomplete,68
yucatan_A,45,completeness,exact_6_hour,92
yucatan_A,45,completeness,materially_incomplete,69
yucatan_A,45,scalar_metadata,drogue_lost_date_missing_or_zero,4
yucatan_A,60,drogue,known_drogued_throughout,43
yucatan_A,60,drogue,lost_during_horizon,13
yucatan_A,60,drogue,undrogued_at_entry,28
yucatan_A,60,drogue,uncertain_drogue_status,0
yucatan_A,60,drogue,not_assessed_incomplete,77
yucatan_A,60,completeness,exact_6_hour,84
yucatan_A,60,completeness,materially_incomplete,77
yucatan_A,60,scalar_metadata,drogue_lost_date_missing_or_zero,4
yucatan_B,30,drogue,known_drogued_throughout,67
yucatan_B,30,drogue,lost_during_horizon,7
yucatan_B,30,drogue,undrogued_at_entry,47
yucatan_B,30,drogue,uncertain_drogue_status,0
yucatan_B,30,drogue,not_assessed_incomplete,35
yucatan_B,30,completeness,exact_6_hour,121
yucatan_B,30,completeness,materially_incomplete,35
yucatan_B,30,scalar_metadata,drogue_lost_date_missing_or_zero,4
yucatan_B,45,drogue,known_drogued_throughout,53
yucatan_B,45,drogue,lost_during_horizon,12
yucatan_B,45,drogue,undrogued_at_entry,37
yucatan_B,45,drogue,uncertain_drogue_status,0
yucatan_B,45,drogue,not_assessed_incomplete,54
yucatan_B,45,completeness,exact_6_hour,101
yucatan_B,45,completeness,materially_incomplete,55
yucatan_B,45,scalar_metadata,drogue_lost_date_missing_or_zero,4
yucatan_B,60,drogue,known_drogued_throughout,45
yucatan_B,60,drogue,lost_during_horizon,16
yucatan_B,60,drogue,undrogued_at_entry,32
yucatan_B,60,drogue,uncertain_drogue_status,0
yucatan_B,60,drogue,not_assessed_incomplete,63
yucatan_B,60,completeness,exact_6_hour,93
yucatan_B,60,completeness,materially_incomplete,63
yucatan_B,60,scalar_metadata,drogue_lost_date_missing_or_zero,4
gulfstream_downstream_A,30,drogue,known_drogued_throughout,258
gulfstream_downstream_A,30,drogue,lost_during_horizon,14
gulfstream_downstream_A,30,drogue,undrogued_at_entry,140
gulfstream_downstream_A,30,drogue,uncertain_drogue_status,0
gulfstream_downstream_A,30,drogue,not_assessed_incomplete,38
gulfstream_downstream_A,30,completeness,exact_6_hour,412
gulfstream_downstream_A,30,completeness,materially_incomplete,38
gulfstream_downstream_A,30,scalar_metadata,drogue_lost_date_missing_or_zero,19
gulfstream_downstream_A,45,drogue,known_drogued_throughout,237
gulfstream_downstream_A,45,drogue,lost_during_horizon,21
gulfstream_downstream_A,45,drogue,undrogued_at_entry,137
gulfstream_downstream_A,45,drogue,uncertain_drogue_status,0
gulfstream_downstream_A,45,drogue,not_assessed_incomplete,55
gulfstream_downstream_A,45,completeness,exact_6_hour,394
gulfstream_downstream_A,45,completeness,materially_incomplete,56
gulfstream_downstream_A,45,scalar_metadata,drogue_lost_date_missing_or_zero,19
gulfstream_downstream_A,60,drogue,known_drogued_throughout,221
gulfstream_downstream_A,60,drogue,lost_during_horizon,28
gulfstream_downstream_A,60,drogue,undrogued_at_entry,133
gulfstream_downstream_A,60,drogue,uncertain_drogue_status,0
gulfstream_downstream_A,60,drogue,not_assessed_incomplete,68
gulfstream_downstream_A,60,completeness,exact_6_hour,381
gulfstream_downstream_A,60,completeness,materially_incomplete,69
gulfstream_downstream_A,60,scalar_metadata,drogue_lost_date_missing_or_zero,19
cape_hatteras_A,30,drogue,known_drogued_throughout,296
cape_hatteras_A,30,drogue,lost_during_horizon,15
cape_hatteras_A,30,drogue,undrogued_at_entry,177
cape_hatteras_A,30,drogue,uncertain_drogue_status,0
cape_hatteras_A,30,drogue,not_assessed_incomplete,48
cape_hatteras_A,30,completeness,exact_6_hour,487
cape_hatteras_A,30,completeness,materially_incomplete,49
cape_hatteras_A,30,scalar_metadata,drogue_lost_date_missing_or_zero,37
cape_hatteras_A,45,drogue,known_drogued_throughout,281
cape_hatteras_A,45,drogue,lost_during_horizon,24
cape_hatteras_A,45,drogue,undrogued_at_entry,171
cape_hatteras_A,45,drogue,uncertain_drogue_status,0
cape_hatteras_A,45,drogue,not_assessed_incomplete,60
cape_hatteras_A,45,completeness,exact_6_hour,472
cape_hatteras_A,45,completeness,materially_incomplete,64
cape_hatteras_A,45,scalar_metadata,drogue_lost_date_missing_or_zero,37
cape_hatteras_A,60,drogue,known_drogued_throughout,257
cape_hatteras_A,60,drogue,lost_during_horizon,32
cape_hatteras_A,60,drogue,undrogued_at_entry,164
cape_hatteras_A,60,drogue,uncertain_drogue_status,0
cape_hatteras_A,60,drogue,not_assessed_incomplete,83
cape_hatteras_A,60,completeness,exact_6_hour,449
cape_hatteras_A,60,completeness,materially_incomplete,87
cape_hatteras_A,60,scalar_metadata,drogue_lost_date_missing_or_zero,37
cape_hatteras_B,30,drogue,known_drogued_throughout,233
cape_hatteras_B,30,drogue,lost_during_horizon,11
cape_hatteras_B,30,drogue,undrogued_at_entry,158
cape_hatteras_B,30,drogue,uncertain_drogue_status,0
cape_hatteras_B,30,drogue,not_assessed_incomplete,33
cape_hatteras_B,30,completeness,exact_6_hour,401
cape_hatteras_B,30,completeness,materially_incomplete,34
cape_hatteras_B,30,scalar_metadata,drogue_lost_date_missing_or_zero,30
cape_hatteras_B,45,drogue,known_drogued_throughout,221
cape_hatteras_B,45,drogue,lost_during_horizon,17
cape_hatteras_B,45,drogue,undrogued_at_entry,153
cape_hatteras_B,45,drogue,uncertain_drogue_status,0
cape_hatteras_B,45,drogue,not_assessed_incomplete,44
cape_hatteras_B,45,completeness,exact_6_hour,389
cape_hatteras_B,45,completeness,materially_incomplete,46
cape_hatteras_B,45,scalar_metadata,drogue_lost_date_missing_or_zero,30
cape_hatteras_B,60,drogue,known_drogued_throughout,198
cape_hatteras_B,60,drogue,lost_during_horizon,27
cape_hatteras_B,60,drogue,undrogued_at_entry,146
cape_hatteras_B,60,drogue,uncertain_drogue_status,0
cape_hatteras_B,60,drogue,not_assessed_incomplete,64
cape_hatteras_B,60,completeness,exact_6_hour,369
cape_hatteras_B,60,completeness,materially_incomplete,66
cape_hatteras_B,60,scalar_metadata,drogue_lost_date_missing_or_zero,30
midatlantic_A,30,drogue,known_drogued_throughout,354
midatlantic_A,30,drogue,lost_during_horizon,20
midatlantic_A,30,drogue,undrogued_at_entry,220
midatlantic_A,30,drogue,uncertain_drogue_status,0
midatlantic_A,30,drogue,not_assessed_incomplete,34
midatlantic_A,30,completeness,exact_6_hour,593
midatlantic_A,30,completeness,materially_incomplete,35
midatlantic_A,30,scalar_metadata,drogue_lost_date_missing_or_zero,48
midatlantic_A,45,drogue,known_drogued_throughout,328
midatlantic_A,45,drogue,lost_during_horizon,33
midatlantic_A,45,drogue,undrogued_at_entry,209
midatlantic_A,45,drogue,uncertain_drogue_status,0
midatlantic_A,45,drogue,not_assessed_incomplete,58
midatlantic_A,45,completeness,exact_6_hour,568
midatlantic_A,45,completeness,materially_incomplete,60
midatlantic_A,45,scalar_metadata,drogue_lost_date_missing_or_zero,48
midatlantic_A,60,drogue,known_drogued_throughout,307
midatlantic_A,60,drogue,lost_during_horizon,42
midatlantic_A,60,drogue,undrogued_at_entry,207
midatlantic_A,60,drogue,uncertain_drogue_status,0
midatlantic_A,60,drogue,not_assessed_incomplete,72
midatlantic_A,60,completeness,exact_6_hour,548
midatlantic_A,60,completeness,materially_incomplete,80
midatlantic_A,60,scalar_metadata,drogue_lost_date_missing_or_zero,48
north_atlantic_A,30,drogue,known_drogued_throughout,359
north_atlantic_A,30,drogue,lost_during_horizon,23
north_atlantic_A,30,drogue,undrogued_at_entry,211
north_atlantic_A,30,drogue,uncertain_drogue_status,0
north_atlantic_A,30,drogue,not_assessed_incomplete,40
north_atlantic_A,30,completeness,exact_6_hour,593
north_atlantic_A,30,completeness,materially_incomplete,40
north_atlantic_A,30,scalar_metadata,drogue_lost_date_missing_or_zero,43
north_atlantic_A,45,drogue,known_drogued_throughout,340
north_atlantic_A,45,drogue,lost_during_horizon,31
north_atlantic_A,45,drogue,undrogued_at_entry,202
north_atlantic_A,45,drogue,uncertain_drogue_status,0
north_atlantic_A,45,drogue,not_assessed_incomplete,60
north_atlantic_A,45,completeness,exact_6_hour,572
north_atlantic_A,45,completeness,materially_incomplete,61
north_atlantic_A,45,scalar_metadata,drogue_lost_date_missing_or_zero,43
north_atlantic_A,60,drogue,known_drogued_throughout,315
north_atlantic_A,60,drogue,lost_during_horizon,39
north_atlantic_A,60,drogue,undrogued_at_entry,201
north_atlantic_A,60,drogue,uncertain_drogue_status,0
north_atlantic_A,60,drogue,not_assessed_incomplete,78
north_atlantic_A,60,completeness,exact_6_hour,552
north_atlantic_A,60,completeness,materially_incomplete,81
north_atlantic_A,60,scalar_metadata,drogue_lost_date_missing_or_zero,43
