design_index,design_id,production_time_count,valid_time_count,solver_success_time_count,rank_sensitivity_valid_time_count,pointwise_tangent_full_valid_time_count,adaptive_required_time_count,adaptive_valid_time_count,canonical_tangent_action,production_grid_tangent_action,production_full_action,integrated_tangent_full_inequality_valid,full_action_valid,density_modified,operator_floor,final_test_accessed,production_full_action_optimum,production_full_action_rank
216,design_000216,181,179,181,179,181,10,10,1037513.6600102822,1037590.4474456508,4839010.534397212,True,False,False,0.0,False,False,
278,design_000278,181,167,181,167,181,10,10,1067799.028992142,1068891.7484549123,28521036.586776055,True,False,False,0.0,False,False,
240,design_000240,181,162,181,162,181,10,10,1038237.2439511812,1038319.7329603697,4502562.040201155,True,False,False,0.0,False,False,
266,design_000266,181,171,181,171,181,10,10,1085614.8163801546,1085761.5804873193,6617864.7921486925,True,False,False,0.0,False,False,
324,design_000324,181,171,181,171,181,10,10,990968.633698364,988597.102512792,3835463.817611783,True,False,False,0.0,False,False,
235,design_000235,181,169,181,169,181,10,10,1074900.8520710934,1074869.6938681663,3052336.9020159123,True,False,False,0.0,False,False,
267,design_000267,181,172,181,172,181,10,10,1053864.792503537,1053780.7763248128,6812001.4883661,True,False,False,0.0,False,False,
186,design_000186,181,155,181,155,181,10,10,1094581.5936951048,1095794.2790549537,19641192.331992403,True,False,False,0.0,False,False,
4,design_000004,181,170,181,170,181,10,10,3065369.045661061,3065207.436838026,7032634.914068686,True,False,False,0.0,False,False,
138,design_000138,181,173,181,173,181,10,10,1877866.8958318827,1877714.3449589168,15739036.829084639,True,False,False,0.0,False,False,
347,design_000347,181,162,181,162,181,10,10,961484.1348604917,964822.4482630292,19562566.552227195,True,False,False,0.0,False,False,
14,design_000014,181,165,181,165,181,10,10,1836011.8746344345,1836053.1362743508,13729197.945297593,True,False,False,0.0,False,False,
150,design_000150,181,180,181,181,180,10,10,1043229.570725814,1043200.4832862281,2188125.41280229,True,False,False,0.0,False,False,
193,design_000193,181,176,181,177,180,10,10,1371220.7511503326,1370924.725378254,5509827.831331294,True,False,False,0.0,False,False,
281,design_000281,181,166,181,166,181,10,10,1028086.7717741922,1029052.7227951733,9545544.074601633,True,False,False,0.0,False,False,
312,design_000312,181,168,181,168,181,10,10,1212231.397298253,1212287.1017465517,46604199.59807828,True,False,False,0.0,False,False,
121,design_000121,181,179,181,180,180,10,10,1130151.8143449442,1130432.773478824,2310714.822878269,True,False,False,0.0,False,False,
241,design_000241,181,174,181,174,181,10,10,1026012.4451500893,1026008.9018350539,3083867.349316226,True,False,False,0.0,False,False,
245,design_000245,181,173,181,173,181,10,10,784793.1384023115,786570.1315907721,3232975.451774871,True,False,False,0.0,False,False,
224,design_000224,181,167,181,168,180,10,10,940841.22597554,942032.9953531608,17612071.579344705,True,False,False,0.0,False,False,
307,design_000307,181,180,181,180,181,10,10,1097550.3348442654,1097524.254124071,5739988.990051009,True,False,False,0.0,False,False,
182,design_000182,181,178,181,178,181,10,10,1235077.1090200162,1234959.9929460976,2778253.133156672,True,False,False,0.0,False,False,
56,design_000056,181,177,181,177,181,10,10,744901.632659021,744603.3605746168,1793577.9447374456,True,False,False,0.0,False,False,
318,design_000318,181,170,181,170,181,10,10,853506.6380772945,848917.2744019958,4854378.951945128,True,False,False,0.0,False,False,
252,design_000252,181,174,181,174,181,10,10,926056.4696772111,927054.1986706135,5179116.260953538,True,False,False,0.0,False,False,
340,design_000340,181,171,181,171,181,10,10,897067.2507532568,897338.176203583,3530405.0484161004,True,False,False,0.0,False,False,
218,design_000218,181,181,181,181,181,10,10,1041721.3284615687,1041346.1521402312,2951535.5125757568,True,True,False,0.0,False,False,3
88,design_000088,181,170,181,170,181,10,10,1191916.6724783266,1190823.1197597114,15020081.041578207,True,False,False,0.0,False,False,
