case_label,design_index,design_id,source_time_index,day,maximum_mode,basis_size,retained_rank,condition_proxy,full_action_density,tangent_action_density,maximum_relative_rank_action_change,rank_sensitivity_valid,tangent_full_inequality_valid,solver_success,density_modified,operator_floor,final_test_accessed
median_rank_failure,329,design_000329,16,4.0,3,15,15,21010545864.319717,7529911.995068991,1583710.02210276,0.015876991948800854,True,True,True,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,3,15,15,102019617531.88066,9806362.01018947,5885375.1160616055,3.0129326713692852e-05,True,True,True,False,0.0,False
median_rank_failure,329,design_000329,16,4.0,4,24,22,643110424826.1969,8391255.229035769,1583710.02210276,0.030095250897201397,True,True,True,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,4,24,21,190185043778.71014,10543564.777813988,5885375.1160616055,0.0010405845177286258,True,True,True,False,0.0,False
median_rank_failure,329,design_000329,16,4.0,5,35,27,46241924271.93204,8728001.477313325,1583710.02210276,0.12008483016821364,False,True,True,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,5,35,27,228876897343.55136,11006127.000684135,5885375.1160616055,0.009467637992066898,True,True,True,False,0.0,False
median_rank_failure,329,design_000329,16,4.0,6,48,34,284645590901.21295,10191727.070604814,1583710.02210276,0.13148503316714868,False,True,True,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,6,48,34,538611308133.1433,11563608.244411038,5885375.1160616055,0.009916031096112622,True,True,True,False,0.0,False
median_rank_failure,329,design_000329,16,4.0,7,63,41,494358388298.7031,10633342.785044553,1583710.02210276,0.011972958591190507,True,True,True,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,7,63,40,387897117286.26807,11795623.277441055,5885375.1160616055,0.013316729564856397,True,True,True,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,3,15,15,2589998602.0237436,272914401.2058494,22830405.683293693,0.0,True,True,True,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,3,15,15,3065401774.8587985,9641467.452043634,1333467.683764298,0.0,True,True,True,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,4,24,23,206422833398.57498,1044083701.995315,22830405.683293693,0.6575912913464738,False,True,True,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,4,24,22,36489539496.04896,15378699.363142008,1333467.683764298,0.013729064156785365,True,True,True,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,5,35,28,43656360100.564026,4544279141.194266,22830405.683293693,0.8185614480774153,False,True,True,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,5,35,30,673019023932.4762,16544410.886604788,1333467.683764298,0.009906743428149347,True,True,True,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,6,48,37,502603536285.9985,8463784679.683817,22830405.683293693,0.4509576279882514,False,True,True,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,6,48,37,881442458770.8904,17142983.573458135,1333467.683764298,0.040484089735804675,True,True,True,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,7,63,43,88725985066.81705,13246309215.955976,22830405.683293693,0.7855972343036861,False,True,True,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,7,63,45,724069862477.3589,18870507.201456472,1333467.683764298,0.06450481946778579,False,True,True,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,3,15,15,409135066.5657363,4082215.1839441517,29489416.925481346,0.0,True,False,True,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,3,15,15,127612116.94647062,3225906.9446198265,2626051.9049762753,0.0,True,True,True,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,4,24,24,434001791329.52423,12017764.05014816,29489416.925481346,0.0004899170813230924,True,False,True,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,4,24,24,90953548131.46077,3285613.032096386,2626051.9049762753,0.00045374659038597566,True,True,True,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,5,35,33,891201772196.6848,12265284.53256294,29489416.925481346,0.002815925251732303,True,False,True,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,5,35,32,117465828879.94301,3340548.3514233055,2626051.9049762753,0.0063985699886796605,True,True,True,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,6,48,42,373915622092.22424,29520497.992222544,29489416.925481346,0.13991928682302449,False,True,True,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,6,48,40,44832550096.1586,3346418.439299911,2626051.9049762753,0.0032480101854898726,True,True,True,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,7,63,51,429839943492.13055,98286996.6775198,29489416.925481346,0.7991157481412674,False,True,True,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,7,63,50,521208351605.19977,3363359.8926139697,2626051.9049762753,0.003411227995017399,True,True,True,False,0.0,False
