case_label,design_index,design_id,source_time_index,day,trial_family,basis_size,retained_rank_primary,condition_proxy_primary,tangent_action_density,full_action_density_primary,full_to_tangent_ratio,maximum_relative_rank_action_change,rank_sensitivity_valid,tangent_full_inequality_valid,rank_tolerance_1e-10_action,rank_tolerance_1e-12_action,rank_tolerance_1e-14_action,density_modified,operator_floor,final_test_accessed
median_rank_failure,329,design_000329,16,4.0,sensor_features_only,4,4,12.857070801966588,1583710.02210276,1583710.0221023578,0.9999999999997461,0.0,True,False,1583710.0221023578,1583710.0221023578,1583710.0221023578,False,0.0,False
median_rank_failure,329,design_000329,16,4.0,cosine_mode_5_only,35,27,46241969332.3322,1583710.02210276,8728001.42955218,5.51111081431665,0.1200978397025041,False,True,8706856.162134342,8728001.42955218,9919286.28360366,False,0.0,False
median_rank_failure,329,design_000329,16,4.0,cosine_mode_5_plus_sensor_features,39,31,58695403207.98746,1583710.02210276,10334138.660075039,6.525271997934293,0.005977787116981936,True,True,10272363.379127737,10334138.660075039,10352218.223486168,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,sensor_features_only,4,4,55.050988642635765,5885375.1160616055,5885375.116061138,0.9999999999999205,0.0,True,False,5885375.116061138,5885375.116061138,5885375.116061138,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,cosine_mode_5_only,35,27,228876300258.49924,5885375.1160616055,11006127.048686622,1.8700808073643636,0.00946639509077713,True,True,10984000.598084249,11006127.048686622,11111311.109626891,False,0.0,False
control_for_median_rank_failure,218,design_000218,16,4.0,cosine_mode_5_plus_sensor_features,39,31,415462195331.56555,5885375.1160616055,11265745.129337884,1.914193217454036,0.0153520159240921,True,True,11092793.230715526,11265745.129337884,11314519.072589505,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,sensor_features_only,4,4,16.48747888533378,22830405.683293693,22830405.683293473,0.9999999999999903,0.0,True,False,22830405.683293473,22830405.683293473,22830405.683293473,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,cosine_mode_5_only,35,28,43656368515.48035,22830405.683293693,4544279803.206231,199.0450746362137,0.8185614593023,False,True,824507496.0157697,4544279803.206231,5310797455.789951,False,0.0,False
maximum_rank_failure,312,design_000312,20,5.0,cosine_mode_5_plus_sensor_features,39,32,74059776166.59856,22830405.683293693,5602914562.522089,245.41458615525437,0.44704621012268037,False,True,3098152841.7054133,5602914562.522089,5693663107.123791,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,sensor_features_only,4,4,6.584542383420124,1333467.683764298,1333467.6837631005,0.999999999999102,0.0,True,False,1333467.6837631005,1333467.6837631005,1333467.6837631005,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,cosine_mode_5_only,35,30,673034752952.5287,1333467.683764298,16544415.668642726,12.407061580929243,0.009907024336299274,True,True,16380509.739983631,16544415.668642726,16558695.094566317,False,0.0,False
control_for_maximum_rank_failure,218,design_000218,20,5.0,cosine_mode_5_plus_sensor_features,39,32,373509479273.77325,1333467.683764298,17259930.27783821,12.943643470319792,0.018282751045103903,True,True,17063571.262303974,17259930.27783821,17581366.015736777,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,sensor_features_only,4,4,3.5680649060349756,29489416.925481346,29489416.925466217,0.999999999999487,0.0,True,False,29489416.925466217,29489416.925466217,29489416.925466217,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,cosine_mode_5_only,35,33,891178596957.1542,29489416.925481346,12265284.607085919,0.4159215707139899,0.002815931689660439,True,False,12230746.403478121,12265284.607085919,12269221.875388969,False,0.0,False
maximum_lower_bound_failure,121,design_000121,34,8.5,cosine_mode_5_plus_sensor_features,39,37,996876680088.5165,29489416.925481346,181667907.49817023,6.160444201295612,0.03996371506348859,True,True,174407783.00673315,181667907.49817023,182019581.542188,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,sensor_features_only,4,4,3.7260824067266203,2626051.9049762753,2626051.9049760266,0.9999999999999053,0.0,True,False,2626051.9049760266,2626051.9049760266,2626051.9049760266,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,cosine_mode_5_only,35,32,117466018479.03738,2626051.9049762753,3340548.3614815655,1.272080096799056,0.006398572644530669,True,True,3319173.620118058,3340548.3614815655,3341649.868762755,False,0.0,False
control_for_maximum_lower_bound_failure,218,design_000218,34,8.5,cosine_mode_5_plus_sensor_features,39,36,222929179212.867,2626051.9049762753,3351585.2679081005,1.2762829483899252,0.0008501066256216751,True,True,3348736.063065516,3351585.2679081005,3353046.2500519613,False,0.0,False
