gate,horizon_days,N_entries,N_eligible,N_30,N_45,N_60,drogued_fraction,incomplete_fraction,near_complete_fraction,excluded_for_drogue_uncertainty_fraction,missing_ambiguous_drogue_metadata_fraction,distinct_years,distinct_seasons,distinct_decades
florida_A,30,201,65,65,63,59,0.32338308457711445,0.44776119402985076,0.0,0.0,0.06965174129353234,20,4,4
florida_A,45,201,63,65,63,59,0.31343283582089554,0.48258706467661694,0.0,0.0,0.06965174129353234,20,4,4
florida_A,60,201,59,65,63,59,0.2935323383084577,0.4975124378109453,0.0,0.0,0.06965174129353234,20,4,4
florida_B,30,169,67,67,65,57,0.39644970414201186,0.33136094674556216,0.0,0.0,0.07100591715976332,20,4,4
florida_B,45,169,65,67,65,57,0.38461538461538464,0.3668639053254438,0.0,0.0,0.07100591715976332,20,4,4
florida_B,60,169,57,67,65,57,0.33727810650887574,0.39644970414201186,0.0,0.0,0.07100591715976332,20,4,4
yucatan_A,30,161,63,63,52,43,0.391304347826087,0.3105590062111801,0.0,0.0,0.024844720496894408,15,4,4
yucatan_A,45,161,52,63,52,43,0.32298136645962733,0.42857142857142855,0.0,0.0,0.024844720496894408,14,4,4
yucatan_A,60,161,43,63,52,43,0.2670807453416149,0.4782608695652174,0.0,0.0,0.024844720496894408,13,4,4
yucatan_B,30,156,67,67,53,45,0.42948717948717946,0.22435897435897437,0.0,0.0,0.02564102564102564,17,4,4
yucatan_B,45,156,53,67,53,45,0.33974358974358976,0.3525641025641026,0.0,0.0,0.02564102564102564,15,4,4
yucatan_B,60,156,45,67,53,45,0.28846153846153844,0.40384615384615385,0.0,0.0,0.02564102564102564,13,4,4
gulfstream_downstream_A,30,450,258,258,237,221,0.5733333333333334,0.08444444444444445,0.0,0.0,0.042222222222222223,31,4,4
gulfstream_downstream_A,45,450,237,258,237,221,0.5266666666666666,0.12444444444444444,0.0,0.0,0.042222222222222223,30,4,4
gulfstream_downstream_A,60,450,221,258,237,221,0.4911111111111111,0.15333333333333332,0.0,0.0,0.042222222222222223,30,4,4
cape_hatteras_A,30,536,295,295,279,255,0.5522388059701493,0.0914179104477612,0.0,0.0,0.06902985074626866,34,4,4
cape_hatteras_A,45,536,279,295,279,255,0.5242537313432836,0.11940298507462686,0.0,0.0,0.06902985074626866,34,4,4
cape_hatteras_A,60,536,255,295,279,255,0.47947761194029853,0.1623134328358209,0.0,0.0,0.06902985074626866,34,4,4
cape_hatteras_B,30,435,232,232,220,197,0.535632183908046,0.07816091954022988,0.0,0.0,0.06896551724137931,29,4,4
cape_hatteras_B,45,435,220,232,220,197,0.5080459770114942,0.10574712643678161,0.0,0.0,0.06896551724137931,29,4,4
cape_hatteras_B,60,435,197,232,220,197,0.45517241379310347,0.15172413793103448,0.0,0.0,0.06896551724137931,28,4,4
midatlantic_A,30,628,354,354,328,306,0.5636942675159236,0.05573248407643312,0.0,0.0,0.07643312101910828,34,4,5
midatlantic_A,45,628,328,354,328,306,0.5222929936305732,0.09554140127388536,0.0,0.0,0.07643312101910828,34,4,5
midatlantic_A,60,628,306,354,328,306,0.4888535031847134,0.12738853503184713,0.0,0.0,0.07643312101910828,34,4,5
north_atlantic_A,30,633,359,359,339,313,0.5671406003159558,0.0631911532385466,0.0,0.0,0.0679304897314376,34,4,5
north_atlantic_A,45,633,339,359,339,313,0.5371248025276462,0.09636650868878358,0.0,0.0,0.0679304897314376,34,4,5
north_atlantic_A,60,633,313,359,339,313,0.4976303317535545,0.12796208530805686,0.0,0.0,0.0679304897314376,34,4,5
