case,design_id,day,source_time_index,particle_200000_exact_lp_success,domain_grid_fine_minimum_linf_residual,medium_fine_relative_lambda_change,medium_fine_relative_kl_change,medium_fine_log10_intrinsic_ess_change,fine_verified_l2_residual,fine_kl_divergence,fine_intrinsic_ess,stable_grid_iprojection
0,design_000017,2.5,10,False,1.1102230246251565e-16,2.3379059589108e-05,1.506660252160868e-08,1.0655460437001238,3.821241249793745e-13,9.52405858227384,0.0,False
1,design_000024,2.5,10,False,2.7755575615628914e-17,1.2102711854360975e-09,2.6240864418010287e-09,0.0019041644549417924,2.2064183422174739e-10,13.229078565111307,6.829162611258668e-125,True
2,design_000107,2.5,10,False,1.305320365685425e-10,15556.55643372511,0.006681488542843596,3663.714512668005,5.332735773390143e-09,30.65866776633069,0.0,False
3,design_000159,2.5,10,False,5.631590144702546e-11,4.636820707194287e-05,3.5429662419282236e-06,0.40497055617561273,7.028830875946466e-09,14.010204797924029,0.0,True
4,design_000199,2.5,10,True,4.1294283089582715e-11,2.4867952445655896e-07,1.878928618980846e-08,8.370516733080535e-07,3.6500581248471006e-09,4.717420058306109,0.0011512382026063763,True
5,design_000205,2.5,10,False,1.1102230246251565e-16,0.0003914976799301563,2.7004752751412224e-06,0.19359741643970096,2.7950482015828833e-10,29.083581378172358,1.6719594504509566e-133,True
6,design_000215,2.5,10,False,5.551115123125783e-17,4.665512274165401e-09,1.888369948901427e-09,2.9316255414357784e-05,2.001780582983171e-13,21.88394135483016,1.2229340753165223e-47,True
7,design_000279,2.5,10,False,1.1102230246251565e-16,8.696022740782446e-05,1.0654311017101996e-05,0.11275048571233981,3.0111403419290516e-09,6.4131680236648085,2.252532034896035e-97,True
8,design_000321,2.5,10,True,1.2216536016931833e-10,2.9457746497908145e-08,7.214527622008964e-09,2.8079715441720055e-08,1.2215793528533518e-10,5.068648574694251,2.3728037548271662e-05,True
9,design_000392,2.5,10,False,1.3552527156068805e-20,0.02484662813769345,0.0018982287090732052,0.3939427037190626,8.82211508128903e-09,16.722527038874624,0.0,True
10,design_000403,2.5,10,False,2.220446049250313e-16,1.4880708001517951e-08,2.2363023476826342e-09,0.0009551105589480358,3.1427985749591984e-09,13.073678711603401,2.265904160141556e-36,True
11,design_000424,2.5,10,False,2.7755575615628914e-17,1.5674708073333443e-10,1.6504987135457441e-09,3.175177854330968e-05,4.419835762464798e-15,24.848333826864874,1.7747259641898107e-44,True
12,design_000460,2.5,10,True,1.3877787807814457e-17,1.372482244239188e-06,1.0822603704298762e-07,6.851867288659719e-06,6.689433143184887e-11,6.692639209995761,5.420251080422591e-05,True
13,design_000363,5.0,20,True,1.1102230246251565e-16,8.80425457650038e-15,4.310820779635714e-15,1.8207657603852567e-14,1.758761296921913e-09,2.9875023212493934,0.00039785811278884327,True
14,design_000400,5.0,20,True,5.551115123125783e-17,1.6965642264765362e-14,3.254476810234608e-14,5.906386491005833e-14,1.512366407133789e-11,3.0156526255840452,0.0037147165785029767,True
15,design_000215,7.5,30,True,5.551115123125783e-17,6.79408423675807e-13,6.652845719367937e-16,1.9984014443252818e-15,5.442729652097854e-13,1.335035347527205,0.026308580521999542,True
16,design_000302,7.5,30,True,2.7755575615628914e-17,1.6800488090912782e-14,8.832011354545246e-15,3.730349362740526e-14,2.4487906147411006e-15,2.9666247391846543,1.2935135268985064e-07,True
17,design_000354,7.5,30,True,1.734723475976807e-18,1.445082649063758e-15,8.047632773873446e-15,1.509903313490213e-14,1.0691386028104261e-12,1.876208017831154,3.115891076868749e-08,True
18,design_000387,10.0,40,True,0.0,5.585333250401077e-15,2.5285856875201066e-14,6.039613253960852e-14,7.616366830257405e-10,1.0098581864323533,0.0003049535007682523,True
19,design_000409,10.0,40,True,0.0,7.23190147377266e-15,2.55351295663786e-15,2.4868995751603507e-14,1.9811520871560026e-10,0.9751431934631959,6.868959914559736e-06,True
