case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight
0,design_000017,17,support_random,2.5,10,128,68,8704,False,200,0.0009032043873511172,0.0009032043873529446,0.000599424484302391,12.089797411755063,500.0,97.13586449983889,33.65659446992556,510.60190532831086,9.487637117666132,2.2146306232968437e-13,-12.654698699075766,2.871247628656156e-17,0.07536545824712161,75365457.0831927,0.09679242591206624
0,design_000017,17,support_random,2.5,10,256,136,34816,False,200,0.0009046165854676005,0.0009046165854686888,0.0006010296140336602,12.081312238438567,500.0,97.26423696386045,33.72188924763734,510.63044926051424,9.492393164643124,2.159601494589698e-13,-12.665626380639656,1.416813216406801e-17,0.07529431727274474,75294317.20596491,0.027644723123283553
0,design_000017,17,support_random,2.5,10,512,272,139264,False,200,0.0009046165716771734,0.0009046165716773137,0.0006010296016915051,12.081312233376602,500.0,97.26423627701935,33.721888635822445,510.63044908916174,9.492393110587237,2.1596007601375474e-13,-12.665626528337539,2.3709114550458788e-17,0.07529431959856142,75294318.81339979,0.007029126672154211
1,design_000024,24,support_random,2.5,10,128,68,8704,False,200,0.21710827100500685,0.2171082710050072,0.18747632407903836,6.605938445853472,500.0,-22.950023175294135,2.5921081662666836,500.5767283956003,5.165683079969263,3.8596526729777707e-87,-86.41345177537903,3.6032322070825694e-05,0.07239182562980938,2009.0244937038783,0.10793815367381315
1,design_000024,24,support_random,2.5,10,256,136,34816,False,200,0.2173247627353287,0.21732476273532808,0.1877527623949336,6.736553332625056,500.0,-22.822505552686295,2.565394691062066,500.5725014025707,5.1490162671609445,2.8645336615619446e-87,-86.5429460699252,3.6062481828407625e-05,0.07236484020178634,2006.596078163027,0.028642561687771673
1,design_000024,24,support_random,2.5,10,512,272,139264,False,200,0.2173247674152707,0.21732476741527074,0.18775276739085422,6.736554369342354,500.0,-22.822504341599007,2.565394680202406,500.57250136125,5.14901606038318,2.8892647236730843e-87,-86.53921266488358,3.6062479382620644e-05,0.07236484001432106,2006.5962090500452,0.007383782019576048
2,design_000107,107,support_random,2.5,10,128,68,8704,False,200,0.18835929466308116,0.18835929466308116,0.18104188163543103,-21.49188469568121,-0.48722748610332434,0.29410501287571067,500.0,500.4620115414898,1.373477473614077,2.3337934936065926e-56,-55.631937575263606,-3.084298603083152e-25,0.0060698610239781035,6069862.023978105,0.07392025776318789
2,design_000107,107,support_random,2.5,10,256,136,34816,False,200,0.18878778030529905,0.188787780305299,0.1814286958996981,-21.475091424505887,-0.4596843155217768,0.29154768264112485,500.0,500.46126309776673,1.3595186881792054,3.2960169386336777e-56,-55.482010565076784,-3.1575461487476874e-25,0.006084437908090132,6084438.908090134,0.018812802241800732
2,design_000107,107,support_random,2.5,10,512,272,139264,False,200,0.18878777786040998,0.18878777786041007,0.18142869369125697,-21.475091260203225,-0.459684519347897,0.2915476895426299,500.0,500.46126309090766,1.3595187200803645,3.3171443529861514e-56,-55.47923562876956,-3.1575460458296935e-25,0.006084437784560678,6084438.784560681,0.004803341059673753
3,design_000159,159,support_random,2.5,10,128,68,8704,False,200,0.009309718160273756,0.009309718160273742,0.008635698754399138,161.0094866643568,61.07780263361804,500.0,1.05766409111464,528.8248022018262,10.012505356272893,2.7027055823849525e-155,-154.56820126133408,6.398638759371376e-22,0.024000410986823525,24000411.986808166,0.2613092629488938
