case,design_id,day,particle_200000_lp_feasible,domain_grid_lp_feasible,grid_projection_converged,grid_projection_stable,classification,grid_verified_l2_residual,grid_lambda_norm,grid_kl_divergence,grid_intrinsic_ess,grid_log10_intrinsic_ess,projected_mean_x_km,projected_mean_y_km,projected_mode_x_km,projected_mode_y_km,base_probability_within_one_sigma_of_any_sensor,minimum_base_sensor_expectation,maximum_base_sensor_expectation
0,design_000017,2.5,False,True,True,False,continuous projection exists but resolution-sensitive,3.821241249793745e-13,5840.505926129131,9.52405858227384,0.0,-2397.0366618929675,52.726840372333484,18.929564931230107,94.970703125,50.091911764705856,0.5015981697313096,2.2262057853585294e-10,0.5341893515452375
1,design_000024,2.5,False,True,True,True,rare-event / finite-proposal failure,2.2064183422174739e-10,555.9492464388794,13.229078565111307,6.829162611258668e-125,-124.16563254604105,81.15938861369989,-37.8473164515892,109.228515625,-93.29044117647061,0.9966438334806254,0.004390092645800128,0.6904939746542315
2,design_000107,2.5,False,True,True,False,continuous projection exists but resolution-sensitive,5.332735773390143e-09,9468.89571114892,30.65866776633069,0.0,-3807.5157843666534,111.6765884289515,-40.07193817513435,109.228515625,-21.59926470588232,1.0870021564081002e-05,1.8279965589201428e-13,0.0879717845097552
3,design_000159,2.5,False,True,True,True,rare-event / finite-proposal failure,7.028830875946466e-09,10719.188053689026,14.010204797924029,0.0,-4463.251565583363,81.15954842192977,-75.54623611777673,102.099609375,-93.29044117647061,1.1729708295396797e-07,1.4832998294770273e-14,0.29468291777172717
4,design_000199,2.5,True,True,True,True,particle-feasible comparison case,3.6500581248471006e-09,47.11273321603845,4.717420058306109,0.0011512382026063763,-2.9388348072352275,30.131472888210617,34.7420705590055,9.423828125,279.5036764705883,0.8986447725133989,2.4940603250293348e-18,0.6901930614677952
5,design_000205,2.5,False,True,True,True,rare-event / finite-proposal failure,2.7950482015828833e-10,28117313.687202338,29.083581378172358,1.6719594504509566e-133,-132.77677425958774,45.128497895370536,-35.11868201342908,330.224609375,-21.59926470588232,0.3122343613220792,7.85514260801208e-11,0.5440780124675121
6,design_000215,2.5,False,True,True,True,rare-event / finite-proposal failure,2.001780582983171e-13,320.2152243663179,21.88394135483016,1.2229340753165223e-47,-46.912596953836925,111.29379197474947,-21.367089351473496,159.130859375,93.10661764705878,0.27005061295633853,0.0037065156127835458,0.49660993817162646
7,design_000279,2.5,False,True,True,True,rare-event / finite-proposal failure,3.0111403419290516e-09,1496638.6166293318,6.4131680236648085,2.252532034896035e-97,-96.64732902388734,-18.877330370452817,64.31931839161338,2.294921875,250.82720588235293,0.927616543313457,2.1965781181258651e-10,0.8504473713756406
8,design_000321,2.5,True,True,True,True,particle-feasible comparison case,1.2215793528533518e-10,77.26375878148566,5.068648574694251,2.3728037548271662e-05,-4.6247381790688,-8.532930235937714,146.0362605347486,9.423828125,293.84191176470586,0.7056601308341423,4.795946002067336e-15,0.7003628636971643
9,design_000392,2.5,False,True,True,True,rare-event / finite-proposal failure,8.82211508128903e-09,363064742.5059483,16.722527038874624,0.0,-824.216360904321,-6.418291957403192,-67.81071401912548,358.740234375,28.58455882352939,0.0,1.866441868356628e-10,1.5324877772867473e-06
10,design_000403,2.5,False,True,True,True,rare-event / finite-proposal failure,3.1427985749591984e-09,616.4219657804248,13.073678711603401,2.265904160141556e-36,-35.644758463228975,73.0831250875832,-55.45578295958251,116.357421875,-71.78308823529414,0.4232053134932187,0.005979997731838782,0.5663539291420072
11,design_000424,2.5,False,True,True,True,rare-event / finite-proposal failure,4.419835762464798e-15,277.8884840012405,24.848333826864874,1.7747259641898107e-44,-43.75086869693457,117.01691797741023,41.8162192521235,144.873046875,-14.430147058823536,0.42230302454493257,0.005630807428117159,0.5917503729714111
12,design_000460,2.5,True,True,True,True,particle-feasible comparison case,6.689433143184887e-11,98.9181375227229,6.692639209995761,5.420251080422591e-05,-4.26598059532205,68.19235292217273,-74.48532858890022,80.712890625,-50.27573529411768,0.730034696475685,0.02437216272478013,0.6405452260880087
13,design_000363,5.0,True,True,True,True,particle-feasible comparison case,1.758761296921913e-09,29.073394763856072,2.9875023212493934,0.00039785811278884327,-3.400271781743897,131.15368661460087,-4.283518775470158,223.291015625,7.077205882352928,0.0012461076924352552,0.00532100088202404,0.10839616994381283
14,design_000400,5.0,True,True,True,True,particle-feasible comparison case,1.512366407133789e-11,26.693769371907802,3.0156526255840452,0.0037147165785029767,-2.430074315978163,135.71694170275418,-11.376072676340097,152.001953125,50.091911764705856,0.00031323529341308043,0.010810911483009588,0.08705028648400501
15,design_000215,7.5,True,True,True,True,particle-feasible comparison case,5.442729652097854e-13,12.245335166210902,1.335035347527205,0.026308580521999542,-1.5799025836168177,152.77633611140524,-13.005127159733872,401.513671875,64.43014705882354,0.2570242334511765,0.0034525373342266436,0.4644937827717581
16,design_000302,7.5,True,True,True,True,particle-feasible comparison case,2.4487906147411006e-15,26.498619571899496,2.9666247391846543,1.2935135268985064e-07,-6.888229025295592,174.9846472295296,-2.805505212490733,544.091796875,157.6286764705883,0.4028735996711467,0.0026219967217133984,0.5265601865481038
17,design_000354,7.5,True,True,True,True,particle-feasible comparison case,1.0691386028104261e-12,36.84780912688868,1.876208017831154,3.115891076868749e-08,-7.506417732495515,189.41517503001393,16.92860719482872,408.642578125,78.76838235294122,0.002031043246566442,0.00023871046398095906,0.04797664481898363
18,design_000387,10.0,True,True,True,True,particle-feasible comparison case,7.616366830257405e-10,24.417173998581422,1.0098581864323533,0.0003049535007682523,-3.5157663767164857,226.77564288087095,8.478720531827289,601.123046875,85.9375,0.0020714966913835523,0.00046428965695938744,0.022602419237467773
19,design_000409,10.0,True,True,True,True,particle-feasible comparison case,1.9811520871560026e-10,27.58274011529682,0.9751431934631959,6.868959914559736e-06,-5.1631090180443415,211.573952872103,18.646921935510793,-61.865234375,-57.444852941176464,0.007865156629607432,0.00027170865083537865,0.05436430978739478
