design_index,design_id,style,day,source_time_index,grid_nx,grid_ny,domain_moment_feasible,domain_feasibility_basis,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,usable,zero_start_retry_performed,trajectory_warm_start_verified_l2_residual,trajectory_warm_start_converged,solver_initialization
0,design_000000,manual,0.0,0,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,9.913082305186777e-10,9.913095884333112e-10,9.442753245991753e-10,-4.151307870539183,76.50865461480275,-171146.83435350962,0.885595999881033,171146.8515071765,0.008460904405546078,0.9842620526305205,-0.006889258418475681,5.615232149591615e-29,0.020478073080479477,20478073080479.324,0.01202208226001286,True,,,,
0,design_000000,manual,2.5,10,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,937,9.892448285315857e-09,9.892446840257221e-09,8.68057736802541e-09,-11.225833644600892,5.726389561340481,9890.585749551008,-705038646.1875801,705038646.2569549,25.957860744157617,8.26487042902808e-120,-119.08276395061027,9.010813054067933e-18,0.0573399597124975,56827894181770.21,0.009175995834153815,True,,,,
0,design_000000,manual,5.0,20,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,718,4.406984943556985e-09,4.406984643440241e-09,4.003383013984063e-09,-7.356837785909503,0.03620422612297893,271.4039516991401,-16880.643463504763,16882.826717446842,10.399324630740638,3.2479374612748426e-80,-79.48839234164906,2.7577359189833146e-10,0.0770993279458471,279573717.8509612,0.0016013796816328613,True,,,,
0,design_000000,manual,7.5,30,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,17,2.2917091305323762e-14,2.3076435979757178e-14,1.9637069748057456e-14,-5.309645463866304,-3.6086526566027115,40.13763003934758,332.9931295074365,335.46485412525686,3.573485148405975,1.66810084691452e-134,-133.77777769714277,0.0008085134832768028,0.0885474242779417,109.51879728580614,0.0009227787741889112,True,,,,
0,design_000000,manual,10.0,40,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,12,1.3465092316052771e-11,1.3463337501013565e-11,1.2331437086732233e-11,-4.843895665800924,-3.1540734445043244,6.711327918582964,106.85294937769196,107.21943022445532,1.9607590289507508,5.0774816327091655e-42,-41.29435163893792,0.0046554826917658025,0.07283480321078577,15.644951991679562,0.0005971230935257366,True,,,,
0,design_000000,manual,12.5,50,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,13,4.695869881917627e-12,4.6946959450855135e-12,4.228776183390348e-12,-4.448800290528045,-2.8582040286875205,1.3492817198356328,36.39450406501095,36.80138097398233,1.0823556025608914,7.410378604539422e-13,-12.130159602862523,0.004346133279368451,0.07156780248509355,16.467005930264015,0.0004187103084943264,True,,,,
0,design_000000,manual,15.0,60,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,17,9.429605971057085e-09,9.429602191750294e-09,8.104017189952684e-09,-3.612229057062108,-2.4576758656365585,0.38577782615439815,10.3351212576958,11.227284861605865,0.7030025179033992,0.015516391490972115,-1.809209271336483,0.0051486824959707566,0.07320644640439823,14.218481419600982,0.00026111974174384975,True,,,,
0,design_000000,manual,17.5,70,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,6,1.896124062504244e-09,1.8961222565629636e-09,1.6091886850810866e-09,-3.194857009526804,-2.060875162932061,-0.21165963662202938,3.5251442382380227,5.18900370501607,0.4922503499062941,0.29095297388571834,-0.5361771994413326,0.012779231960397095,0.06605206477602062,5.1687037985312525,0.00020087155303895768,True,,,,
0,design_000000,manual,20.0,80,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,5,4.050507623773344e-15,5.0143819696146175e-15,3.1363800445660672e-15,-2.931409403316775,-1.5875469247514804,-0.9158843152100437,2.1419687164793344,4.06698172965724,0.37722922684951193,0.4133459416051849,-0.3836863220911901,0.017347314198115298,0.06557381349390667,3.780055675767271,0.00017992764542944104,True,,,,
0,design_000000,manual,22.5,90,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,1.8852511119351746e-09,1.8852512364327232e-09,1.782891917434526e-09,-2.577677707707275,-1.2346455805580787,-1.076726319977718,1.8800323739921934,3.586451361693632,0.3024027704219496,0.4956290305306926,-0.3048432635751502,0.018679250974833358,0.06770704356644627,3.6247194096629287,0.00015716590616249098,True,,,,
0,design_000000,manual,25.0,100,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,1.3153928083589836e-10,1.3154318971763604e-10,1.3030942991321126e-10,-2.2704433051909008,-0.8177636923889426,-1.1626514752887718,1.8421090950231078,3.25096518431585,0.23502731071506203,0.5905099926512379,-0.22877274882680299,0.018334000972527485,0.06721474942115821,3.666125551202557,0.00013639694755096765,True,,,,
0,design_000000,manual,27.5,110,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,2.9530640471970576e-10,2.953076206278902e-10,2.853871028385413e-10,-2.138032429174733,-0.4849072910068157,-1.0801392083329737,1.601691643427496,2.922059988959507,0.19149475860757256,0.6750756775709744,-0.17064753900718022,0.01861995138941494,0.06826941427250674,3.6664657627040764,0.0001167492820929155,True,,,,
0,design_000000,manual,30.0,120,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,8.277418061456662e-10,8.277412942986669e-10,8.030843073880689e-10,-1.652036318349547,-0.13013297232268664,-0.6343883400567055,1.3747826951236346,2.244690315487366,0.12511906218863453,0.7760396418446294,-0.11011609343943318,0.02019541104938672,0.07048554727011046,3.490176411747184,9.767088256440715e-05,True,,,,
0,design_000000,manual,32.5,130,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,7.984388332903539e-10,7.984422638592521e-10,7.819458136548718e-10,-1.460798518806727,0.29213760468864125,-0.4064988289240105,1.2534721204698425,1.9888967663840422,0.10077819400044434,0.821927726519227,-0.08516636902180573,0.02113034368556286,0.0762430406196577,3.608225296957548,8.348747366958037e-05,True,,,,
0,design_000000,manual,35.0,140,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,7.527500933535356e-10,7.527502229853756e-10,7.083618969172534e-10,-1.5565064086108338,0.4892714148258365,-0.3746696583050404,0.9275372366327315,1.913844663395379,0.08971395153561397,0.8533422836248863,-0.0688767342806472,0.02122684077705997,0.07662701419302209,3.6099113852039144,7.538435453769144e-05,True,,,,
0,design_000000,manual,37.5,150,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,6.246589742683264e-11,6.246501191774796e-11,5.939439218227704e-11,-1.3865461417171299,0.5089966596706783,-0.23568000788503782,0.7096442270717294,1.6555143604932852,0.06698114001293706,0.8895406349269764,-0.05083420820796425,0.02198905722998579,0.07185791649128165,3.267894377631115,6.63687543627493e-05,True,,,,
0,design_000000,manual,40.0,160,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,1.9797701235509897e-10,1.9797792631717235e-10,1.9342705215308342e-10,-1.0562007606007922,0.3499159252739504,0.11710976612177885,0.6768867274377738,1.3076282118999014,0.044301503333722264,0.9229148919936818,-0.034838346256545305,0.023793014203012948,0.06344115643263273,2.666377445552796,5.6591565176883525e-05,True,,,,
0,design_000000,manual,42.5,170,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,1.0170738531283029e-11,1.0171545945679882e-11,9.979669868265262e-12,-1.1228656069650775,0.5411068016772526,0.35288528662288887,0.8037361579652637,1.52451421090855,0.0551215449735129,0.904045515838869,-0.04380970361751097,0.02398260141119291,0.0644586028066867,2.687723558487761,4.92567622551293e-05,True,,,,
0,design_000000,manual,45.0,180,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,2.696998238450052e-11,2.697297435362565e-11,2.6377039441527472e-11,-0.8809590640906847,0.5924763048627194,0.43672050825810177,0.6965566582614926,1.3427706523933822,0.04094052022734086,0.9252590662342658,-0.03373665073841922,0.02446988649853335,0.060591986312123786,2.4761858341988634,4.412597637764855e-05,True,,,,
1,design_000001,manual,0.0,0,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,8.542138257032206e-09,8.54213830321443e-09,6.202566807389509e-09,-13.622001212426378,2.8844877414778147,-5.776684459900897,15.29366751862283,21.474299431681608,0.012087838213799815,0.9781399252104329,-0.00959901392404783,2.2000328249818026e-05,0.00440810241656097,200.3653021130749,0.013050068829131662,True,,,,
1,design_000001,manual,2.5,10,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,10,1.4361863609834004e-11,1.4360003852278668e-11,1.293043450090181e-11,67.02213739863848,21.417611909044144,56.446586027330085,30.582090708101767,95.24789943924088,8.691181520654961,2.681608947254065e-08,-7.571604554013202,0.00030603568491655833,0.03695200472716728,120.74410452206783,0.008987865471309012,True,,,,
1,design_000001,manual,5.0,20,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,7,3.233472442644841e-15,7.991485278462367e-16,6.106226635438361e-16,22.135448072830822,-2.0990574332355334,10.579715999006803,-0.3801454729637652,24.626388381028722,1.7317961076435542,0.00019394979344726677,-3.7123106785787994,0.0015895986174185811,0.07387823071303269,46.476028541696465,0.0018760769690211565,True,,,,
1,design_000001,manual,7.5,30,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,6,2.402693942326114e-10,2.4026870273806573e-10,1.6852318845961278e-10,13.033215922233893,-3.9841738941065423,4.581476260253915,0.0047869998232055915,14.378049468988785,0.6960617702923442,0.014756885636638063,-1.8310052884165728,0.003481790321414221,0.10180313713834739,29.238732876070813,0.0006242151755923397,True,,,,
1,design_000001,manual,10.0,40,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,5,1.1313727886540273e-10,1.1313876823435626e-10,9.480705109865539e-11,8.719356428863717,-4.526763188928038,3.008868883111066,-1.563651703702166,10.39312561785172,0.45202898229067573,0.12930144906141586,-0.8883966080209942,0.0032085074452970017,0.11173480734664801,34.82454357723057,0.000509121371989706,True,,,,
1,design_000001,manual,12.5,50,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,5,1.1886104490767456e-14,1.5877796519457087e-14,1.4432899320127035e-14,6.144016878320544,-3.9276253247051036,1.9206451393322024,-0.8907324877168722,7.593251359481477,0.34500711431719205,0.30431580906160355,-0.5166754856639223,0.004193018831523295,0.10750992474770987,25.64021986722812,0.00042220783257486486,True,,,,
1,design_000001,manual,15.0,60,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,4,3.5445076735924034e-10,3.544498930856739e-10,3.1900213026681e-10,4.409412178289806,-3.4478022683694958,1.1601162528147184,-0.6011122951904827,5.747822366018136,0.26419131769787924,0.47474424587645203,-0.32354029041242865,0.004580977190130621,0.0969106683623048,21.155020935505107,0.0003492650660115706,True,,,,
1,design_000001,manual,17.5,70,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,4,1.447506003127124e-11,1.4476353985100437e-11,1.3325437975275634e-11,3.1277460860529516,-2.640526155260302,0.5511377908694516,0.12940391472454318,4.1322720376451265,0.17711116202555396,0.6502931693940635,-0.18689080774828482,0.005628054853055798,0.09026044498965548,16.037591556278596,0.0002765128409527209,True,,,,
1,design_000001,manual,20.0,80,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,4,9.277860812303563e-13,9.280477707757292e-13,8.626988012849779e-13,2.153028118023412,-1.8973111115452321,0.2638478625521563,0.4204803520687293,2.9123425196981247,0.10022418493969322,0.8027441765452208,-0.09542283631075886,0.0062838007846026155,0.08891289382561154,14.14954052067728,0.00022015181744659249,True,,,,
1,design_000001,manual,22.5,90,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,4,4.780248278506638e-15,8.462424209062574e-15,6.2727600891321345e-15,1.5770802213943746,-1.6654300713204047,0.2556974295720696,0.17790262067856558,2.3147072957732004,0.06704734897992204,0.8739267507377784,-0.05852496677465864,0.00626975043666273,0.09036238872212843,14.412437884882257,0.00018020550777683446,True,,,,
