design_index,design_id,style,evaluation_time_count,usable_time_count,fully_usable,maximum_verified_l2_residual,maximum_kl_divergence,minimum_log10_intrinsic_ess
0,design_000000,manual,19,19,True,9.892446840257221e-09,25.957860744157617,-133.77777769714277
1,design_000001,manual,19,19,True,8.54213830321443e-09,8.691181520654961,-7.571604554013202
2,design_000002,manual,19,19,True,6.7003300445912585e-09,11.738237859307183,-9490.168962389223
3,design_000003,manual,19,19,True,9.691495895068857e-09,11.622127915308996,-1405.7731010019766
4,design_000004,manual,19,19,True,9.94318694774965e-09,20.093825774644653,-542.7918257085241
5,design_000005,manual,19,19,True,9.534457987944906e-09,8.402310241939606,-795.7347014904395
6,design_000006,manual,19,19,True,9.519106273697885e-09,6.019917379062349,-2571.0069368874993
7,design_000007,manual,19,19,True,9.993257059386145e-09,25.121344226701876,-219.81909841108234
8,design_000008,manual,19,19,True,9.051921813582802e-09,5.784588835864549,-10494.285622355708
9,design_000009,manual,19,19,True,4.150098266764442e-09,2.5692413075502962,-3665.1886056694393
10,design_000010,manual,19,19,True,9.99687150770453e-09,16.31220034785988,-12570.81006879585
11,design_000011,manual,19,19,True,9.980665861260645e-09,11.53112834023089,-11595.79590538049
12,design_000012,support_random,19,19,True,9.814820943959119e-09,25.046077985599947,-210.2453617180497
13,design_000013,support_random,19,19,True,9.293366882215659e-09,21.74182944393023,-727.6260807879435
14,design_000014,support_random,19,19,True,8.939526309199481e-09,14.330659568595033,-1950.8985761088963
15,design_000015,support_random,19,19,True,1.0107399279397306e-09,10.36667897574058,-433.16219056053325
16,design_000016,support_random,19,19,True,8.784037851649449e-09,3.2206423569156297,-15942.18764739104
17,design_000017,support_random,19,19,True,8.95214497736955e-09,9.524061887293485,-2397.0374626336647
18,design_000018,support_random,19,19,True,8.105037340159295e-09,10.020053829064274,-2478.0436014525517
19,design_000019,support_random,19,19,True,9.8733315881541e-09,10.82979167848597,-1840.3426630516624
20,design_000020,support_random,19,19,True,9.99161904011301e-09,16.965490331277987,-13559.366886216942
21,design_000021,support_random,19,19,True,8.409950978342603e-09,21.035591869840093,-37.76978573311312
22,design_000022,support_random,19,19,True,7.507146818586007e-09,15.902322899285222,-581.1379086664348
23,design_000023,support_random,19,19,True,5.286549390580889e-09,14.62895300888486,-131.4433001763045
24,design_000024,support_random,19,19,True,7.201133057903372e-09,13.229078547671818,-124.1656326140569
25,design_000025,support_random,19,19,True,5.937101362713391e-09,18.621993074447367,-1603.2333323129387
26,design_000026,support_random,19,19,True,6.833128385126376e-09,22.24483304373078,-9924.646965067668
27,design_000027,support_random,19,19,True,9.140791496866046e-09,21.003880801453295,-107.35153610021975
28,design_000028,support_random,19,19,True,6.1707231082910246e-09,16.17310287712407,-17428.055593881287
29,design_000029,support_random,19,18,False,3.924272854191019e-06,11.171343794267537,-447.5614513901868
30,design_000030,support_random,19,19,True,9.647085678523266e-09,5.793785640257282,-338.5352583048843
31,design_000031,support_random,19,18,False,0.00024208960381553505,21.099275114077837,-215.13149614215163
32,design_000032,support_random,19,19,True,9.901478645684347e-09,14.113038497000487,-469.43757867063124
33,design_000033,support_random,19,19,True,1.0452123721701124e-09,27.099555046578274,-331.42219408016575
34,design_000034,support_random,19,19,True,7.316226742832051e-09,20.667450952627345,-2900.581174843989
35,design_000035,support_random,19,19,True,8.668141933998534e-09,11.835907563051705,-38.83249193378774
36,design_000036,support_random,19,19,True,8.182500198783226e-09,3.6842867553795036,-3947.6668122449128
37,design_000037,support_random,19,19,True,2.201876432132607e-09,22.758169359204032,-285.9026470524791
38,design_000038,support_random,19,19,True,9.981272852148566e-09,25.887522157906282,-397.1935985718216
39,design_000039,support_random,19,19,True,1.1100042087621348e-09,15.908310508464027,-35.099984972726745
40,design_000040,support_random,19,19,True,4.7924967525944995e-09,15.381517778250076,-545.8172487381762
41,design_000041,support_random,19,19,True,9.303542126132526e-09,12.458067603944674,-5685.5252565924775
42,design_000042,support_random,19,19,True,5.084609297774702e-09,18.43801577182131,-110.0116450135542
43,design_000043,support_random,19,19,True,5.586873554790657e-09,25.095182545649603,-14419.734138654134
