replicate,spearman_rank_correlation,top20_overlap,bootstrap_best_design_id,primary_best_rank_in_bootstrap
0,0.9927221817256182,16,design_000216,1
1,0.9804065859048677,14,design_000150,6
2,0.9810253950522617,11,design_000216,1
3,0.9715259435971714,11,design_000085,3
4,0.9290008278136989,9,design_000240,11
5,0.9687949998790362,11,design_000216,1
6,0.9569135066167243,9,design_000164,9
7,0.3715582356944431,0,design_000132,206
8,0.7272223431861046,2,design_000193,146
9,0.4596717986908552,1,design_000111,287
10,0.9617209268568219,12,design_000014,13
11,0.7641171687719641,6,design_000012,58
12,0.9887246935669305,16,design_000240,5
13,0.968021567334282,12,design_000014,19
14,0.9709930713991944,10,design_000318,2
15,0.953662628576718,12,design_000205,9
16,0.9618041289706393,9,design_000235,3
17,0.9954251459718501,16,design_000267,2
18,0.9411576979836899,9,design_000240,6
19,0.9816105446845841,11,design_000216,1
20,0.8759574291283133,6,design_000193,62
21,0.9952752559437972,16,design_000240,3
22,0.6159935289582276,1,design_000012,171
23,0.951715004885889,8,design_000318,6
24,0.9384183393867866,6,design_000318,9
25,0.9810205564969701,10,design_000216,1
26,0.9914786730156928,13,design_000325,3
27,0.9872514586666414,12,design_000216,1
28,0.9766987799477647,12,design_000150,4
29,0.5314910008130876,1,design_000012,164
30,0.9286099566949302,10,design_000193,30
31,0.9377754426489198,7,design_000193,34
32,0.9753015945143405,13,design_000235,3
33,0.9570549817660097,12,design_000235,2
34,0.9887162786881625,14,design_000216,1
35,0.9762906583275217,11,design_000216,1
36,0.2916427631516666,0,design_000073,264
37,0.9843246586451836,14,design_000014,3
38,0.7867406755254303,8,design_000286,42
39,0.9756105257511067,13,design_000014,4
40,0.91986395244752,10,design_000138,30
41,0.9429437560021753,7,design_000318,10
42,0.9600555171626712,11,design_000014,15
43,0.8896830430726089,8,design_000240,24
44,0.9366353317618549,6,design_000318,6
45,0.9934180921997231,17,design_000216,1
46,0.9890395152188342,18,design_000267,4
47,0.9785732993792976,12,design_000216,1
48,0.8860521280702474,3,design_000059,64
49,0.969043764732612,8,design_000216,1
50,0.9757978619896771,16,design_000235,9
51,0.9908157909407519,15,design_000216,1
52,0.9201927638353755,8,design_000205,7
53,0.9819720689136497,13,design_000235,2
54,0.9832198902489436,13,design_000216,1
55,0.9815614228297763,13,design_000205,4
56,0.7950768751768439,4,design_000069,40
57,0.9578678590549882,7,design_000216,1
58,0.9922105570965304,14,design_000216,1
59,0.9464227824427762,5,design_000059,42
60,0.9804041666272221,12,design_000235,2
61,0.9750078100593564,13,design_000218,19
62,0.977397951187392,12,design_000216,1
63,0.9751267754079376,12,design_000150,3
