design_index,design_id,day,source_time_index,fully_grid_usable,validation_mmd2
0,design_000000,0.0,0,True,0.0024936617821738807
0,design_000000,2.5,10,True,0.0030052117426676373
0,design_000000,5.0,20,True,0.01811168025164486
0,design_000000,7.5,30,True,0.02192079382690593
0,design_000000,10.0,40,True,0.022019575729503155
0,design_000000,12.5,50,True,0.025640049304315266
0,design_000000,15.0,60,True,0.018333970379615646
0,design_000000,17.5,70,True,0.014560860631104795
0,design_000000,20.0,80,True,0.007520619711643757
0,design_000000,22.5,90,True,0.0058145094032367945
0,design_000000,25.0,100,True,0.003435782227213504
0,design_000000,27.5,110,True,0.0036631517553132095
0,design_000000,30.0,120,True,0.0035890526068801097
0,design_000000,32.5,130,True,0.002050234920197353
0,design_000000,35.0,140,True,0.0021210055463701948
0,design_000000,37.5,150,True,0.0026658767910713453
0,design_000000,40.0,160,True,0.004424122477841484
0,design_000000,42.5,170,True,0.0036710940811165334
0,design_000000,45.0,180,True,0.004922635593657304
1,design_000001,0.0,0,True,0.002054542453087933
1,design_000001,2.5,10,True,0.00335751109167014
1,design_000001,5.0,20,True,0.043580219812724655
1,design_000001,7.5,30,True,0.10171374311538008
1,design_000001,10.0,40,True,0.14028013136277462
1,design_000001,12.5,50,True,0.132918816512499
1,design_000001,15.0,60,True,0.11496399200931776
1,design_000001,17.5,70,True,0.08974983605588222
1,design_000001,20.0,80,True,0.06729639990506223
1,design_000001,22.5,90,True,0.05144375534453294
1,design_000001,25.0,100,True,0.038309082736227656
1,design_000001,27.5,110,True,0.030233672599786363
1,design_000001,30.0,120,True,0.01858975633601961
1,design_000001,32.5,130,True,0.02011200738486675
1,design_000001,35.0,140,True,0.022581373130564252
1,design_000001,37.5,150,True,0.021325236225306528
1,design_000001,40.0,160,True,0.01977258795799011
1,design_000001,42.5,170,True,0.01897419801370916
1,design_000001,45.0,180,True,0.02131701492198275
2,design_000002,0.0,0,True,0.0021874763467141438
2,design_000002,2.5,10,True,0.06803320304364596
2,design_000002,5.0,20,True,0.08560912276789007
2,design_000002,7.5,30,True,0.019315047192623003
2,design_000002,10.0,40,True,0.03065727339391243
2,design_000002,12.5,50,True,0.02911303583076092
2,design_000002,15.0,60,True,0.02290143166777558
2,design_000002,17.5,70,True,0.027041268755210825
2,design_000002,20.0,80,True,0.03240406022059071
2,design_000002,22.5,90,True,0.03771581320260735
2,design_000002,25.0,100,True,0.03542691977261319
2,design_000002,27.5,110,True,0.025690612755011832
2,design_000002,30.0,120,True,0.01484196180840405
2,design_000002,32.5,130,True,0.013870321645789014
2,design_000002,35.0,140,True,0.015083529749275584
2,design_000002,37.5,150,True,0.012557837116959026
2,design_000002,40.0,160,True,0.01050770667780374
2,design_000002,42.5,170,True,0.008213077442164478
2,design_000002,45.0,180,True,0.010484564575336888
3,design_000003,0.0,0,True,0.002096721488374676
3,design_000003,2.5,10,True,0.08466767190606472
3,design_000003,5.0,20,True,0.019011112199367873
3,design_000003,7.5,30,True,0.03507067826018744
3,design_000003,10.0,40,True,0.05202932328158949
3,design_000003,12.5,50,True,0.056472838848282164
3,design_000003,15.0,60,True,0.06076319698420489
3,design_000003,17.5,70,True,0.04523003642040378
3,design_000003,20.0,80,True,0.025610375021237277
3,design_000003,22.5,90,True,0.01688246319901764
3,design_000003,25.0,100,True,0.010128337864556008
3,design_000003,27.5,110,True,0.004239649610266653
3,design_000003,30.0,120,True,0.0014874839688265023
3,design_000003,32.5,130,True,0.003700053113607858
3,design_000003,35.0,140,True,0.006818827094591537
3,design_000003,37.5,150,True,0.008235216078636528
3,design_000003,40.0,160,True,0.011833099177075809
3,design_000003,42.5,170,True,0.01158119005795645
3,design_000003,45.0,180,True,0.014009792231768205
4,design_000004,0.0,0,True,0.002418392057761908
4,design_000004,2.5,10,True,0.001958198230701775
4,design_000004,5.0,20,True,0.006541836246972225
4,design_000004,7.5,30,True,0.014522986080337277
4,design_000004,10.0,40,True,0.017075629297962705
4,design_000004,12.5,50,True,0.01975467747260476
4,design_000004,15.0,60,True,0.01769901071605124
4,design_000004,17.5,70,True,0.00424690688064884
4,design_000004,20.0,80,True,0.0025212152550495998
4,design_000004,22.5,90,True,0.0034498841505321634
4,design_000004,25.0,100,True,0.0032536624555040182
4,design_000004,27.5,110,True,0.0028995557805135677
4,design_000004,30.0,120,True,0.0010322216072140866
4,design_000004,32.5,130,True,0.0023912514847222034
4,design_000004,35.0,140,True,0.004339274828069171
4,design_000004,37.5,150,True,0.005274073040701708
4,design_000004,40.0,160,True,0.007806311524927853
4,design_000004,42.5,170,True,0.0070326755819758915
4,design_000004,45.0,180,True,0.007287102853240681
5,design_000005,0.0,0,True,0.002068183197734057
5,design_000005,2.5,10,True,0.008873092683544357
5,design_000005,5.0,20,True,0.03741914510169371
5,design_000005,7.5,30,True,0.06313371770076787
5,design_000005,10.0,40,True,0.07353446431581298
5,design_000005,12.5,50,True,0.06465252671765806
5,design_000005,15.0,60,True,0.06067100032938668
5,design_000005,17.5,70,True,0.04980133900573776
5,design_000005,20.0,80,True,0.033927830127578815
5,design_000005,22.5,90,True,0.029767138744143412
5,design_000005,25.0,100,True,0.02138134871601762
5,design_000005,27.5,110,True,0.010482165649008385
5,design_000005,30.0,120,True,0.004171252930228901
5,design_000005,32.5,130,True,0.0035231923719646827
5,design_000005,35.0,140,True,0.004146550246344584
5,design_000005,37.5,150,True,0.004700368968538769
5,design_000005,40.0,160,True,0.007203519729434883
5,design_000005,42.5,170,True,0.006517057090020963
5,design_000005,45.0,180,True,0.009424795779752315
6,design_000006,0.0,0,True,0.0018858297361853348
6,design_000006,2.5,10,True,0.08503445712241733
6,design_000006,5.0,20,True,0.057458449168442706
6,design_000006,7.5,30,True,0.054382293351530976
6,design_000006,10.0,40,True,0.06668367559777338
6,design_000006,12.5,50,True,0.0709964348035369
6,design_000006,15.0,60,True,0.07671234728437154
6,design_000006,17.5,70,True,0.07026098994186207
6,design_000006,20.0,80,True,0.05118923954863686
6,design_000006,22.5,90,True,0.04503621929328945
6,design_000006,25.0,100,True,0.03178620224140631
6,design_000006,27.5,110,True,0.021543044301495787
6,design_000006,30.0,120,True,0.010263222593749828
6,design_000006,32.5,130,True,0.012722636393982564
6,design_000006,35.0,140,True,0.01584756252237948
6,design_000006,37.5,150,True,0.01571351276072453
6,design_000006,40.0,160,True,0.01853335787052692
6,design_000006,42.5,170,True,0.01860843162571189
6,design_000006,45.0,180,True,0.018842488784578705
7,design_000007,0.0,0,True,0.0019661493336548545
7,design_000007,2.5,10,True,0.004293900187410205
7,design_000007,5.0,20,True,0.0036370206291833056
7,design_000007,7.5,30,True,0.00944684821679287
7,design_000007,10.0,40,True,0.023621266776137458
7,design_000007,12.5,50,True,0.03690485881686126
7,design_000007,15.0,60,True,0.0439115088754691
7,design_000007,17.5,70,True,0.04408388074175815
7,design_000007,20.0,80,True,0.039441946863752665
7,design_000007,22.5,90,True,0.03594427943172447
7,design_000007,25.0,100,True,0.025559768879585783
7,design_000007,27.5,110,True,0.014338795890854822
7,design_000007,30.0,120,True,0.006271445717634652
7,design_000007,32.5,130,True,0.005432181615128263
7,design_000007,35.0,140,True,0.005869234616820785
7,design_000007,37.5,150,True,0.005982658780686456
7,design_000007,40.0,160,True,0.0070586123528438025
7,design_000007,42.5,170,True,0.005533070686647408
7,design_000007,45.0,180,True,0.007797327461802203
8,design_000008,0.0,0,True,0.0014210927000922423
8,design_000008,2.5,10,True,0.08315961248269976
8,design_000008,5.0,20,True,0.11902499015089091
8,design_000008,7.5,30,True,0.08906521862491881
8,design_000008,10.0,40,True,0.06894977029800792
8,design_000008,12.5,50,True,0.05784728045289004
8,design_000008,15.0,60,True,0.03933268369733609
8,design_000008,17.5,70,True,0.02293135561315323
8,design_000008,20.0,80,True,0.011915302409675792
8,design_000008,22.5,90,True,0.008825046340834086
8,design_000008,25.0,100,True,0.009286534346268131
8,design_000008,27.5,110,True,0.010750428731776028
8,design_000008,30.0,120,True,0.00850064881387485
8,design_000008,32.5,130,True,0.011230502703925052
8,design_000008,35.0,140,True,0.013993783441503798
8,design_000008,37.5,150,True,0.014234783650587775
8,design_000008,40.0,160,True,0.014219871949503936
8,design_000008,42.5,170,True,0.010576351390416525
8,design_000008,45.0,180,True,0.010852451409529607
9,design_000009,0.0,0,True,0.0019705980450780585
9,design_000009,2.5,10,True,0.0627208125945262
9,design_000009,5.0,20,True,0.07064576160327828
9,design_000009,7.5,30,True,0.08062104336726825
9,design_000009,10.0,40,True,0.08677358167418679
9,design_000009,12.5,50,True,0.08365528371588732
9,design_000009,15.0,60,True,0.07847254628260794
9,design_000009,17.5,70,True,0.06373467203577685
9,design_000009,20.0,80,True,0.04368053323454389
9,design_000009,22.5,90,True,0.02894522577871605
9,design_000009,25.0,100,True,0.021680365064817228
9,design_000009,27.5,110,True,0.015514190049245764
9,design_000009,30.0,120,True,0.009841529120451255
9,design_000009,32.5,130,True,0.012550383198360824
9,design_000009,35.0,140,True,0.014977357150249598
9,design_000009,37.5,150,True,0.01209282721564559
9,design_000009,40.0,160,True,0.014768623390049584
9,design_000009,42.5,170,True,0.012648323093139452
9,design_000009,45.0,180,True,0.015200706459422949
10,design_000010,0.0,0,True,0.00234265380286283
10,design_000010,2.5,10,True,0.012842984432789258
10,design_000010,5.0,20,True,0.035522422505132205
10,design_000010,7.5,30,True,0.053004956385574425
10,design_000010,10.0,40,True,0.06210601470451381
10,design_000010,12.5,50,True,0.053886573395862725
10,design_000010,15.0,60,True,0.045520036535426675
10,design_000010,17.5,70,True,0.039839894343833795
10,design_000010,20.0,80,True,0.02873612840073235
10,design_000010,22.5,90,True,0.023567018165404387
10,design_000010,25.0,100,True,0.015756802401924324
10,design_000010,27.5,110,True,0.008916651323921667
10,design_000010,30.0,120,True,0.003913951021615487
10,design_000010,32.5,130,True,0.005343195276411562
10,design_000010,35.0,140,True,0.007088802597293444
10,design_000010,37.5,150,True,0.007589531525288195
10,design_000010,40.0,160,True,0.007947162908297578
10,design_000010,42.5,170,True,0.006984085281645502
10,design_000010,45.0,180,True,0.009582127776455136
11,design_000011,0.0,0,True,0.0025088944276630263
11,design_000011,2.5,10,True,0.038581403009394194
11,design_000011,5.0,20,True,0.06527749657796189
11,design_000011,7.5,30,True,0.036676327515716006
11,design_000011,10.0,40,True,0.025889585100996766
11,design_000011,12.5,50,True,0.021983544944827016
11,design_000011,15.0,60,True,0.020063490792801286
11,design_000011,17.5,70,True,0.016676061804846543
11,design_000011,20.0,80,True,0.006874462989895091
11,design_000011,22.5,90,True,0.007894094258610103
11,design_000011,25.0,100,True,0.005690198560333286
11,design_000011,27.5,110,True,0.005608713063250968
11,design_000011,30.0,120,True,0.0024895351225501464
11,design_000011,32.5,130,True,0.004846180391993162
11,design_000011,35.0,140,True,0.008025976674636667
11,design_000011,37.5,150,True,0.008812879489996704
11,design_000011,40.0,160,True,0.010851208491299693
11,design_000011,42.5,170,True,0.011605309349883488
11,design_000011,45.0,180,True,0.011377233344683348
12,design_000012,0.0,0,True,0.002286970312268338
12,design_000012,2.5,10,True,0.0012555774712769462
12,design_000012,5.0,20,True,0.009412805254642408
12,design_000012,7.5,30,True,0.014721279341455937
12,design_000012,10.0,40,True,0.013388125738770872
12,design_000012,12.5,50,True,0.016424056326460212
12,design_000012,15.0,60,True,0.015345741090154564
12,design_000012,17.5,70,True,0.008344046968620416
12,design_000012,20.0,80,True,0.009710446118815962
12,design_000012,22.5,90,True,0.013719716064773103
12,design_000012,25.0,100,True,0.013824227792096825
12,design_000012,27.5,110,True,0.01337658088192185
12,design_000012,30.0,120,True,0.008027955400330234
12,design_000012,32.5,130,True,0.007940515199867241
12,design_000012,35.0,140,True,0.008814510933766055
12,design_000012,37.5,150,True,0.008932266382736209
12,design_000012,40.0,160,True,0.008100888848673535
12,design_000012,42.5,170,True,0.00873368334103144
12,design_000012,45.0,180,True,0.009320809398638316
13,design_000013,0.0,0,True,0.0020644519829135424
13,design_000013,2.5,10,True,0.01563090775798941
13,design_000013,5.0,20,True,0.004372006284322645
13,design_000013,7.5,30,True,0.01450068256709644
13,design_000013,10.0,40,True,0.02773813851545801
13,design_000013,12.5,50,True,0.026671799336920134
13,design_000013,15.0,60,True,0.024954275700476036
13,design_000013,17.5,70,True,0.014247634049332308
13,design_000013,20.0,80,True,0.0058607989139021
13,design_000013,22.5,90,True,0.0038138970083215554
13,design_000013,25.0,100,True,0.0036248653967643285
13,design_000013,27.5,110,True,0.004493598576043161
13,design_000013,30.0,120,True,0.003070133766178762
13,design_000013,32.5,130,True,0.004212072828044892
13,design_000013,35.0,140,True,0.005980107278599592
13,design_000013,37.5,150,True,0.0056407496996084385
13,design_000013,40.0,160,True,0.006675338282246467
13,design_000013,42.5,170,True,0.006914320453300635
13,design_000013,45.0,180,True,0.00793963954380784
14,design_000014,0.0,0,True,0.002009280489552636
14,design_000014,2.5,10,True,0.004164785132031791
14,design_000014,5.0,20,True,0.01564380955838593
14,design_000014,7.5,30,True,0.021610332283076614
14,design_000014,10.0,40,True,0.006965821834411667
14,design_000014,12.5,50,True,0.011171843100127973
14,design_000014,15.0,60,True,0.012265897279526324
14,design_000014,17.5,70,True,0.007469511083776956
14,design_000014,20.0,80,True,0.005899979971977222
14,design_000014,22.5,90,True,0.008139355184658564
14,design_000014,25.0,100,True,0.007466363769171958
14,design_000014,27.5,110,True,0.005800054156874821
14,design_000014,30.0,120,True,0.003953602487835543
14,design_000014,32.5,130,True,0.0024746846286338997
14,design_000014,35.0,140,True,0.0022226900074840145
14,design_000014,37.5,150,True,0.002760097519890625
14,design_000014,40.0,160,True,0.005236926768934225
14,design_000014,42.5,170,True,0.005728692944589636
14,design_000014,45.0,180,True,0.006391356176542296
15,design_000015,0.0,0,True,0.002204669188356155
15,design_000015,2.5,10,True,0.049512424026681656
15,design_000015,5.0,20,True,0.0693227812956417
15,design_000015,7.5,30,True,0.01617390405770433
15,design_000015,10.0,40,True,0.022660215993519882
15,design_000015,12.5,50,True,0.03107619438791131
15,design_000015,15.0,60,True,0.038345395264456905
15,design_000015,17.5,70,True,0.037571640463446264
15,design_000015,20.0,80,True,0.03058662526702801
15,design_000015,22.5,90,True,0.02576945228425313
15,design_000015,25.0,100,True,0.018273567816426674
15,design_000015,27.5,110,True,0.013158397910757463
15,design_000015,30.0,120,True,0.008492439618727168
15,design_000015,32.5,130,True,0.008431412095119273
15,design_000015,35.0,140,True,0.008005911345203955
15,design_000015,37.5,150,True,0.00790415993177427
15,design_000015,40.0,160,True,0.008509090193525467
15,design_000015,42.5,170,True,0.008094206116343794
15,design_000015,45.0,180,True,0.009427470231454568
16,design_000016,0.0,0,True,0.002042749138605097
16,design_000016,2.5,10,True,0.04772899103000218
16,design_000016,5.0,20,True,0.06804462853862397
16,design_000016,7.5,30,True,0.06449459415299856
16,design_000016,10.0,40,True,0.06801167440398849
16,design_000016,12.5,50,True,0.058846910283446074
16,design_000016,15.0,60,True,0.05852334218821399
16,design_000016,17.5,70,True,0.04781136710585253
16,design_000016,20.0,80,True,0.03787254558154188
16,design_000016,22.5,90,True,0.034509381094017126
16,design_000016,25.0,100,True,0.027804992428704628
16,design_000016,27.5,110,True,0.01836977605807948
16,design_000016,30.0,120,True,0.011105241423789814
16,design_000016,32.5,130,True,0.011075189066278508
16,design_000016,35.0,140,True,0.009599047260935602
16,design_000016,37.5,150,True,0.00930708336380087
16,design_000016,40.0,160,True,0.012148141526864385
16,design_000016,42.5,170,True,0.010882955806045612
16,design_000016,45.0,180,True,0.012375566489240847
17,design_000017,0.0,0,True,0.0023977281423108532
17,design_000017,2.5,10,True,0.009387021740129644
17,design_000017,5.0,20,True,0.05926077111691562
17,design_000017,7.5,30,True,0.10719430045408376
17,design_000017,10.0,40,True,0.032652535682192764
17,design_000017,12.5,50,True,0.008157679890592462
17,design_000017,15.0,60,True,0.011801813740896177
17,design_000017,17.5,70,True,0.011170846387997493
17,design_000017,20.0,80,True,0.008205218200854096
17,design_000017,22.5,90,True,0.010589798245726393
17,design_000017,25.0,100,True,0.009065743961168883
