rank_among_eligible,design_index,design_id,style,sigma_km,fully_grid_usable,validation_mmd_risk,bootstrap_risk_se,minimum_log10_intrinsic_ess,median_log10_intrinsic_ess,worst_covariance_condition_regularized,mean_projection_kl,maximum_projection_kl,maximum_moment_residual,maximum_native_iterations,projection_failure_count,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
1,216,design_000216,support_random,200.0,True,0.00552468756986562,0.007283950398424831,-2462.7344784002316,-0.138660371062231,28259616077925.16,2.174441693098689,24.912031431774295,9.829931339277724e-09,43,0,520.0520758159645,179.78145994183757,1276.6655593952084,193.87601217529402,135.26474410132448,91.66361422942292,26.937949164558333,-171.6351398605406
2,240,design_000240,longitudinal_stratified,200.0,True,0.006128378303738247,0.009225261684961732,-1961.483090338691,-0.10657280353241881,36034151035160.53,2.4365769505311463,28.90486357877756,6.001990304920196e-09,63,0,-19.32096848585911,-325.17864662931544,180.74865552459462,3.163708789660994,550.2046604349783,100.1543748390802,1176.6283291398372,164.720998575862
3,278,design_000278,longitudinal_stratified,200.0,True,0.006407518867666354,0.007729937287367753,-1099.1649065822933,-0.12705783188024328,7837251731210.007,1.8165089124618707,17.45769554007849,7.277987769455872e-09,32,0,-32.694172721081515,-87.82704034236579,286.8709490695334,222.46616735122254,484.208976692644,-118.0150380512115,977.4759643363352,304.3049140221627
4,235,design_000235,longitudinal_stratified,200.0,True,0.006410421924879323,0.008751086046968002,-1792.4287164915704,-0.11252618992624347,40515345683195.516,2.4954696595134056,28.264919483326448,9.84932958793653e-09,42,0,-59.80704604716964,-274.7122330221834,265.20704658176015,-12.045450523247567,568.9753780539237,127.73240211955158,1133.7678351962504,92.43659885522315
5,267,design_000267,longitudinal_stratified,200.0,True,0.006418166266957363,0.007529206935457486,-1754.6415102192216,-0.12288013357360415,12177945929156.957,2.4114301692996594,26.628811429005427,9.092910460836752e-09,47,0,-65.55057455073262,-86.0554298848673,257.61624747507136,13.519153933679522,568.4909092234986,156.65462620399643,1151.7415566508546,327.6571520111981
6,324,design_000324,longitudinal_stratified,200.0,True,0.0065532944725250515,0.009673837434721742,-12833.116468192722,-0.1524780995254994,20022797869714.125,1.9953804110198738,21.52386271697941,7.622460220096488e-09,42,0,6.00780462801869,-402.25827996153345,133.86153752795258,-43.631501536521135,465.40733218181316,122.45582959702753,1126.061433993024,110.3117212963085
7,150,design_000150,support_random,200.0,True,0.006579078525493355,0.009830653757506991,-146.12191691105406,-0.17388400877277913,5200201560431.662,2.5010429222132395,25.223719918409703,2.125374526051569e-09,110,0,583.7526953688964,193.2646369963868,918.8667891690565,207.01561430897343,1341.4125485523878,171.39598427456218,161.45512378926028,-127.29140274988697
8,266,design_000266,longitudinal_stratified,200.0,True,0.006881106725079443,0.00786948804476415,-10959.701571346894,-0.15888421693253582,103460203.91298707,1.9825567170145435,18.099048704716413,1.2690608815181378e-09,39,0,-25.469140101883564,-371.35338958910285,2.4431079128747086,-117.48134637807337,440.8869367422368,230.69349759015176,908.6323145675535,280.590038802191
9,4,design_000004,manual,200.0,True,0.006921308712920615,0.009999479617009456,-542.7918257085241,-0.16366909210390837,35924103428170.34,2.046836378828415,20.093825774644653,9.94318694774965e-09,673,0,-100.0,250.0,500.0,250.0,1100.0,250.0,1700.0,250.0
10,186,design_000186,support_random,200.0,True,0.007067547231630626,0.0082001257951622,-15150.18124862791,-0.14417824508092153,444707870.42696863,1.6825340427779643,16.339420447714087,5.819682144760259e-09,37,0,375.6550363525842,-44.731713281247,9.005676686734091,-78.51381011450043,1053.3543935584169,310.2778572535912,-27.661000606285917,193.94356477369638
