design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason,dense_projection_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,gram_rank_constant,gram_rank_values,tangent_rank_sensitivity_valid,maximum_relative_tangent_rank_action_change,tangent_rank_tolerance_actions,maximum_moment_residual,maximum_soft_projection_stationarity_residual,minimum_covariance_eigenvalue,maximum_covariance_condition,maximum_gram_compatibility_residual,tangent_action,bandwidth_sensitivity_valid
216,design_000216,True,True,-5.608664276433179e-09,2.740727997995937e-12,128x68,5.566595512933814e-09,0.774386868123717,4.9309812015532045e-11,pending_dense_projection,,True,True,True,False,False,3;4,True,0.011738016027083223,1e-10:1037513.6600102822;1e-12:1039238.4305102566;1e-14:1049692.0119798006,0.0664618050388872,9.49629385759434e-10,2.5000000000330398e-05,7291.88881201637,2.7905068179213388e-06,1037513.6600102822,True
278,design_000278,True,True,-2.5571131781806812e-06,1.6653345369377348e-16,128x68,3.1707080500376487e-06,0.8969110547917106,1.8070137902209453e-07,pending_dense_projection,,True,True,True,False,False,3;4,True,0.005177799626967626,1e-10:1067799.0289921421;1e-12:1073327.878406134;1e-14:1073327.878406134,0.0550497337289284,9.691375582463729e-10,2.500000903662808e-05,2457.889360011915,1.9438915623972324e-06,1067799.028992142,True
240,design_000240,True,True,-6.990892165119858e-08,1.7059772953293643e-19,128x68,7.942777806268142e-08,0.6831264333371178,1.501701248957761e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.044623086031332054,1e-10:1038237.2439511812;1e-12:1042509.840119204;1e-14:1084566.5938089478,0.06406810854181685,9.74034435547165e-10,2.500000001927029e-05,7105.109753041318,4.324029095827213e-06,1038237.2439511812,True
266,design_000266,True,True,-9.754700683504075e-06,1.1102230246251565e-16,128x68,1.507069806946739e-05,0.8665224736399327,1.2543393655758928e-06,pending_dense_projection,,True,True,True,False,False,3;4,True,0.006235813868209274,1e-10:1085614.8163801546;1e-12:1092384.5083076714;1e-14:1092384.5083076714,0.047828866743379564,9.66102125111284e-10,2.5000082505016732e-05,4261.218681186059,6.817544002968924e-06,1085614.8163801546,False
324,design_000324,True,True,-2.752398348212965e-07,1.1102230246251565e-16,128x68,3.2489072936914844e-07,0.7483837953965323,9.167197793669577e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.010548670525383703,1e-10:990968.63369836402;1e-12:992014.03869278706;1e-14:1001422.0353162377,0.04671395288995375,9.385301297206843e-10,2.5000000169534462e-05,5381.092251718244,1.781807110836102e-06,990968.633698364,True
235,design_000235,True,True,-2.2349624024809688e-07,2.7755575615628914e-16,128x68,2.839239685777755e-07,0.5756812381271873,7.813981041763736e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.042156113208667266,1e-10:1074900.8520710934;1e-12:1114474.6422227798;1e-14:1120214.4940790953,0.07272788041102438,9.701557327177068e-10,2.5000000097530004e-05,7683.545135415577,1.063324262732082e-05,1074900.8520710934,True
267,design_000267,True,True,-4.752910277777588e-08,8.673617379884035e-18,128x68,5.569940329670569e-08,0.8873509538990194,1.041224745552592e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.04264519361795257,1e-10:1053864.7925035369;1e-12:1092568.1185006124;1e-14:1098807.0606269937,0.07887576713931703,9.920904952140661e-10,2.5000000014317067e-05,8667.825652479201,1.5515368469650594e-05,1053864.792503537,False
186,design_000186,True,True,-5.276386489587168e-07,2.220446049250313e-16,128x68,6.003627516686936e-07,0.8787931025924693,2.1773317143364142e-08,pending_dense_projection,,True,True,True,False,False,3;4,True,0.0025726097715831867,1e-10:1094581.5936951048;1e-12:1097344.265002873;1e-14:1097397.5249988399,0.05146032073346776,8.979673557949653e-10,2.5000000739739566e-05,5386.928646454671,3.1984504520591977e-06,1094581.5936951048,False
4,design_000004,True,True,-6.025421555875865e-09,1.1530345702929703e-14,128x68,1.318943620102199e-14,0.27923881101576314,2.277811757331667e-18,pending_dense_projection,,True,True,True,False,False,2;3;4,True,0.002624307367235313,1e-10:3065369.0456610611;1e-12:3069284.1506779501;1e-14:3073413.5162308845,0.03815983953457663,9.955300325800984e-10,2.5e-05,3828.1615666646026,4.4778995800788805e-06,3065369.045661061,False
138,design_000138,True,True,-0.0001906827853515072,2.7755575615628914e-17,128x68,0.00032670695887687185,0.735310830589774,5.230612522384139e-05,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:1877866.8958318827;1e-12:1877866.8958318827;1e-14:1877866.8958318827,0.045433407896022106,8.58891499005168e-10,2.5007435071184987e-05,1416.7109204217056,1.8429240880187546e-15,1877866.8958318827,False
