near_optimal_rank,design_index,design_id,style,validation_risk,risk_difference_from_best,bootstrap_risk_se,bootstrap_risk_ci_lower,bootstrap_risk_ci_upper,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
1,216,design_000216,support_random,0.005524708831231037,0.0,0.005066745357925032,0.0058500365583077085,0.024926217789128426,520.0520758159645,179.78145994183757,1276.6655593952084,193.87601217529402,135.26474410132448,91.66361422942292,26.937949164558333,-171.6351398605406
2,240,design_000240,longitudinal_stratified,0.00612840695509871,0.0006036981238676728,0.006423412765236407,0.005500592100458189,0.029286670309066728,-19.32096848585911,-325.17864662931544,180.74865552459462,3.163708789660994,550.2046604349783,100.1543748390802,1176.6283291398372,164.720998575862
3,278,design_000278,longitudinal_stratified,0.006407535271706617,0.0008828264404755802,0.0054392212674197705,0.006387496090060932,0.028291042274178745,-32.694172721081515,-87.82704034236579,286.8709490695334,222.46616735122254,484.208976692644,-118.0150380512115,977.4759643363352,304.3049140221627
4,235,design_000235,longitudinal_stratified,0.006410481752633347,0.0008857729214023103,0.006190974039688589,0.005605633283414798,0.02880844976412944,-59.80704604716964,-274.7122330221834,265.20704658176015,-12.045450523247567,568.9753780539237,127.73240211955158,1133.7678351962504,92.43659885522315
5,267,design_000267,longitudinal_stratified,0.006418171842131784,0.000893463010900747,0.0052403944436679615,0.006913427960598061,0.02745340666066135,-65.55057455073262,-86.0554298848673,257.61624747507136,13.519153933679522,568.4909092234986,156.65462620399643,1151.7415566508546,327.6571520111981
6,324,design_000324,longitudinal_stratified,0.006553319266080372,0.0010286104348493355,0.006732738918337574,0.005768404152373295,0.031069298004416115,6.00780462801869,-402.25827996153345,133.86153752795258,-43.631501536521135,465.40733218181316,122.45582959702753,1126.061433993024,110.3117212963085
7,150,design_000150,support_random,0.006579090520027943,0.0010543816887969059,0.006937293084596279,0.005233904100588161,0.03161668068869094,583.7526953688964,193.2646369963868,918.8667891690565,207.01561430897343,1341.4125485523878,171.39598427456218,161.45512378926028,-127.29140274988697
8,266,design_000266,longitudinal_stratified,0.006881145367299749,0.001356436536068712,0.005505529552463379,0.006919942265939217,0.02857860813408817,-25.469140101883564,-371.35338958910285,2.4431079128747086,-117.48134637807337,440.8869367422368,230.69349759015176,908.6323145675535,280.590038802191
9,4,design_000004,manual,0.006921361351086131,0.0013966525198550938,0.007014143341346417,0.005957114145832021,0.03262113985455409,-100.0,250.0,500.0,250.0,1100.0,250.0,1700.0,250.0
10,186,design_000186,support_random,0.00706757441403986,0.001542865582808823,0.005746329640131411,0.006776192696300418,0.02999689310537449,375.6550363525842,-44.731713281247,9.005676686734091,-78.51381011450043,1053.3543935584169,310.2778572535912,-27.661000606285917,193.94356477369638
