design_index,design_id,style,frozen_evaluation_time_count,original_unresolved_time_count,adaptive_resolved_time_count,numerically_admissible,excluded_source_time_indices,excluded_days,exclusion_reasons
0,design_000000,manual,19,0,0,True,,,
1,design_000001,manual,19,0,0,True,,,
2,design_000002,manual,19,0,0,True,,,
3,design_000003,manual,19,0,0,True,,,
4,design_000004,manual,19,0,0,True,,,
5,design_000005,manual,19,0,0,True,,,
6,design_000006,manual,19,0,0,True,,,
7,design_000007,manual,19,0,0,True,,,
8,design_000008,manual,19,0,0,True,,,
9,design_000009,manual,19,0,0,True,,,
10,design_000010,manual,19,0,0,True,,,
11,design_000011,manual,19,0,0,True,,,
12,design_000012,support_random,19,0,0,True,,,
13,design_000013,support_random,19,0,0,True,,,
14,design_000014,support_random,19,0,0,True,,,
15,design_000015,support_random,19,0,0,True,,,
16,design_000016,support_random,19,0,0,True,,,
17,design_000017,support_random,19,0,0,True,,,
18,design_000018,support_random,19,0,0,True,,,
19,design_000019,support_random,19,0,0,True,,,
20,design_000020,support_random,19,0,0,True,,,
21,design_000021,support_random,19,0,0,True,,,
22,design_000022,support_random,19,0,0,True,,,
23,design_000023,support_random,19,0,0,True,,,
24,design_000024,support_random,19,0,0,True,,,
25,design_000025,support_random,19,0,0,True,,,
26,design_000026,support_random,19,0,0,True,,,
27,design_000027,support_random,19,0,0,True,,,
28,design_000028,support_random,19,0,0,True,,,
29,design_000029,support_random,19,1,0,False,10,2.5,B_mathematically_feasible_but_numerically_unresolved
30,design_000030,support_random,19,0,0,True,,,
31,design_000031,support_random,19,1,1,True,,,
32,design_000032,support_random,19,0,0,True,,,
33,design_000033,support_random,19,0,0,True,,,
34,design_000034,support_random,19,0,0,True,,,
35,design_000035,support_random,19,0,0,True,,,
36,design_000036,support_random,19,0,0,True,,,
37,design_000037,support_random,19,0,0,True,,,
38,design_000038,support_random,19,0,0,True,,,
39,design_000039,support_random,19,0,0,True,,,
40,design_000040,support_random,19,0,0,True,,,
41,design_000041,support_random,19,0,0,True,,,
42,design_000042,support_random,19,0,0,True,,,
43,design_000043,support_random,19,0,0,True,,,
44,design_000044,support_random,19,0,0,True,,,
45,design_000045,support_random,19,0,0,True,,,
46,design_000046,support_random,19,0,0,True,,,
47,design_000047,support_random,19,0,0,True,,,
48,design_000048,support_random,19,0,0,True,,,
49,design_000049,support_random,19,0,0,True,,,
50,design_000050,support_random,19,1,0,False,10,2.5,B_mathematically_feasible_but_numerically_unresolved
51,design_000051,support_random,19,0,0,True,,,
52,design_000052,support_random,19,0,0,True,,,
53,design_000053,support_random,19,0,0,True,,,
54,design_000054,support_random,19,0,0,True,,,
55,design_000055,support_random,19,0,0,True,,,
56,design_000056,support_random,19,0,0,True,,,
57,design_000057,support_random,19,0,0,True,,,
58,design_000058,support_random,19,0,0,True,,,
59,design_000059,support_random,19,0,0,True,,,
60,design_000060,support_random,19,0,0,True,,,
61,design_000061,support_random,19,0,0,True,,,
62,design_000062,support_random,19,0,0,True,,,
63,design_000063,support_random,19,0,0,True,,,
64,design_000064,support_random,19,0,0,True,,,
65,design_000065,support_random,19,0,0,True,,,
66,design_000066,support_random,19,0,0,True,,,
67,design_000067,support_random,19,0,0,True,,,
68,design_000068,support_random,19,0,0,True,,,
69,design_000069,support_random,19,0,0,True,,,
70,design_000070,support_random,19,0,0,True,,,
71,design_000071,support_random,19,0,0,True,,,
72,design_000072,support_random,19,0,0,True,,,
73,design_000073,support_random,19,0,0,True,,,
74,design_000074,support_random,19,0,0,True,,,
75,design_000075,support_random,19,0,0,True,,,
76,design_000076,support_random,19,0,0,True,,,
77,design_000077,support_random,19,0,0,True,,,
78,design_000078,support_random,19,0,0,True,,,
79,design_000079,support_random,19,0,0,True,,,
80,design_000080,support_random,19,0,0,True,,,
81,design_000081,support_random,19,0,0,True,,,
82,design_000082,support_random,19,0,0,True,,,
83,design_000083,support_random,19,0,0,True,,,
84,design_000084,support_random,19,0,0,True,,,
85,design_000085,support_random,19,0,0,True,,,
86,design_000086,support_random,19,0,0,True,,,
87,design_000087,support_random,19,0,0,True,,,
88,design_000088,support_random,19,0,0,True,,,
89,design_000089,support_random,19,0,0,True,,,
90,design_000090,support_random,19,0,0,True,,,
91,design_000091,support_random,19,0,0,True,,,
92,design_000092,support_random,19,0,0,True,,,
93,design_000093,support_random,19,0,0,True,,,
94,design_000094,support_random,19,0,0,True,,,
95,design_000095,support_random,19,0,0,True,,,
96,design_000096,support_random,19,1,1,True,,,
97,design_000097,support_random,19,0,0,True,,,
98,design_000098,support_random,19,0,0,True,,,
99,design_000099,support_random,19,0,0,True,,,
100,design_000100,support_random,19,0,0,True,,,
101,design_000101,support_random,19,0,0,True,,,
102,design_000102,support_random,19,0,0,True,,,
