panel_label,design_index,design_id,source_time_index,day,grid_nx,grid_ny,dx_km,formulation,converged,scientifically_valid,action,weak_action,action_identity_relative_error,tangent_action,tangent_lower_bound,direct_ritz_action,direct_ritz_qr_svd_status,direct_ritz_certification_status,scaled_relative_residual,original_conservative_relative_residual,score_form_relative_residual,weighted_mean_potential,iteration_count,solve_seconds,preconditioner,solver_error,minimum_log_q_mass,maximum_log_q_mass,log_q_range,minimum_log_face_conductance,maximum_log_face_conductance,log_conductance_range,minimum_scaled_log_coefficient,genuine_scaled_conductance_underflow_count,genuine_scaled_rhs_underflow_count,score_magnitude_median,score_magnitude_p95,score_magnitude_maximum,centered_cell_peclet_maximum,centered_cell_peclet_above_one_fraction,projected_multiplier_recovery_max_abs_error,reference_log_density_centered_max_abs_error,reference_log_density_centered_rms_error,density_modified,operator_regularized,precision,production_run,final_test_accessed
day_zero_fixed_subset,121,design_000121,0,0.0,73,39,50.0,log_row_scaled_conservative_fv,0,0,,,Infinity,1207708.6821094532,0,1458873.4157182274,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-295547.5799180361,-1.452024843366422,295546.12789319275,-295502.05625648587,-9.368365056645068,295492.68789142923,-9698.089528473967,7038,2416,,,,,,2.3152035844020702e-11,2.0372681319713593e-10,3.8364034125570346e-11,0,0,float64,0,0
day_zero_fixed_subset,121,design_000121,0,0.0,73,39,50.0,analytic_score_centered_difference,0,0,13951885.098795908,4456432.986432884,0.6805856015243783,1207708.6821094532,1,1458873.4157182274,fail,unresolved,0.12578224483245928,3.9797974510457883,0.00041876283710964325,0.0,4,0.0019425509999564383,SuperLU ILU of centered score operator,,-295547.5799180361,-1.452024843366422,295546.12789319275,,,,,0,0,78.86877781880987,185.7093536922119,195.59082175234056,4889.770543808514,0.9996487530734106,2.3152035844020702e-11,2.0372681319713593e-10,3.8364034125570346e-11,0,0,float64,0,0
maximum_lower_bound_failure,121,design_000121,34,8.5,73,39,50.0,log_row_scaled_conservative_fv,0,0,,,Infinity,29966522.563986607,0,182023149.7019083,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-36782.95457754896,-3.507703322620889,36779.44687422634,-34142.74650468735,-11.356500817744848,34131.3900038696,-14881.68977947706,577,230,,,,,,2.6476598691260733e-12,1.014228701023967e-10,9.99194114122465e-12,0,0,float64,0,0
maximum_lower_bound_failure,121,design_000121,34,8.5,73,39,50.0,analytic_score_centered_difference,0,0,7988916.333858918,-79745404.75291866,1.100180271936817,29966522.563986607,0,182023149.7019083,pass,certified,0.006884984333465249,0.5370516055520101,0.00016164063593750692,-3.73814256926734e-10,83,0.019392556001548655,SuperLU ILU of centered score operator,,-36782.95457754896,-3.507703322620889,36779.44687422634,,,,,0,0,1.0111968154365787,38.538345445232245,678.5278778988203,16963.196947470507,0.9483667017913593,2.6476598691260733e-12,1.014228701023967e-10,9.99194114122465e-12,0,0,float64,0,0
day_zero_fixed_subset,218,design_000218,0,0.0,73,39,50.0,log_row_scaled_conservative_fv,0,0,,,Infinity,1803239.6223799735,0,5195397.680723635,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-295550.85138796404,-1.165835510886827,295549.68555245316,-295505.3277264138,-9.086417412216408,295496.2413090016,-9698.089528473967,7026,2407,,,,,,2.722977399116644e-11,2.0372681319713593e-10,3.8364034125570346e-11,0,0,float64,0,0
day_zero_fixed_subset,218,design_000218,0,0.0,73,39,50.0,analytic_score_centered_difference,0,0,1609672.8893732533,1848535.193055465,0.12921707121377188,1803239.6223799735,0,5195397.680723635,fail,unresolved,0.08427649287987751,0.5748745996011906,0.0001026721947786279,1.175486784392806e-11,4,0.0010294479980075266,SuperLU ILU of centered score operator,,-295550.85138796404,-1.165835510886827,295549.68555245316,,,,,0,0,78.88699320216314,185.7093536922119,195.59082175234056,4889.770543808514,0.9978925184404637,2.722977399116644e-11,2.0372681319713593e-10,3.8364034125570346e-11,0,0,float64,0,0
requested_day_0.25_control,218,design_000218,1,0.25,73,39,50.0,log_row_scaled_conservative_fv,0,0,,,Infinity,6582839.355832009,0,8334476.39764948,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-293785.5668791497,-1.5740412675308306,293783.9928378822,-293746.0998851552,-9.50653615645232,293736.59334899875,-12406.820836975996,6799,2326,,,,,,1.4702905559715873e-11,2.2919266484677792e-10,4.3088209058825224e-11,0,0,float64,0,0
requested_day_0.25_control,218,design_000218,1,0.25,73,39,50.0,analytic_score_centered_difference,0,0,23515060.939889982,20084875.221671313,0.14587186173946262,6582839.355832009,1,8334476.39764948,fail,unresolved,0.051221248537091674,1.3881535389433748,0.0010039191300130375,-6.286732732712258e-11,4,0.0010635139988153242,SuperLU ILU of centered score operator,,-293785.5668791497,-1.5740412675308306,293783.9928378822,,,,,0,0,67.0568626375612,221.14168957024268,257.09391875720434,6427.347968930108,0.9975412715138743,1.4702905559715873e-11,2.2919266484677792e-10,4.3088209058825224e-11,0,0,float64,0,0
requested_day_1_control,218,design_000218,4,1.0,73,39,50.0,log_row_scaled_conservative_fv,0,0,,,Infinity,3760224.344325971,0,9038027.76339518,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-285941.9981238044,-1.4578097158288985,285940.5403140886,-285530.1881422414,-9.566795288825055,285520.62134695257,-23728.504362712294,5982,2056,,,,,,2.517630548481975e-11,3.7471181713044643e-10,4.422172232247637e-11,0,0,float64,0,0
requested_day_1_control,218,design_000218,4,1.0,73,39,50.0,analytic_score_centered_difference,0,0,105972637.31631061,-1407913.3350878533,1.013285630807559,3760224.344325971,1,9038027.76339518,fail,unresolved,1.4696980366466008,10.638949318209892,0.004393708623843127,-1.0545695308743204e-09,4,0.0010665579975466244,SuperLU ILU of centered score operator,,-285941.9981238044,-1.4578097158288985,285940.5403140886,,,,,0,0,42.31429936829077,327.48490393464925,532.6843468113832,13317.10867028458,0.9982437653670531,2.517630548481975e-11,3.7471181713044643e-10,4.422172232247637e-11,0,0,float64,0,0
