case,design_id,day,particle_count,particle_converged,particle_verified_l2_residual,grid_verified_l2_residual,particle_lambda_norm,grid_lambda_norm,relative_lambda_difference,particle_kl_divergence,grid_kl_divergence,particle_empirical_ess_fraction,grid_intrinsic_ess_fraction,maximum_projected_sensor_moment_error,particle_lambda_0,particle_lambda_1,particle_lambda_2,particle_lambda_3,grid_lambda_0,grid_lambda_1,grid_lambda_2,grid_lambda_3
4,design_000199,2.5,200000,True,3.4703570137576736e-13,3.6500581248471006e-09,49.9231996912862,47.11273321603845,0.060377785504307294,4.790030582909753,4.717420058306109,0.0015167865526182103,0.0011512382026063763,2.69246058781647e-09,11.194079160905847,0.0024775314633278403,-2.274188610427461,-48.59883248784328,10.902993549388238,0.0021302314676532046,-1.8965723260875076,-45.79451246188395
8,design_000321,2.5,200000,True,1.2574362884450668e-10,1.2215793528533518e-10,85.44266852742207,77.26375878148566,0.10883250538116844,5.389532373255101,5.068648574694251,0.00016805255015157214,2.3728037548271662e-05,1.2215793463660283e-10,-19.09422120503622,-14.304754672101362,82.04202860063033,0.5829738625489955,-16.40668892981172,-11.36442459274972,74.63801239901473,0.7252159707456883
12,design_000460,2.5,200000,True,2.154366185646591e-13,6.689433143184887e-11,117.67308942224962,98.9181375227229,0.1912334720481492,6.92553864767292,6.692639209995761,0.0002725086534602397,5.420251080422591e-05,5.764505539573861e-11,-79.67174215391633,19.256122066399882,-81.99993054805205,-20.11423946897262,-65.5039939314179,15.786880874460422,-70.53258489671339,-16.43026384573913
13,design_000363,5.0,200000,True,8.626568869805064e-11,1.758761296921913e-09,28.34972141164222,29.073394763856072,0.03710363405829937,2.95693748322889,2.9875023212493934,0.0052275814574485385,0.00039785811278884327,1.2444001384892545e-09,22.779398687116604,4.132686438457065,14.012321604341931,8.448754087378871,23.74795122670015,4.254401471643133,14.113209319880264,8.00090535130932
14,design_000400,5.0,200000,True,6.3486685009114325e-12,1.512366407133789e-11,26.299160771242985,26.693769371907802,0.020917157019470858,3.004205268074224,3.0156526255840452,0.006535358848157081,0.0037147165785029767,9.815082774311534e-12,16.921082346911362,7.6220834703779445,17.8970632017109,-5.1886223417481006,17.42940890607127,7.805505867898143,17.873697076843428,-5.327106101535148
15,design_000215,7.5,200000,True,2.9261706659631087e-13,5.442729652097854e-13,11.827302048725238,12.245335166210902,0.03698931805453293,1.3197823531905846,1.335035347527205,0.026665994793529685,0.026308580521999542,3.5773467521593716e-13,9.33267067967274,6.307514637679353,-2.8715561041635254,-2.180769674371614,9.76922347037685,6.414382979501596,-2.896058583738444,-2.2313766581450523
16,design_000302,7.5,200000,True,4.464271131554884e-13,2.4487906147411006e-15,134.47893345053708,26.498619571899496,4.138877745418622,5.132128974250556,2.9666247391846543,3.115449586236375e-05,1.2935135268985064e-07,2.1649348980190553e-15,17.50768511854336,15.48455740455994,-36.70154559288226,127.24499808189866,4.2545338512779525,1.6200677858113892,1.0715757588924544,26.0826165613597
17,design_000354,7.5,200000,True,1.5625130666364086e-09,1.0691386028104261e-12,65.86805415526047,36.84780912688868,0.8728648157910779,2.103234341268723,1.876208017831154,0.0017269709578637306,3.115891076868749e-08,1.0278878442848693e-12,29.10776156102244,-1.0993905366724683,8.044977773648487,58.52698905783867,23.710001333348483,-1.0624479283718897,8.651201907317642,26.825823084903757
18,design_000387,10.0,200000,True,9.491387885956563e-09,7.616366830257405e-10,29.150056517740953,24.417173998581422,0.20254927625225794,1.0169230381261243,1.0098581864323533,0.03231446954730776,0.0003049535007682523,6.867320731171467e-10,26.293110330759585,6.565723163588761,4.053864656458309,9.9426155918967,21.54846295772322,6.311834370077669,4.274281216551777,8.58797980919668
19,design_000409,10.0,200000,True,7.674067137434172e-10,1.9811520871560026e-10,34.44059516908618,27.58274011529682,0.25422158917425114,0.9910802934993947,0.9751431934631959,0.014165826743369489,6.868959914559736e-06,1.4715783843224917e-10,32.19376097032838,1.4097064984265228,2.1749435232376593,11.95820632224014,25.40911909114016,1.5308219783924348,2.70564707816488,10.27230632521975
