design_index,design_id,joint_feasible,maximum_hull_violation,worst_target_lp_linf_residual,worst_target_day,grid_resolution
216,design_000216,True,-5.608664276433179e-09,2.740727997995937e-12,0.0,128x68
278,design_000278,True,-2.5571131781806812e-06,1.6653345369377348e-16,0.0,128x68
240,design_000240,True,-6.990892165119858e-08,1.7059772953293643e-19,0.0,128x68
266,design_000266,True,-9.754700683504075e-06,1.1102230246251565e-16,0.0,128x68
324,design_000324,True,-2.752398348212965e-07,1.1102230246251565e-16,0.0,128x68
235,design_000235,True,-2.2349624024809688e-07,2.7755575615628914e-16,0.0,128x68
267,design_000267,True,-4.752910277777588e-08,8.673617379884035e-18,0.0,128x68
186,design_000186,True,-5.276386489587168e-07,2.220446049250313e-16,0.0,128x68
4,design_000004,True,-6.025421555875865e-09,1.1530345702929703e-14,0.0,128x68
138,design_000138,True,-0.0001906827853515072,2.7755575615628914e-17,0.0,128x68
347,design_000347,True,-2.5742886406436805e-05,6.776263578034403e-21,0.0,128x68
14,design_000014,True,-1.4229006847163612e-07,0.0,0.0,128x68
150,design_000150,True,-6.69471014674478e-09,6.193206969087853e-10,0.0,128x68
193,design_000193,True,-1.749159283157261e-08,4.206704429243757e-16,0.0,128x68
281,design_000281,True,-3.610442417328638e-06,1.1102230246251565e-16,0.0,128x68
312,design_000312,True,-3.1476525309883696e-06,5.551115123125783e-17,0.0,128x68
121,design_000121,True,-5.963812472005124e-08,1.3461425888966157e-14,0.0,128x68
241,design_000241,True,-2.1619650720300968e-07,1.1102230246251565e-16,0.0,128x68
245,design_000245,True,-0.00041137339085480667,5.551115123125783e-17,0.0,128x68
224,design_000224,True,-1.7556159281599018e-05,1.1102230246251565e-16,0.0,128x68
307,design_000307,True,-3.2778959728356706e-05,1.3877787807814457e-16,0.0,128x68
182,design_000182,True,-2.389693158798362e-09,1.5221682117655484e-15,0.0,128x68
56,design_000056,True,-0.00037999326732312687,3.3306690738754696e-16,0.0,128x68
318,design_000318,True,-1.0211377677632494e-08,7.927455781145455e-13,0.0,128x68
252,design_000252,True,-1.5364761082814122e-05,1.3877787807814457e-16,0.0,128x68
340,design_000340,True,-6.696928589051325e-07,5.551115123125783e-17,0.0,128x68
218,design_000218,True,-9.280805864360807e-05,1.734723475976807e-18,0.0,128x68
88,design_000088,True,-4.145412007001429e-05,1.1102230246251565e-16,0.0,128x68
31,design_000031,True,-5.5569500663359415e-09,1.2063961885170981e-12,0.0,128x68
343,design_000343,True,-6.363320912655786e-09,5.624007847607957e-10,0.0,128x68
326,design_000326,True,-9.541460015852901e-08,3.469446951953614e-18,0.0,128x68
85,design_000085,True,-6.848027647719835e-06,2.220446049250313e-16,0.0,128x68
105,design_000105,True,-5.768647466306001e-08,2.147553991663115e-12,0.0,128x68
176,design_000176,True,-5.747348922215847e-09,8.468232066985455e-11,0.0,128x68
55,design_000055,True,-9.461409303741552e-08,3.832360865182679e-18,0.0,128x68
500,design_000500,True,-5.4256457169802276e-08,1.6325393325270998e-11,0.0,128x68
331,design_000331,True,-1.274189581570148e-05,7.216449660063518e-16,0.0,128x68
162,design_000162,True,-5.092090954005373e-05,1.1102230246251565e-16,0.0,128x68
329,design_000329,True,-9.16275420362511e-09,8.474496791546998e-12,0.0,128x68
0,design_000000,True,-5.6601977970470816e-08,5.605468649029118e-11,0.0,128x68
192,design_000192,True,-0.001523991543525732,5.551115123125783e-17,0.0,128x68
161,design_000161,True,-3.775863018184001e-07,1.1102230246251565e-16,0.0,128x68
59,design_000059,True,-6.406881068960143e-09,4.907613257976455e-10,0.0,128x68
322,design_000322,True,-2.372119568478104e-07,9.71445146547012e-17,0.0,128x68
223,design_000223,True,-2.0770828915036014e-08,5.303815913241009e-19,0.0,128x68
276,design_000276,True,-5.935192835627587e-09,2.5822262082317096e-10,0.0,128x68
270,design_000270,True,-6.033976051543221e-10,4.660852291027572e-11,0.0,128x68
342,design_000342,True,-6.280651061901964e-08,1.3305066400159593e-12,0.0,128x68
13,design_000013,True,-6.023922309196867e-09,2.836359135691822e-12,0.0,128x68
38,design_000038,True,-0.001285790940191405,1.1102230246251565e-16,0.0,128x68
83,design_000083,True,-0.0004895028033844189,4.163336342344337e-17,0.0,128x68
292,design_000292,True,-1.3632092796714466e-06,2.117582368135751e-22,0.0,128x68
325,design_000325,True,-1.9483142034694544e-08,3.308722450212111e-24,0.0,128x68
251,design_000251,True,-6.912396124834245e-09,1.4462282762777241e-11,0.0,128x68
74,design_000074,True,-4.0947877895645335e-07,5.551115123125783e-17,0.0,128x68
272,design_000272,True,-1.5603616587458688e-06,5.551115123125783e-17,0.0,128x68
286,design_000286,True,-0.0002541295047930746,1.6653345369377348e-16,0.0,128x68
202,design_000202,True,-9.327622400930053e-09,2.6614715181247874e-13,0.0,128x68
430,design_000430,True,-0.00011089487802045888,1.3877787807814457e-17,0.0,128x68
65,design_000065,True,-1.7392774521842212e-06,1.1102230246251565e-16,0.0,128x68
332,design_000332,True,-6.044775643007531e-09,1.5373320821381666e-10,0.0,128x68
330,design_000330,True,-5.663468580391476e-10,1.0081647175035999e-10,0.0,128x68
221,design_000221,True,-6.929020034681987e-08,1.1102230246251565e-16,0.0,128x68
32,design_000032,True,-5.989181164019807e-09,3.1017785298082645e-12,0.0,128x68
168,design_000168,True,-6.674440912042012e-09,7.179009073809374e-10,0.0,128x68
435,design_000435,True,-0.0016481903897603437,1.3877787807814457e-17,0.0,128x68
126,design_000126,True,-0.00014855884975682607,2.168404344971009e-19,0.0,128x68
449,design_000449,True,-0.00042881643838466174,1.3877787807814457e-17,0.0,128x68
12,design_000012,True,-8.640404057819101e-07,5.551115123125783e-17,0.0,128x68
236,design_000236,True,-3.7910497534067496e-06,1.3877787807814457e-17,0.0,128x68
283,design_000283,True,-5.962960490119309e-09,4.3995689789196867e-10,0.0,128x68
