design_index,design_id,bandwidth_low_days,bandwidth_nominal_days,bandwidth_high_days,observation_time_rmse,observation_time_maximum_absolute_error,minimum_reconstructed_moment,maximum_reconstructed_moment,maximum_absolute_derivative_per_normalized_time,derivative_all_finite,coarse_derivative_energy_per_day,refined_derivative_energy_per_day,temporal_grid_refinement_relative_energy_change
216,design_000216,0.5,0.75,1.0,0.00613514105600095,0.09823654422909744,5.566595512933814e-09,0.774386868123717,4.917225270273448,True,0.07431295764526968,0.07433508761121312,0.0002977055204290077
278,design_000278,0.5,0.75,1.0,0.004833317637673856,0.044830290384966665,3.1707080500376487e-06,0.8969110547917106,6.204123471842621,True,0.08673411840368576,0.08675708153850735,0.00026468311767026246
240,design_000240,0.5,0.75,1.0,0.006709276339914781,0.11736023412853025,7.942777806268142e-08,0.6831264333371178,4.91351773829625,True,0.058939908544713315,0.05897563377578879,0.0006057625630830922
266,design_000266,0.5,0.75,1.0,0.003904635245277457,0.041425987153371424,1.507069806946739e-05,0.8665224736399327,5.6741724392849235,True,0.0709398633376072,0.07094752968381647,0.00010805656297602868
324,design_000324,0.5,0.75,1.0,0.006265566372249937,0.11245632806378214,3.2489072936914844e-07,0.7483837953965323,3.8605169565291093,True,0.05473565726747688,0.054756518944837226,0.0003809898394264589
235,design_000235,0.5,0.75,1.0,0.006710273423824838,0.10093102122180558,2.839239685777755e-07,0.5756812381271873,5.653043039009921,True,0.07282253042125719,0.0728691367514041,0.0006395894369644272
267,design_000267,0.5,0.75,1.0,0.007204631710134371,0.10106972858829921,5.569940329670569e-08,0.8873509538990194,6.622731335548254,True,0.1080087919125115,0.10806358625132366,0.0005070564536394387
186,design_000186,0.5,0.75,1.0,0.005054527300986004,0.05757636695885829,6.003627516686936e-07,0.8787931025924693,5.523003561494264,True,0.07680177862814096,0.07681816299769766,0.0002132877032895207
4,design_000004,0.5,0.75,1.0,0.001448031294325578,0.009055900099821192,1.318943620102199e-14,0.27923881101576314,2.746605377860072,True,0.014457529831313381,0.01445844870076967,6.355242359023585e-05
138,design_000138,0.5,0.75,1.0,0.0064188666566961745,0.08687524828207349,0.00032670695887687185,0.735310830589774,5.709378249239016,True,0.08118669610358283,0.08123283362605326,0.0005679664294713499
