design_index,design_id,source_time_index,day,grid_nx,grid_ny,dx_km,operator_floor_relative,regularized_equation,reported_action,direct_action_qr,direct_action_svd,direct_qr_svd_relative_difference,direct_condition_number,direct_full_column_rank,direct_numerical_success,tangent_action,direct_tangent_lower_bound_valid,regularized_ritz_physical_action,regularized_ritz_regularizer_action,regularized_ritz_operator_action,regularized_ritz_identity_relative_error,regularized_ritz_cholesky_spectral_relative_difference,regularized_ritz_coefficient_relative_difference,regularized_ritz_condition_number,regularized_ritz_success,fv_physical_action,fv_iterations,fv_converged,fv_native_relative_residual,fv_stabilized_relative_residual,fv_unregularized_relative_residual_diagnostic,fv_weighted_mean_potential,fv_condition_proxy,fv_regularized_solve_success,underflow_cell_fraction,underflow_log10_probability_mass,compatibility_relative_residual,production_run,scientific_ranking_performed,final_test_accessed,direct_grid_relative_action_change,regularized_ritz_grid_relative_action_change,fv_grid_relative_action_change,regularization_bias_relative_to_unregularized_ritz,fv_regularized_ritz_relative_action_difference,regularized_ritz_floor_ladder_maximum_relative_change,fv_floor_ladder_maximum_relative_change,direct_reference_valid,regularized_grid_valid,regularization_bias_valid,fv_ritz_agreement_valid,floor_ladder_valid,combined_floor_case_valid
56,design_000056,48,12.0,219,117,16.666666666666668,2e-07,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],1449090.312820877,1449090.3128228763,1.3797047149953288e-12,2127305.67994478,True,True,679857.6682796652,True,1430888.102904035,1503.5811299671243,1432391.6840340022,1.6254677142369017e-16,3.2834447827585416e-14,1.6684530773452277e-10,7422895.138733886,True,1497709.339705409,278,True,9.73046739311323e-09,9.730355266964245e-09,7.7467365952238e-06,-3.157967714489336e-11,5000001.0,True,0.14846036763844983,-323.1022384257293,2.3175307744313495e-15,False,False,False,1.493059981846021e-11,2.6596992006587225e-06,0.0007509548753337275,0.012558502387602205,0.04533053544790987,0.011246641786725211,0.0013269986762905921,True,True,True,True,True,True
56,design_000056,48,12.0,219,117,16.666666666666668,2e-06,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],1449090.312820877,1449090.3128228763,1.3797047149953288e-12,2127305.67994478,True,True,679857.6682796652,True,1425948.6931933707,2026.6888714455438,1427975.3820648163,1.630494801088254e-16,6.0328307640265036e-15,1.6463591986851802e-11,852154.2769485223,True,1497506.487479442,293,True,9.341410147334958e-09,9.35781665771433e-09,5.856568090741819e-05,-2.463214817301682e-09,500001.00000000006,True,0.14846036763844983,-323.1022384257293,2.3175307744313495e-15,False,False,False,1.493059981846021e-11,2.6116863147280177e-06,0.000751124893602328,0.015967186628113358,0.04849737821546923,0.011246641786725211,0.0013269986762905921,True,True,True,True,True,True
56,design_000056,48,12.0,219,117,16.666666666666668,2e-05,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],1449090.312820877,1449090.3128228763,1.3797047149953288e-12,2127305.67994478,True,True,679857.6682796652,True,1414781.0815040146,5916.862289743081,1420697.9437937576,0.0,2.1305009841977348e-15,1.4418544938728379e-12,100815.74674277616,True,1495721.702769276,302,True,9.264077847853275e-09,9.255159262790041e-09,0.00044035739958255205,-1.8474111129762615e-09,50000.99999999999,True,0.14846036763844983,-323.1022384257293,2.3175307744313495e-15,False,False,False,1.493059981846021e-11,1.27922112741001e-05,0.0007510742095086789,0.02366390319659632,0.05481309917420895,0.011246641786725211,0.0013269986762905921,True,True,True,True,True,True
56,design_000056,48,12.0,511,273,7.142857142857143,2e-07,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],1449090.3127992412,1449090.312796625,1.8053292393082991e-12,2127305.6799420654,True,True,679857.6682796833,True,1430891.9086461007,1502.439249824186,1432394.347895925,1.9505576295735563e-15,3.2671840295356e-14,2.5788782476233975e-10,7435587.755738923,True,1498834.8970786906,599,True,9.348754434955785e-09,9.348957814285669e-09,7.757742643761252e-06,2.262136056705626e-10,5000001.0,True,0.14834089589471194,-322.29812420141565,1.3895165868488902e-15,False,False,False,1.493059981846021e-11,2.6596992006587225e-06,0.0007509548753337275,0.012558502387602205,0.04533053544790987,0.011246641786725211,0.0013269986762905921,True,True,True,True,True,True
56,design_000056,48,12.0,511,273,7.142857142857143,2e-06,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],1449090.3127992412,1449090.312796625,1.8053292393082991e-12,2127305.6799420654,True,True,679857.6682796833,True,1425952.4173337845,2026.5560332179166,1427978.9733670023,8.152453502339844e-16,9.782944202807724e-15,3.01472137866817e-11,853536.2657850919,True,1498632.1473917007,639,True,9.444416928055919e-09,9.447361054628231e-09,5.870506997430805e-05,9.86059306769119e-11,500001.00000000006,True,0.14834089589471194,-322.29812420141565,1.3895165868488902e-15,False,False,False,1.493059981846021e-11,2.6116863147280177e-06,0.000751124893602328,0.015967186628113358,0.04849737821546923,0.011246641786725211,0.0013269986762905921,True,True,True,True,True,True
56,design_000056,48,12.0,511,273,7.142857142857143,2e-05,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],1449090.3127992412,1449090.312796625,1.8053292393082991e-12,2127305.6799420654,True,True,679857.6682796833,True,1414799.1799140344,5909.24008825824,1420708.4200022926,1.6388348261742118e-16,2.786019204496152e-15,3.685767954828134e-12,100986.01224890849,True,1496845.945154289,662,True,9.463057358040044e-09,9.46325736866103e-09,0.0004430859363423798,1.3920837272034622e-10,50000.99999999999,True,0.14834089589471194,-322.29812420141565,1.3895165868488902e-15,False,False,False,1.493059981846021e-11,1.27922112741001e-05,0.0007510742095086789,0.02366390319659632,0.05481309917420895,0.011246641786725211,0.0013269986762905921,True,True,True,True,True,True
88,design_000088,48,12.0,219,117,16.666666666666668,2e-07,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],2702626.716082931,2702626.7160803815,9.433398748107544e-13,1756838.1282585936,True,True,1455044.5494484159,True,2682261.6257425123,2812.9199318392148,2685074.5456743515,5.896478291066121e-15,2.4106190660534585e-14,2.851926031592506e-10,10204825.92639991,True,2774676.078271253,256,True,9.808994546021805e-09,9.809029310287763e-09,8.024093552677837e-06,-1.0105496686365867e-09,5000001.0,True,0.1483823127658744,-323.0666232435132,2.420753374678852e-15,False,False,False,1.9854073748756755e-12,7.5821935778893676e-06,0.0005515917382542852,0.00754282033869334,0.03384693904477884,0.008574404966147522,0.0009314327408644028,True,True,True,True,True,True
88,design_000088,48,12.0,219,117,16.666666666666668,2e-06,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],2702626.716082931,2702626.7160803815,9.433398748107544e-13,1756838.1282585936,True,True,1455044.5494484159,True,2671566.2053817986,4565.949243441836,2676132.1546252402,0.0,3.654112154574034e-15,1.3013932832330698e-11,1179470.7381460092,True,2774396.21656361,280,True,9.207663009395606e-09,9.209428742359604e-09,6.141614059997399e-05,2.2105774001425333e-10,500001.00000000006,True,0.1483823127658744,-323.0666232435132,2.420753374678852e-15,False,False,False,1.9854073748756755e-12,9.151552182113264e-06,0.0005505811851391427,0.011501758451651094,0.03760290623339873,0.008574404966147522,0.0009314327408644028,True,True,True,True,True,True
88,design_000088,48,12.0,219,117,16.666666666666668,2e-05,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],2702626.716082931,2702626.7160803815,9.433398748107544e-13,1756838.1282585936,True,True,1455044.5494484159,True,2659279.0290631903,5641.519643962591,2664920.5487071527,0.0,1.7473739978238677e-15,2.315250459342615e-12,138717.71270476337,True,2772117.6385651375,299,True,8.916686742324477e-09,8.916455848885547e-09,0.00043837999643146563,-7.894919286223333e-11,50000.99999999999,True,0.1483823127658744,-323.0666232435132,2.420753374678852e-15,False,False,False,1.9854073748756755e-12,1.3674296714670993e-05,0.0005422233230219393,0.01605255010867001,0.041238104428463374,0.008574404966147522,0.0009314327408644028,True,True,True,True,True,True
88,design_000088,48,12.0,511,273,7.142857142857143,2e-07,-div((q + epsilon * max(q)) grad(psi_epsilon)) = -q h,E_q[|grad(psi_epsilon)|^2],2702626.716077565,2702626.716079208,6.078727083720412e-13,1756838.1282575035,True,True,1455044.5494484706,True,2682241.2883156394,2819.0483277853004,2685060.336643425,1.0058751490706475e-14,2.6014012475964952e-15,5.132721122723353e-10,10155837.431647647,True,2776207.41134303,602,True,9.707999978252226e-09,9.70455008421459e-09,8.212974256435821e-06,2.552153499873013e-10,5000001.0,True,0.14831939098083913,-322.28312396636846,6.394419581059732e-16,False,False,False,1.9854073748756755e-12,7.5821935778893676e-06,0.0005515917382542852,0.00754282033869334,0.03384693904477884,0.008574404966147522,0.0009314327408644028,True,True,True,True,True,True
