day,source_time_index,box,grid_mass,particle_mass,absolute_mass_error
0.0,0,southwest,0.905080007001809,0.90514,5.9992998190927516e-05
0.0,0,northwest,0.09491999299819118,0.09486,5.9992998191177316e-05
0.0,0,southeast,0.0,0.0,0.0
0.0,0,northeast,0.0,0.0,0.0
2.5,10,southwest,0.8976191188671738,0.897835,0.00021588113282622334
2.5,10,northwest,0.10238088113282676,0.102165,0.0002158811328267507
2.5,10,southeast,0.0,0.0,0.0
2.5,10,northeast,0.0,0.0,0.0
5.0,20,southwest,0.8685988835291949,0.868835,0.00023611647080512554
5.0,20,northwest,0.13140111647080485,0.131165,0.000236116470804848
5.0,20,southeast,0.0,0.0,0.0
5.0,20,northeast,3.177422825786973e-168,0.0,3.177422825786973e-168
7.5,30,southwest,0.8145022039795998,0.815585,0.0010827960204001785
7.5,30,northwest,0.18549779602040034,0.184415,0.001082796020400345
7.5,30,southeast,1.1284365030463708e-91,0.0,1.1284365030463708e-91
7.5,30,northeast,6.567023458360858e-56,0.0,6.567023458360858e-56
10.0,40,southwest,0.7532966181760292,0.754155,0.0008583818239707997
10.0,40,northwest,0.24670338182397067,0.245845,0.0008583818239706609
10.0,40,southeast,3.131085041280318e-31,0.0,3.131085041280318e-31
10.0,40,northeast,1.696542490401968e-21,0.0,1.696542490401968e-21
12.5,50,southwest,0.6949825768473161,0.69608,0.0010974231526839073
12.5,50,northwest,0.30501742133332044,0.30392,0.0010974213333204141
12.5,50,southeast,3.612260497442676e-13,0.0,3.612260497442676e-13
12.5,50,northeast,1.8190016925885907e-09,0.0,1.8190016925885907e-09
15.0,60,southwest,0.6430577259152671,0.64376,0.0007022740847328901
15.0,60,northwest,0.35687963160344527,0.35616,0.0007196316034452921
15.0,60,southeast,8.711522132966638e-07,0.0,8.711522132966638e-07
15.0,60,northeast,6.177132907457334e-05,8e-05,1.8228670925426668e-05
17.5,70,southwest,0.5987783372552771,0.599975,0.001196662744722965
17.5,70,northwest,0.39883931225834235,0.39757,0.00126931225834237
17.5,70,southeast,0.0002528606993523673,0.00025,2.860699352367287e-06
17.5,70,northeast,0.0021294897870287417,0.002205,7.551021297125824e-05
20.0,80,southwest,0.5609661333238307,0.562105,0.0011388666761692479
20.0,80,northwest,0.43020177481994953,0.428765,0.0014367748199495267
20.0,80,southeast,0.00194407149303164,0.00192,2.4071493031639895e-05
20.0,80,northeast,0.006888020363187012,0.00721,0.00032197963681298864
22.5,90,southwest,0.5302342066960785,0.5312,0.0009657933039215472
22.5,90,northwest,0.45090834840331956,0.449995,0.0009133484033195804
22.5,90,southeast,0.003513003685054068,0.00342,9.300368505406808e-05
22.5,90,northeast,0.015344441215547755,0.015385,4.055878445224405e-05
25.0,100,southwest,0.5053587931887459,0.506025,0.0006662068112540664
25.0,100,northwest,0.458524714341261,0.458205,0.0003197143412610459
25.0,100,southeast,0.00487659011632393,0.004595,0.0002815901163239296
25.0,100,northeast,0.031239902353669566,0.031175,6.490235366956448e-05
27.5,110,southwest,0.48385377077415564,0.48453,0.0006762292258443714
27.5,110,northwest,0.4544691663148832,0.453915,0.0005541663148831977
27.5,110,southeast,0.007251801671861612,0.007055,0.00019680167186161227
27.5,110,northeast,0.05442526123909874,0.0545,7.473876090125647e-05
30.0,120,southwest,0.464514647534172,0.464745,0.00023035246582803204
30.0,120,northwest,0.44314596589694155,0.44323,8.403410305846126e-05
30.0,120,southeast,0.010791840730410647,0.01057,0.00022184073041064782
30.0,120,northeast,0.0815475458384763,0.081455,9.254583847630171e-05
32.5,130,southwest,0.4467255538020395,0.44705,0.0003244461979605151
32.5,130,northwest,0.4287942817332994,0.42881,1.5718266700603944e-05
32.5,130,southeast,0.015319045323482374,0.014925,0.0003940453234823737
32.5,130,northeast,0.10916111914117821,0.109215,5.3880858821797606e-05
35.0,140,southwest,0.4302675770797779,0.43115,0.000882422920222059
35.0,140,northwest,0.414078894719811,0.413325,0.0007538947198110213
35.0,140,southeast,0.020493463205477052,0.02016,0.00033346320547705116
35.0,140,northeast,0.13516006499493316,0.135365,0.00020493500506685303
37.5,150,southwest,0.41518558355512836,0.41588,0.0006944164448716705
37.5,150,northwest,0.40024224198937,0.399655,0.000587241989369991
37.5,150,southeast,0.02589023534376163,0.02571,0.00018023534376163108
37.5,150,northeast,0.1586819391117404,0.158755,7.306088825961843e-05
40.0,160,southwest,0.40152084146087497,0.40172,0.000199158539125055
40.0,160,northwest,0.3876495664223925,0.38745,0.00019956642239249422
40.0,160,southeast,0.031181563006229547,0.031345,0.0001634369937704508
40.0,160,northeast,0.1796480291105032,0.179485,0.0001630291105031989
42.5,170,southwest,0.389176067799888,0.38918,3.932200112022333e-06
42.5,170,northwest,0.3762659884106931,0.376155,0.0001109884106930692
42.5,170,southeast,0.036195402561424145,0.036425,0.00022959743857585424
42.5,170,northeast,0.19836254122799513,0.19824,0.00012254122799512657
45.0,180,southwest,0.3779750888499978,0.37826,0.00028491115000217615
45.0,180,northwest,0.3659336880212429,0.365825,0.00010868802124286425
45.0,180,southeast,0.040858776535851626,0.04102,0.00016122346414837452
45.0,180,northeast,0.21523244659290708,0.214895,0.0003374465929070758
