day,source_time_index,normalized_time,grid_nx,grid_ny,grid_point_count,dx_km,dy_km,raw_normalization,absolute_normalization_error,minimum_log_density,maximum_log_density,log10_density_dynamic_range,all_density_values_finite_and_positive_in_log_space,backward_rk4_steps,density_evaluation_seconds
2.5,10,0.05555555555555555,128,68,8704,28.515625,28.676470588235293,0.9944024601362489,0.005597539863751111,-266440.9502178702,-9.616980970883452,115709.6578309118,True,2,2.669795402998716
2.5,10,0.05555555555555555,256,136,34816,14.2578125,14.338235294117647,0.998387738597391,0.00161226140260895,-280923.33836155257,-9.544242530511792,121999.3106763974,True,2,2.397066342000471
2.5,10,0.05555555555555555,512,272,139264,7.12890625,7.169117647058823,0.9983876978031716,0.0016123021968283968,-289367.02263518644,-9.548349668623072,125666.35437966246,True,2,3.0695886470002733
5.0,20,0.1111111111111111,128,68,8704,28.515625,28.676470588235293,0.9983040330600038,0.0016959669399961852,-158646.8849806869,-10.25109630129762,68895.01472369509,True,4,1.4667489780003962
5.0,20,0.1111111111111111,256,136,34816,14.2578125,14.338235294117647,0.9983039680749703,0.0016960319250296507,-190838.17505640246,-10.242104005334866,82875.51827422978,True,4,2.083042549000311
5.0,20,0.1111111111111111,512,272,139264,7.12890625,7.169117647058823,0.9983039680749703,0.0016960319250296507,-225670.02915415465,-10.242099436835503,98002.80030532679,True,4,3.9155692480017024
7.5,30,0.16666666666666666,128,68,8704,28.515625,28.676470588235293,0.9982984650599419,0.0017015349400580915,-69383.72100532665,-10.742083487506205,30128.301938945337,True,6,1.616497369001081
7.5,30,0.16666666666666666,256,136,34816,14.2578125,14.338235294117647,0.9982984659867751,0.0017015340132249257,-91662.83631369488,-10.744813143739908,39803.99759358128,True,6,2.374784373001603
7.5,30,0.16666666666666666,512,272,139264,7.12890625,7.169117647058823,0.9982984659867742,0.0017015340132258139,-115800.70393954498,-10.739345278782631,50286.942683062705,True,6,4.488297841999156
10.0,40,0.2222222222222222,128,68,8704,28.515625,28.676470588235293,0.9982974783266026,0.0017025216733973503,-28376.179422362373,-11.157450106482809,12318.772521615225,True,8,1.657444852999106
10.0,40,0.2222222222222222,256,136,34816,14.2578125,14.338235294117647,0.9982974781134871,0.0017025218865128755,-38572.651958088114,-11.147562246410818,16747.048573002037,True,8,2.50222523299999
10.0,40,0.2222222222222222,512,272,139264,7.12890625,7.169117647058823,0.9982974781134871,0.0017025218865128755,-50600.22506898108,-11.144956634124155,21970.55833735382,True,8,5.218477074000475
