case,design_id,design_index,style,day,source_time_index,particle_count,unique_reference_particles,old_minimum_linf_residual,coordinate_support_margin,classification,native_failure_reason,exact_lp_success,exact_lp_verified_linf_residual,minimum_linf_residual,minimum_l2_residual_at_linf_solution,lp_active_weight_count,lp_maximum_weight,native_converged,native_iterations,native_reported_residual,native_verified_l2_residual,native_ess_fraction,native_effective_sample_size,native_covariance_min_eigenvalue,native_covariance_max_eigenvalue,native_covariance_condition_regularized,native_multiplier_norm,native_maximum_weight,native_healthy
0,design_000017,17,support_random,2.5,10,2000,2000,0.050100214388372755,-6.70368860098816e-07,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.03366231116059021,0.058304833234210575,3,0.7108223624154405,False,200,0.8132641792665761,0.8132641792665741,0.0006054723661792872,1.2109447323585745,6.40401459198674e-19,0.005585550338476103,5585551.334899108,728.1880895123192,0.9076299445332112,False
1,design_000024,24,support_random,2.5,10,2000,2000,0.009525557272001217,-0.008275828183323689,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.019682808436019033,0.034346258241843466,3,0.4810069551833917,False,200,0.24147601380366335,0.24147601380366282,0.013653695269874859,27.30739053974972,8.063839391472237e-06,0.09119926707231192,11308.25595469961,500.2693248511844,0.18450314280843114,False
2,design_000107,107,support_random,2.5,10,2000,2000,0.034707032126016474,-0.030749375649840285,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.031118129947128915,0.05096055609046796,2,0.9821352710788572,False,200,0.19869642516244695,0.198696425162447,0.1548124237838552,309.6248475677104,6.776263352001467e-21,0.005612819561373464,5612820.5613354305,500.7389060328681,0.034956089894446526,False
3,design_000159,159,support_random,2.5,10,2000,2000,0.007875870798066856,-0.043790892280581806,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.044033443097562075,0.06303558388016019,2,0.8643426266611758,False,200,0.2471666392171814,0.2471666392171803,0.07488488977891279,149.7697795578256,8.116480111156061e-27,0.019219742630591827,19219743.630591825,508.3899419884892,0.058122596410915314,False
4,design_000199,199,support_random,2.5,10,2000,2000,3.4657412085321936e-13,-3.466956892140232e-13,B_feasible_but_unhealthy,low_ess,True,3.469073326671974e-13,3.468759855120527e-13,3.468760576908362e-13,4,0.4778403280368122,True,8,3.611337365211036e-13,3.6134094452230446e-13,0.0037017888735369157,7.4035777470738315,6.9388939039069865e-18,0.19329296986860597,193292969.52736655,38.68070060442872,0.33786564552761494,False
5,design_000205,205,support_random,2.5,10,2000,2000,0.00589509583524539,-0.005710443317704921,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.00646004176443149,0.011189120559345709,3,0.44311492731599517,False,200,0.06788562188738473,0.06788562188738363,0.9971067151321813,1994.2134302643626,4.800441586558599e-21,0.019192924257103988,19192925.25701185,500.66868481542843,0.0008813272167522285,False
6,design_000215,215,support_random,2.5,10,2000,2000,0.07187082906281583,-0.05439572797607965,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.06574057816148982,0.10759002500745304,2,0.856544552569908,False,200,0.3262978310150616,0.32629783101506216,0.044221005339863284,88.44201067972656,7.239166311207277e-07,0.0021877146749527832,3017.885893403432,725.0571670160708,0.031914608922915144,False
7,design_000279,279,longitudinal_stratified,2.5,10,2000,2000,0.005225746923713187,-0.001432096634669461,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.004385275152037373,0.0075955193929324455,3,0.488075043367481,False,200,0.34889163451411076,0.3488916345141093,0.9641080040451162,1928.2160080902324,5.088450193442148e-20,0.04665169828815054,46651699.28577669,500.01529148736887,0.0037422282111371887,False
8,design_000321,321,longitudinal_stratified,2.5,10,2000,2000,0.027353744043076306,-1.2187958174671314e-10,B_feasible_but_unhealthy,low_ess,True,1.2214901439830166e-10,1.221513153042719e-10,1.221513153042719e-10,4,0.5259910655836215,True,9,1.223065488696629e-10,1.2230653882051762e-10,0.0015601256782395766,3.120251356479153,1.317127036349925e-28,0.011881297214035323,11881298.214035321,85.78938382561572,0.5593763558773309,False
9,design_000392,392,lateral_discriminating,2.5,10,2000,2000,0.0001645480110650882,-0.00019203066895297666,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.00019203066895302393,0.00022393663463839605,1,0.9999999999976346,False,200,0.00024282556168405192,0.00024282556168405192,0.9999987881544786,1999.9975763089572,2.4235046101061105e-20,3.639914043314153e-12,1.0036399140189909,769.9023421468506,0.0005062094511956465,False
10,design_000403,403,lateral_discriminating,2.5,10,2000,2000,0.005587802760058894,-0.017318163899627995,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.02852780794408613,0.04799709714160483,2,0.5599539963961593,False,200,0.10275602219168282,0.1027560221916829,0.0038643949290228545,7.728789858045709,3.2434305854271147e-06,0.028618843180122006,8820.91431040879,711.2518178469153,0.23550208893005534,False
11,design_000424,424,upstream_focused,2.5,10,2000,2000,0.04920058928858123,-0.05104658183454941,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.07572495153816167,0.12401346471538205,2,0.7193685468972596,False,200,0.5824940458481839,0.5824940458481833,0.002663027186598161,5.326054373196322,2.149936061725255e-06,0.011872299916326979,5519.597317460132,519.6874383087163,0.2932356145049488,False
12,design_000460,460,upstream_focused,2.5,10,2000,2000,0.005190501419322979,0.02675642433884006,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.006567947889379255,0.011703222962393293,3,0.4919110854847367,False,200,0.05566033580478336,0.05566033580478209,0.0007369966472064984,1.4739932944129968,8.869639650449993e-08,0.023487469422748885,261855.22872784032,633.5258519605155,0.8080772742004559,False
13,design_000363,363,lateral_discriminating,5.0,20,2000,2000,0.008278387940425513,0.026772491085739814,B_feasible_but_unhealthy,low_ess,True,1.1102230246251565e-16,3.0531133177191805e-16,3.802013668944583e-16,5,0.44101024475434303,True,6,5.416056977777247e-11,5.4160464845080575e-11,0.00754384618478856,15.08769236957712,0.0018937937029200177,0.06969380886380824,36.80114309980288,33.224768601978845,0.24195073623860094,False
14,design_000400,400,lateral_discriminating,5.0,20,2000,2000,0.006825459947096102,0.030664296512289264,B_feasible_but_unhealthy,low_ess,True,1.1102230246251565e-16,1.1102230246251565e-16,1.2648025775023737e-16,5,0.4612527822760409,True,7,3.5561391904357485e-14,3.5666287427185637e-14,0.007342970596546626,14.685941193093253,0.002078442154089882,0.04946201116962515,23.797625675879402,26.646828981897194,0.24654267004265212,False
15,design_000215,215,support_random,7.5,30,2000,2000,5.551115123125783e-17,0.0034609187941724968,A_support_repaired,,True,5.551115123125783e-17,5.551115123125783e-17,7.850462293418876e-17,5,0.463448192467306,True,6,4.0702240431836066e-14,4.0726228954449604e-14,0.030106388870480887,60.212777740961776,2.684937689029454e-05,0.12127767769360444,4516.7961399246515,13.54338384755538,0.1122153211973596,True
