case,design_id,design_index,style,day,source_time_index,original_failure_reason,original_newton_residual,nominal_particle_count,unique_reference_paths,duplicate_paths_collapsed,coordinate_support_margin,exact_lp_success,minimum_linf_residual,minimum_l2_residual_at_linf_solution,active_weight_count,maximum_weight,lp_status
0,design_000017,17,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.7086932613787802,2000,200,1800,-6.688093061701024e-07,False,0.050100214388372755,0.08677611679338183,3,0.5000016208374615,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0,design_000017,17,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.7086932613787802,10000,200,9800,-6.688093061701024e-07,False,0.050100214388372755,0.08677611679338183,3,0.5000016208374615,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0,design_000017,17,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.7086932613787802,50000,200,49800,-6.688093061701024e-07,False,0.050100214388372755,0.08677611679338183,3,0.5000016208374615,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0,design_000017,17,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.7086932613787802,200000,200,199800,-6.688093061701024e-07,False,0.050100214388372755,0.08677611679338183,3,0.5000016208374615,Optimization terminated successfully. (HiGHS Status 7: Optimal)
1,design_000024,24,support_random,2.5,10,native_nonconvergence;moment_residual,0.16727605094915401,2000,200,1800,0.0011414495107671535,False,0.009525557272001217,0.019051114544002157,4,0.5623662668536908,Optimization terminated successfully. (HiGHS Status 7: Optimal)
1,design_000024,24,support_random,2.5,10,native_nonconvergence;moment_residual,0.16727605094915401,10000,200,9800,0.0011414495107671535,False,0.009525557272001217,0.019051114544002157,4,0.5623662668536908,Optimization terminated successfully. (HiGHS Status 7: Optimal)
1,design_000024,24,support_random,2.5,10,native_nonconvergence;moment_residual,0.16727605094915401,50000,200,49800,0.0011414495107671535,False,0.009525557272001217,0.019051114544002157,4,0.5623662668536908,Optimization terminated successfully. (HiGHS Status 7: Optimal)
1,design_000024,24,support_random,2.5,10,native_nonconvergence;moment_residual,0.16727605094915401,200000,200,199800,0.0011414495107671535,False,0.009525557272001217,0.019051114544002157,4,0.5623662668536908,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2,design_000107,107,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.23767911167013975,2000,200,1800,-0.027933248447159685,False,0.034707032126016474,0.056695344578837216,2,0.6091656297735635,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2,design_000107,107,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.23767911167013975,10000,200,9800,-0.027933248447159685,False,0.034707032126016474,0.056695344578837216,2,0.6091656297735635,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2,design_000107,107,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.23767911167013975,50000,200,49800,-0.027933248447159685,False,0.034707032126016474,0.056695344578837216,2,0.6091656297735635,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2,design_000107,107,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.23767911167013975,200000,200,199800,-0.027933248447159685,False,0.034707032126016474,0.056695344578837216,2,0.6091656297735635,Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,design_000159,159,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.19817377208406356,2000,200,1800,-3.6990412355158287e-10,False,0.007875870798066856,0.013641408376099817,3,0.8050528460523194,Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,design_000159,159,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.19817377208406356,10000,200,9800,-3.6990412355158287e-10,False,0.007875870798066856,0.013641408376099817,3,0.8050528460523194,Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,design_000159,159,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.19817377208406356,50000,200,49800,-3.6990412355158287e-10,False,0.007875870798066856,0.013641408376099817,3,0.8050528460523194,Optimization terminated successfully. (HiGHS Status 7: Optimal)
3,design_000159,159,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.19817377208406356,200000,200,199800,-3.6990412355158287e-10,False,0.007875870798066856,0.013641408376099817,3,0.8050528460523194,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4,design_000199,199,support_random,2.5,10,low_ess;coordinate_support_infeasible,3.5830860931044767e-13,2000,200,1800,-3.4644975936367667e-13,True,3.4657412085321936e-13,3.4657412529885986e-13,4,0.7288944977089971,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4,design_000199,199,support_random,2.5,10,low_ess;coordinate_support_infeasible,3.5830860931044767e-13,10000,200,9800,-3.4644975936367667e-13,True,3.4657412085321936e-13,3.4657412529885986e-13,4,0.7288944977089971,Optimization terminated successfully. (HiGHS Status 7: Optimal)
