design_id,day,mmd2
design_000000,0.0,0.002062053
design_000000,2.5,0.06535238
design_000000,5.0,0.075376555
design_000000,7.5,0.18303451
design_000000,10.0,0.27749592
design_000000,12.5,0.33437446
design_000000,15.0,0.39194494
design_000000,17.5,0.0228235
design_000000,20.0,0.017743021
design_000000,22.5,0.014699779
design_000000,25.0,0.008742766
design_000000,27.5,0.008712388
design_000000,30.0,0.014267339
design_000000,32.5,0.007165033
design_000000,35.0,0.0039173546
design_000000,37.5,0.0025759519
design_000000,40.0,0.0031303943
design_000000,42.5,0.002839397
design_000000,45.0,0.0027880822
design_000001,0.0,0.002062053
design_000001,2.5,0.06472428
design_000001,5.0,0.04786343
design_000001,7.5,0.07376181
design_000001,10.0,0.14860001
design_000001,12.5,0.14068034
design_000001,15.0,0.11753446
design_000001,17.5,0.08569126
design_000001,20.0,0.059402067
design_000001,22.5,0.042863972
design_000001,25.0,0.030142723
design_000001,27.5,0.022004677
design_000001,30.0,0.01249004
design_000001,32.5,0.011814965
design_000001,35.0,0.012010943
design_000001,37.5,0.009944577
design_000001,40.0,0.007779044
design_000001,42.5,0.00833332
design_000001,45.0,0.009502055
design_000002,0.0,0.002062053
design_000002,2.5,0.06456067
design_000002,5.0,0.0902987
design_000002,7.5,0.13385779
design_000002,10.0,0.11840418
design_000002,12.5,0.22842923
design_000002,15.0,0.03242486
design_000002,17.5,0.028604273
design_000002,20.0,0.039607428
design_000002,22.5,0.04947385
design_000002,25.0,0.048898667
design_000002,27.5,0.036236525
design_000002,30.0,0.021897022
design_000002,32.5,0.018645883
design_000002,35.0,0.018130418
design_000002,37.5,0.013287727
design_000002,40.0,0.008910377
design_000002,42.5,0.0054482576
design_000002,45.0,0.0074646557
design_000003,0.0,0.002062053
design_000003,2.5,0.046514392
design_000003,5.0,0.14233387
design_000003,7.5,0.17328395
design_000003,10.0,0.18922547
design_000003,12.5,0.4151575
design_000003,15.0,0.57137674
design_000003,17.5,0.03050419
design_000003,20.0,0.0039997976
design_000003,22.5,0.012492143
design_000003,25.0,0.013452907
design_000003,27.5,0.0036348451
design_000003,30.0,0.002612851
design_000003,32.5,0.0030805948
design_000003,35.0,0.0043749064
design_000003,37.5,0.005627907
design_000003,40.0,0.008603478
design_000003,42.5,0.00841901
design_000003,45.0,0.009963024
design_000004,0.0,0.002062053
design_000004,2.5,0.026357792
design_000004,5.0,0.05079569
design_000004,7.5,0.07591728
design_000004,10.0,0.12774712
design_000004,12.5,0.4777606
design_000004,15.0,0.6607172
design_000004,17.5,0.021040533
design_000004,20.0,0.0036076885
design_000004,22.5,0.0036558276
design_000004,25.0,0.008438187
design_000004,27.5,0.0068633524
design_000004,30.0,0.002572895
design_000004,32.5,0.0037587108
design_000004,35.0,0.0043076645
design_000004,37.5,0.0053965286
design_000004,40.0,0.007822644
design_000004,42.5,0.0059081684
design_000004,45.0,0.005344147
design_000005,0.0,0.002062053
design_000005,2.5,0.04029027
design_000005,5.0,0.098208606
design_000005,7.5,0.08937367
design_000005,10.0,0.22405133
design_000005,12.5,0.34019488
design_000005,15.0,0.2184729
design_000005,17.5,0.049966414
design_000005,20.0,0.018851643
design_000005,22.5,0.030136699
design_000005,25.0,0.027348254
design_000005,27.5,0.018069813
design_000005,30.0,0.010768155
design_000005,32.5,0.005614646
design_000005,35.0,0.00545381
design_000005,37.5,0.0038326862
design_000005,40.0,0.004612075
design_000005,42.5,0.003690076
design_000005,45.0,0.0040897913
design_000006,0.0,0.002062053
design_000006,2.5,0.042086165
design_000006,5.0,0.115316376
design_000006,7.5,0.16668808
design_000006,10.0,0.18842892
design_000006,12.5,0.2434606
design_000006,15.0,0.54863393
design_000006,17.5,0.734372
design_000006,20.0,0.9272959
design_000006,22.5,0.0044143656
design_000006,25.0,0.02032758
design_000006,27.5,0.019957628
design_000006,30.0,0.009892305
design_000006,32.5,0.007922543
design_000006,35.0,0.009310231
design_000006,37.5,0.008873625
design_000006,40.0,0.011341643
design_000006,42.5,0.0122821275
design_000006,45.0,0.0121097565
design_000007,0.0,0.002062053
design_000007,2.5,0.06259874
design_000007,5.0,0.048125643
design_000007,7.5,0.1152082
design_000007,10.0,0.12782323
design_000007,12.5,0.039451
design_000007,15.0,0.051846772
design_000007,17.5,0.056090124
design_000007,20.0,0.05551589
design_000007,22.5,0.05332863
design_000007,25.0,0.039348245
design_000007,27.5,0.023460208
design_000007,30.0,0.011577965
design_000007,32.5,0.008071716
design_000007,35.0,0.006082432
design_000007,37.5,0.0044678925
design_000007,40.0,0.0049008047
design_000007,42.5,0.0031666001
design_000007,45.0,0.0040255524
design_000008,0.0,0.002062053
design_000008,2.5,0.06483409
design_000008,5.0,0.083441675
design_000008,7.5,0.13519715
design_000008,10.0,0.24060108
design_000008,12.5,0.11989777
design_000008,15.0,0.12906368
design_000008,17.5,0.9004794
design_000008,20.0,0.014249534
design_000008,22.5,0.09561662
design_000008,25.0,0.010914072
design_000008,27.5,0.013446033
design_000008,30.0,0.013154725
design_000008,32.5,0.017022207
design_000008,35.0,0.0203386
design_000008,37.5,0.020144798
design_000008,40.0,0.017438972
design_000008,42.5,0.012124186
design_000008,45.0,0.010293938
design_000009,0.0,0.002062053
design_000009,2.5,0.064079076
design_000009,5.0,0.1131234
design_000009,7.5,0.12829864
design_000009,10.0,0.2716931
design_000009,12.5,0.41572154
design_000009,15.0,0.57190084
design_000009,17.5,0.020035941
design_000009,20.0,0.0067862826
design_000009,22.5,0.007588838
design_000009,25.0,0.0069997255
design_000009,27.5,0.010669516
design_000009,30.0,0.008613643
design_000009,32.5,0.012522853
design_000009,35.0,0.01597057
design_000009,37.5,0.012820685
design_000009,40.0,0.014607811
design_000009,42.5,0.011195827
design_000009,45.0,0.012107788
design_000010,0.0,0.002062053
design_000010,2.5,0.03971622
design_000010,5.0,0.04686164
design_000010,7.5,0.13622707
design_000010,10.0,0.1389973
design_000010,12.5,0.04570293
design_000010,15.0,0.31265575
design_000010,17.5,0.23842192
design_000010,20.0,0.027761213
design_000010,22.5,0.006197205
design_000010,25.0,0.014154579
design_000010,27.5,0.008916542
design_000010,30.0,0.006235776
design_000010,32.5,0.004322541
design_000010,35.0,0.0036986712
design_000010,37.5,0.0038454179
design_000010,40.0,0.0030879402
design_000010,42.5,0.0030687628
design_000010,45.0,0.0034745107
design_000011,0.0,0.002062053
design_000011,2.5,0.0636345
design_000011,5.0,0.021803819
design_000011,7.5,0.05843284
design_000011,10.0,0.2759608
design_000011,12.5,0.27961475
design_000011,15.0,0.6865982
design_000011,17.5,0.90198576
design_000011,20.0,0.0074065914
design_000011,22.5,0.0017930507
design_000011,25.0,0.0032218078
design_000011,27.5,0.006194327
design_000011,30.0,0.0044141505
design_000011,32.5,0.0061833565
design_000011,35.0,0.010482945
design_000011,37.5,0.0108289495
design_000011,40.0,0.011423862
design_000011,42.5,0.011395598
design_000011,45.0,0.009477939
design_000012,0.0,0.002062053
design_000012,2.5,0.053800218
design_000012,5.0,0.08374229
design_000012,7.5,0.07571448
design_000012,10.0,0.220813
design_000012,12.5,0.02061196
design_000012,15.0,0.022675019
design_000012,17.5,0.012945563
design_000012,20.0,0.01397593
design_000012,22.5,0.018487686
design_000012,25.0,0.01963165
design_000012,27.5,0.019259993
design_000012,30.0,0.013056809
design_000012,32.5,0.011995252
design_000012,35.0,0.01145857
design_000012,37.5,0.01028983
design_000012,40.0,0.007917622
design_000012,42.5,0.008140077
design_000012,45.0,0.008225849
design_000013,0.0,0.002062053
design_000013,2.5,0.026820462
design_000013,5.0,0.05440858
design_000013,7.5,0.13520113
design_000013,10.0,0.1445154
design_000013,12.5,0.17880018
design_000013,15.0,0.02317471
design_000013,17.5,0.01903456
design_000013,20.0,0.01177695
design_000013,22.5,0.007840285
design_000013,25.0,0.0075489767
design_000013,27.5,0.009515485
design_000013,30.0,0.007063902
design_000013,32.5,0.012690254
design_000013,35.0,0.01399889
design_000013,37.5,0.011410534
design_000013,40.0,0.011132457
design_000013,42.5,0.009474078
design_000013,45.0,0.0112239085
design_000014,0.0,0.002062053
design_000014,2.5,0.06423053
design_000014,5.0,0.013004999
design_000014,7.5,0.027061328
design_000014,10.0,0.13983026
design_000014,12.5,0.023955356
design_000014,15.0,0.022661243
design_000014,17.5,0.017795958
design_000014,20.0,0.013668343
design_000014,22.5,0.014700292
design_000014,25.0,0.013798589
design_000014,27.5,0.010566288
design_000014,30.0,0.008047301
design_000014,32.5,0.004964814
design_000014,35.0,0.0032684421
design_000014,37.5,0.0028236392
design_000014,40.0,0.0041474993
design_000014,42.5,0.0038317968
design_000014,45.0,0.0042150794
design_000015,0.0,0.002062053
design_000015,2.5,0.06409582
design_000015,5.0,0.031706084
design_000015,7.5,0.19648197
design_000015,10.0,0.031137621
design_000015,12.5,0.034657102
design_000015,15.0,0.044210635
design_000015,17.5,0.04331065
design_000015,20.0,0.03767068
design_000015,22.5,0.033925503
design_000015,25.0,0.026248401
design_000015,27.5,0.01932494
design_000015,30.0,0.01395938
design_000015,32.5,0.011451576
design_000015,35.0,0.00827235
design_000015,37.5,0.0066132676
design_000015,40.0,0.005405821
design_000015,42.5,0.0046617677
design_000015,45.0,0.0045879926
design_000016,0.0,0.002062053
design_000016,2.5,0.05699168
design_000016,5.0,0.064003244
design_000016,7.5,0.0406954
design_000016,10.0,0.03835246
design_000016,12.5,0.069618136
design_000016,15.0,0.09264177
design_000016,17.5,0.0899618
design_000016,20.0,0.08892806
design_000016,22.5,0.09231461
design_000016,25.0,0.07502249
design_000016,27.5,0.05109859
design_000016,30.0,0.035413716
design_000016,32.5,0.02827533
design_000016,35.0,0.018422272
design_000016,37.5,0.012354922
