gate,horizon_days,grouping,group,N,fraction,endpoint_median_x_km,endpoint_median_y_km,endpoint_robust_spread_km
midatlantic_A,45,season,DJF,75,0.22865853658536586,591.1916488486332,167.21699258848716,609.0288523234555
midatlantic_A,45,season,JJA,92,0.2804878048780488,808.8879470859185,160.62416633260653,753.1587120548832
midatlantic_A,45,season,MAM,75,0.22865853658536586,619.3032060758276,114.23968710005731,603.0597521630543
midatlantic_A,45,season,SON,86,0.2621951219512195,697.1846036608088,132.30160416652467,578.0687637786464
midatlantic_A,45,month,1,27,0.08231707317073171,630.2046242739623,172.03063459766017,543.4777566443404
midatlantic_A,45,month,10,30,0.09146341463414634,709.3674004946415,81.72251465340997,551.0690860956132
midatlantic_A,45,month,11,26,0.07926829268292683,528.4617306368575,214.30296546827623,455.76075304634
midatlantic_A,45,month,12,19,0.057926829268292686,542.2757960767118,99.81880059873582,479.4376459713146
midatlantic_A,45,month,2,29,0.08841463414634146,630.2871802204587,184.50967332505323,657.6552115170571
midatlantic_A,45,month,3,22,0.06707317073170732,671.08750410688,97.88805608657664,461.98621582238167
midatlantic_A,45,month,4,22,0.06707317073170732,803.8189720139758,141.71954877336964,582.991862054145
midatlantic_A,45,month,5,31,0.09451219512195122,543.6342317558141,4.865237199204509,568.9231964760993
midatlantic_A,45,month,6,27,0.08231707317073171,634.3119763008259,188.87353583843012,745.6713758321367
midatlantic_A,45,month,7,32,0.0975609756097561,858.359957520259,137.64182113653558,707.1318127380356
midatlantic_A,45,month,8,33,0.10060975609756098,768.9795704476824,119.68451411976282,752.4498830200553
midatlantic_A,45,month,9,30,0.09146341463414634,778.0894241818442,136.30890458492217,806.4372824919251
midatlantic_A,45,decade,1980s,4,0.012195121951219513,236.27999757670088,229.7061038575319,479.322578486055
midatlantic_A,45,decade,1990s,104,0.3170731707317073,610.739414534546,196.55345819192823,663.0216664479882
midatlantic_A,45,decade,2000s,76,0.23170731707317074,779.0490821183604,67.65676887574001,540.9349559658592
midatlantic_A,45,decade,2010s,116,0.35365853658536583,659.6224023595704,79.59956277473137,605.0714492115821
midatlantic_A,45,decade,2020s,28,0.08536585365853659,615.1117908118551,123.40575160600417,843.5173246193368
north_atlantic_A,45,season,DJF,83,0.2448377581120944,480.98785093480615,124.28174713067457,550.5207799188893
north_atlantic_A,45,season,JJA,88,0.25958702064896755,579.963486072537,101.91250979856855,616.8571928470569
north_atlantic_A,45,season,MAM,87,0.25663716814159293,417.6467251482614,137.16144956344192,532.8297797415203
north_atlantic_A,45,season,SON,81,0.23893805309734514,611.699557870509,76.87924717206303,573.3286853398919
north_atlantic_A,45,month,1,28,0.08259587020648967,754.6782477495958,207.65585475613466,587.8914549654658
north_atlantic_A,45,month,10,29,0.0855457227138643,620.7095540984094,88.00803465854878,399.875443089645
north_atlantic_A,45,month,11,25,0.07374631268436578,408.1873136616559,106.64225527309684,452.1322611490475
north_atlantic_A,45,month,12,25,0.07374631268436578,318.6894952705144,32.48662059792926,499.5132684449151
north_atlantic_A,45,month,2,30,0.08849557522123894,476.9963054495525,157.58335985409477,535.2719764420305
north_atlantic_A,45,month,3,31,0.09144542772861357,97.71294554947414,38.08990554594196,556.2871398974846
north_atlantic_A,45,month,4,31,0.09144542772861357,545.4179109263107,177.92479195834758,512.2457239979711
north_atlantic_A,45,month,5,25,0.07374631268436578,461.2768099062043,149.5755615296171,518.9964082961249
north_atlantic_A,45,month,6,27,0.07964601769911504,707.1429896300943,224.8434505277883,751.435089622996
north_atlantic_A,45,month,7,27,0.07964601769911504,1099.4534840896492,5.331260967230589,573.9700292666217
north_atlantic_A,45,month,8,34,0.10029498525073746,428.7997079750993,129.32765115797423,511.9983482746939
north_atlantic_A,45,month,9,27,0.07964601769911504,858.0381244074348,62.16426604908965,733.4117442264368
north_atlantic_A,45,decade,1980s,2,0.0058997050147492625,902.3499541620054,493.5015688080259,684.5497368214972
north_atlantic_A,45,decade,1990s,105,0.30973451327433627,673.1680574593112,211.09779614886963,577.3037752614099
north_atlantic_A,45,decade,2000s,98,0.2890855457227139,488.37086867083246,14.07404230320115,602.949447864964
north_atlantic_A,45,decade,2010s,113,0.3333333333333333,442.4763651008588,3.3404476334579436,473.5937470391775
north_atlantic_A,45,decade,2020s,21,0.061946902654867256,614.1487895086829,147.454060606282,498.3847220703094
