design_id,style,sigma_km,validation_mmd_risk,bootstrap_risk_se,minimum_ess_fraction,median_ess_fraction,worst_covariance_condition_raw,worst_covariance_condition_regularized,minimum_covariance_eigenvalue,projection_failure_count,conditioning_warning_count,mean_projection_kl,max_moment_residual,max_native_iterations,feasible,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
design_000425,upstream_focused,200.0,0.018716197,0.013356533,0.038001419721315384,0.198747774442409,35301.850717762485,35292.86788705747,2.325054833936701e-06,0,0,0.7528165861038058,2.6685464315279923e-09,17,True,381.2438573631847,-483.68672613075876,-318.78416428867945,543.4228365950712,54.32996489838831,131.03451616934308,-82.30714675711647,-468.88890360679375
design_000141,support_random,200.0,0.034068882,0.015168729,0.031646912210557834,0.5243034502139841,19115.982242009428,19113.19649027245,2.6756510610754595e-06,0,0,0.5163622386583115,9.452364763357116e-09,16,True,-284.6110884127404,-242.90564901648997,265.646479204371,-536.6520471122147,139.8986953466813,231.47367358713262,39.58225306536758,-353.7170504371032
design_000042,support_random,200.0,0.01587542,0.008794208,0.023500312474956882,0.7659410647157272,997658.1609782401,968188.7276779093,3.285396491377549e-08,1,0,0.5306889854084491,0.3635783782434487,200,False,-328.95557187347055,-27.155146268828595,133.73458104643115,-252.84322626007835,-79.31182016158085,50.27711299334371,550.6172489948844,-211.59611607471737
design_000436,upstream_focused,200.0,0.017656162,0.009813978,0.010022466990897304,0.6116487266122892,9042985.278831204,6833181.262450325,3.0922109887561024e-09,1,0,0.7604218699294452,0.10696002561735952,200,False,167.6691170496124,-408.0925522222633,465.5442640452509,-415.0548832215842,34.30657122352363,29.38861581558001,470.72379520689424,-105.65103872381991
design_000181,support_random,200.0,0.018191593,0.007700446,0.009709278129081783,0.490476457174685,5.030037809397779e+298,50300379.09397779,-7.34996319261596e-18,6,5,0.6384861150752472,0.37704631528036325,200,False,-111.00154464536675,-384.419222331888,228.08970551956838,82.01670319063192,1460.383230288386,466.81911886728176,12.460490869221239,258.9812030047637
design_000186,support_random,200.0,0.018313961,0.006810221,0.02121156072896505,0.7002454640091093,3090969968416952.5,71167840.97659919,1.2866107927882221e-17,4,2,0.7078994650156718,0.5587878238652757,200,False,375.6550363525842,-44.731713281247,9.005676686734091,-78.51381011450043,1053.3543935584169,310.2778572535912,-27.661000606285917,193.94356477369638
design_000146,support_random,200.0,0.018652046,0.014330335,0.005064411868692513,0.8648366831146753,105988599272.26465,56080045.59532417,2.200617069307617e-15,2,1,0.7499682388863019,0.43720313292386664,200,False,-129.77919858186573,-574.7903598740772,348.248352629672,-57.926009802628826,-53.82106555623081,370.99945363750743,119.22691666752462,-261.2353376022228
design_000035,support_random,200.0,0.01939649,0.00763112,0.01763680358376358,0.7730258113066247,36548.362111150185,36492.962213248036,6.587008928735342e-07,2,0,0.5277043003095029,0.3734268414303941,200,False,-277.0507673182781,-312.3731025177944,-258.57338639233336,59.485494496202456,203.18091531055907,-32.729518660962334,399.40712259666867,353.2847790155531
design_000185,support_random,200.0,0.020047253,0.009509278,0.02479336820467672,0.8370215521723006,2.23196916069968e+16,34305539.949265085,1.242186767484972e-18,4,2,0.5996541835482957,0.4009274832655828,200,False,1140.8123631697351,63.301377438374615,-42.325695342692185,73.90288312715776,286.3097016152506,-382.4955704700281,290.0375534170936,190.70529098135293
design_000286,longitudinal_stratified,200.0,0.02008464,0.009603704,0.016078387703640905,0.6099157416206705,5924952391.652221,24196490.050022088,4.100574477831248e-12,3,1,0.496240181856587,0.3895300668223205,200,False,-180.87146371507103,-362.22899296056255,198.15741117863342,2.062847956940427,525.1173570112666,305.175771833273,768.3136863195425,122.74469248443555
design_000098,support_random,200.0,0.020497983,0.0074106245,0.005514011440321093,0.6548807873973257,7864.981904075852,7787.269883872407,1.00193893602154e-07,2,0,0.7816345940442954,0.07181999194138612,200,False,198.07370246765635,71.26095830342854,-158.184795517378,323.52195814727776,-176.96101621955677,-190.46669404137648,-440.1695080179393,-36.96997879671727
design_000187,support_random,200.0,0.020567404,0.012158497,0.014602135484624797,0.8766334704740627,3.2909531023876814e+298,32909532.050031677,-7.947503199158898e-19,5,3,0.44701643090105997,0.16795271709259926,200,False,-170.79375429622968,245.23761995442365,-280.6840961247134,-440.6202529408441,1118.443274291884,361.8396527533067,-270.4823268868378,-3.3998735271262035
design_000255,longitudinal_stratified,200.0,0.020568235,0.01081078,0.026746228855632978,0.6654331712829326,73232022323.04927,35821720.57897682,4.893931554388341e-13,3,1,0.40879600038894565,0.3907071766919334,200,False,92.60370683064603,-210.43865556544606,61.34670846992092,281.2791822552505,551.3516736044734,220.55541720361427,871.6567314549786,22.47180975451984
design_000014,support_random,200.0,0.020770201,0.006810764,0.005105397380425015,0.8067565935285372,6279864623577850.0,203607400.66734388,1.5272531130574809e-18,4,4,0.8807634869082025,0.40454497738174167,200,False,644.263836956921,361.3499911641745,1161.7222778423975,49.865369125579974,293.99691684209057,-64.20897225389822,-241.10481350036173,-109.67460254291822
design_000052,support_random,200.0,0.020994736,0.006110025,0.006378888326988454,0.6113408336240993,1.4629315744554805e+299,146293159.46713406,-6.983142750287626e-18,7,6,0.9530606338450065,0.39927337549062875,200,False,250.02044023818397,268.17404474017,1717.084873180626,160.35836360439433,249.3038516719556,-25.60560815287037,-242.8036808769764,101.57631127643054
design_000201,support_random,200.0,0.020999387,0.009504807,0.014060879560320982,0.7398415216636387,10063790.502351005,6825976.24803487,2.1082047059789103e-09,2,0,0.4804271365316932,0.31355724179675887,200,False,238.31091929380418,3.680088031495373,-341.9529775888115,140.49597435640058,697.0895955814466,-220.44080173843994,47.331171946794726,-402.7266918259165
design_000444,upstream_focused,200.0,0.021033527,0.008609881,0.06351312711809341,0.6593455275473084,58585.734135504244,58540.771891083,1.3019761945742687e-06,1,0,0.44882182724674924,0.3548668213040041,200,False,518.4605720351796,-81.66763607730559,-27.18703914187813,474.22207007176394,-126.78469434901135,-219.9612747627694,-97.30763575187248,217.46729527406353
design_000499,uniform_control,200.0,0.021164121,0.008356764,0.039119167276072654,0.4987699349343312,8.533487753807853e+298,97989317.72018416,-1.2804050462840936e-17,11,9,0.5110892379396055,0.3954744812894255,200,False,288.19578282181817,-95.88148996079053,1931.9104928742117,-673.6694390072594,681.716705357494,-602.1612552212457,-99.73983839719142,-22.536346735131474
design_000241,longitudinal_stratified,200.0,0.021318424,0.0066920673,0.005003262214835026,0.8027566535493716,1.0242549864961776e+16,58521701.800262466,6.812949231629866e-19,4,3,1.0127812203489306,0.3798518620843875,200,False,-135.47353120696079,-583.5819018868308,114.50726643447253,-22.465061161415207,550.7435029118179,282.6962815075983,1146.5461928244474,27.03838938612812
