design_index,design_id,maximum_moment_residual,maximum_soft_stationarity_residual,maximum_penalty_trace,mean_projection_kl,minimum_log10_intrinsic_ess,worst_covariance_condition_regularized
0,design_000000,0.029735412390456593,8.392768333741369e-10,0.0010423347908399883,,,
1,design_000001,0.02311499234344629,8.273409518107076e-10,0.0012045056308211972,,,
2,design_000002,0.0267359796136371,6.514698755533255e-10,0.0006736882322025159,,,
3,design_000003,0.026421484403386285,9.86109530732995e-10,0.0009176390927993986,,,
4,design_000004,0.03745835174034763,8.330137312813789e-10,0.001229871929873765,,,
5,design_000005,0.014440861452321733,3.159768970343016e-10,0.0007213817459746002,,,
6,design_000006,0.01201716970560808,9.215745249902557e-10,0.0006257118122375602,,,
7,design_000007,0.025921306667434904,8.788769196910888e-10,0.0008404761097615246,,,
8,design_000008,0.011348658483870734,5.400229185509323e-10,0.0007678799777017329,,,
9,design_000009,0.003946046159170191,1.8088134309629962e-10,0.00083214647964291,,,
10,design_000010,0.011432438753961974,5.372042205710318e-10,0.0005861083200104594,,,
11,design_000011,0.013396219151309575,5.730261812816467e-10,0.0009440947900656781,,,
12,design_000012,0.058205997097404025,3.908563654429696e-10,0.0017233849549835743,,,
13,design_000013,0.03908919610671311,2.1988685824194465e-10,0.000936987820015056,,,
14,design_000014,0.02771893755435904,2.3165840861312063e-10,0.0012575725782996204,,,
15,design_000015,0.02490768150987045,9.390093198388198e-10,0.0012973462081235976,,,
16,design_000016,0.00565803376399525,8.367436072234038e-10,0.0009184571694888033,,,
17,design_000017,0.02387951816350626,6.253134111380214e-10,0.001380625679641624,,,
18,design_000018,0.016436338680972905,6.540238863751411e-10,0.0013437926654943622,,,
19,design_000019,0.021599771224398757,6.335742660649181e-10,0.0009795244637517185,,,
20,design_000020,0.03761016456437473,8.337126656076483e-10,0.001302802352477276,,,
21,design_000021,0.05577142033643698,2.5161917137575245e-10,0.0015562303040600387,,,
22,design_000022,0.031229345186853816,8.962741392815103e-10,0.0011442715249717266,,,
23,design_000023,0.04143025726797506,9.304935592920674e-10,0.0015113306415892346,,,
24,design_000024,0.024844245982171054,3.047433779075217e-10,0.0012442993491802346,,,
25,design_000025,0.04058150195674375,3.080693214190444e-10,0.0012870839472409093,,,
26,design_000026,0.0403367615581297,8.335405598391859e-10,0.001257015560081689,,,
27,design_000027,0.056055971638392064,7.823333777105443e-10,0.00170473161668051,,,
28,design_000028,0.03617891367716341,6.20665189437613e-10,0.00139352802900166,,,
29,design_000029,0.021826077784261096,9.295310679361447e-10,0.0011126245313765961,,,
30,design_000030,0.013761380593756624,9.62449293260701e-10,0.0009472940346670138,,,
31,design_000031,0.05476655745919882,9.953592388754838e-10,0.0013623470178427389,,,
32,design_000032,0.019673548581148965,9.217759424442761e-11,0.0013524984213091453,,,
33,design_000033,0.02699877998514191,9.9855359859383e-10,0.000972300455442494,,,
34,design_000034,0.02897470506071551,8.237087521909847e-10,0.0010228411983166166,,,
35,design_000035,0.02357015633427815,7.591731076005475e-10,0.001195621330365378,,,
36,design_000036,0.008308388985248223,7.039084370042009e-10,0.0011355276479391848,,,
37,design_000037,0.04108096993371612,2.5974690295468894e-10,0.0015087615233618607,,,
38,design_000038,0.03710644850124029,2.0046609290917285e-10,0.0014054589549603212,,,
39,design_000039,0.036357072548971484,9.963423857631093e-10,0.0012854585891651097,,,
40,design_000040,0.02263160112637865,2.633568462782502e-10,0.0011814548944939238,,,
41,design_000041,0.021811772773775766,9.178667714376984e-10,0.0007879176095927657,,,
42,design_000042,0.037465605399840986,7.040436697785395e-10,0.0012699277778138072,,,
43,design_000043,0.02447483679738873,4.054961246291726e-10,0.0010829009786690567,,,
44,design_000044,0.0222616935335017,5.06180789225629e-10,0.0010846784764583003,,,
45,design_000045,0.06281381149664435,9.088205595214377e-10,0.00161797305020642,,,
46,design_000046,0.02483237738877208,8.481340500673223e-10,0.001120566933625544,,,
47,design_000047,0.020758146068843047,8.42215837131194e-10,0.0013360474910899948,,,
48,design_000048,0.044292191629843054,8.663363426492877e-10,0.0012162331791444555,,,
49,design_000049,0.04703206365397875,9.832654618840152e-10,0.0012708362935533125,,,
50,design_000050,0.011135151868427525,7.946551740946569e-10,0.0011368885981042384,,,
51,design_000051,0.03731244747033508,8.090108709596393e-10,0.001351257767501733,,,
52,design_000052,0.02566021338396902,7.542962676270961e-10,0.0012096315952425175,,,
53,design_000053,0.03397768681890434,6.623998688524076e-10,0.0014970179808839771,,,
54,design_000054,0.028913156902386553,6.648930902198322e-10,0.0014052669628411272,,,
55,design_000055,0.056083098735381816,6.420263892490863e-10,0.0015052467813056808,,,
56,design_000056,0.05033016803358341,3.1656367821595556e-10,0.0016537828903971906,,,
57,design_000057,0.021667057425541366,5.327787144276856e-10,0.0014505321361662873,,,
58,design_000058,0.04954894737872306,9.005103653333814e-10,0.0010297859286492361,,,
59,design_000059,0.06712242581272417,4.30661866871906e-10,0.0012705914185942005,,,
60,design_000060,0.00588109774260732,1.1973895636359945e-10,0.001124235933314667,,,
61,design_000061,0.03611259548420019,7.946741810675881e-10,0.001095141479079962,,,
62,design_000062,0.011722475909907075,9.783265830172192e-10,0.0009698271057712043,,,
63,design_000063,0.03448831717168316,6.402723201219161e-10,0.0009097961473587177,,,
64,design_000064,0.010354199763936993,2.883847494287805e-10,0.0009416711792792647,,,
65,design_000065,0.027775240302467176,7.105021584437206e-10,0.0014830588517696455,,,
66,design_000066,0.01957859240550433,5.439803075898748e-10,0.001139142353706889,,,
67,design_000067,0.016519946188341683,1.6011989586124663e-10,0.0011796381004397032,,,
68,design_000068,0.06815188997354336,9.472541134261874e-10,0.0012229473302284304,,,
69,design_000069,0.030356541909541658,7.305965979152801e-10,0.0012960130878016853,,,
70,design_000070,0.012799009627031099,8.630713569664356e-10,0.000943984380101923,,,
71,design_000071,0.020000733224541996,6.400551421802343e-10,0.001428225918844747,,,
72,design_000072,0.06445574665912765,6.434051984099256e-10,0.0013253629781201906,,,
73,design_000073,0.027172113054401658,6.97475167099708e-10,0.0011934624992636727,,,
74,design_000074,0.01634149750769485,2.5490964313963867e-10,0.0013457610424230276,,,
75,design_000075,0.015072625887114945,5.978082060098862e-10,0.0013452622940382552,,,
76,design_000076,0.022782773898867414,7.80026576763087e-10,0.001067498498123318,,,
77,design_000077,0.029780125008659987,5.512044531067269e-10,0.0014360342299018299,,,
78,design_000078,0.023118129080462638,8.273250787995753e-10,0.0012039586496218075,,,
