split,grouping,group,count
inference,season,DJF,48
inference,season,JJA,53
inference,season,MAM,50
inference,season,SON,49
inference,decade,1980,1
inference,decade,1990,62
inference,decade,2000,57
inference,decade,2010,67
inference,decade,2020,13
validation,season,DJF,18
validation,season,JJA,18
validation,season,MAM,20
validation,season,SON,14
validation,decade,1980,1
validation,decade,1990,22
validation,decade,2000,21
validation,decade,2010,22
validation,decade,2020,4
final_test,season,DJF,17
final_test,season,JJA,17
final_test,season,MAM,17
final_test,season,SON,18
final_test,decade,1990,21
final_test,decade,2000,20
final_test,decade,2010,24
final_test,decade,2020,4
