design_index,design_id,tangent_action,valid,bandwidth_sensitivity_valid
216,design_000216,1037513.6600102822,True,True
278,design_000278,1067799.028992142,True,True
240,design_000240,1038237.2439511812,True,True
266,design_000266,1085614.8163801546,True,False
324,design_000324,990968.633698364,True,True
235,design_000235,1074900.8520710934,True,True
267,design_000267,1053864.792503537,True,False
186,design_000186,1094581.5936951048,True,False
4,design_000004,3065369.045661061,True,False
138,design_000138,1877866.8958318827,True,False
347,design_000347,961484.1348604917,True,True
14,design_000014,1836011.8746344345,True,True
150,design_000150,1043229.570725814,True,True
193,design_000193,1371220.7511503326,True,True
281,design_000281,1028086.7717741922,True,True
312,design_000312,1212231.397298253,True,True
121,design_000121,1130151.8143449442,True,True
241,design_000241,1026012.4451500893,True,True
245,design_000245,784793.1384023115,True,False
224,design_000224,940841.22597554,True,True
307,design_000307,1097550.3348442654,True,True
182,design_000182,1235077.1090200162,True,True
56,design_000056,744901.632659021,True,False
318,design_000318,853506.6380772945,True,False
252,design_000252,926056.4696772111,True,False
340,design_000340,897067.2507532568,True,True
218,design_000218,1041721.3284615687,True,True
88,design_000088,1191916.6724783266,True,True
31,design_000031,1826078.369716517,True,True
343,design_000343,1146764.696375618,True,False
326,design_000326,1122927.5919394228,True,False
85,design_000085,2609984.22881771,True,True
105,design_000105,714139.4526541096,True,True
176,design_000176,678942.4087522114,True,False
55,design_000055,1295208.7755866044,True,True
500,design_000500,1933565.8933394544,True,False
331,design_000331,964285.7910845345,True,True
162,design_000162,1137095.8362640457,True,True
329,design_000329,1141507.4781756478,True,True
0,design_000000,1350562.0607538049,True,False
192,design_000192,799560.1929874035,True,True
161,design_000161,nan,False,False
59,design_000059,1799677.9103016483,True,True
322,design_000322,1295091.218108454,True,True
223,design_000223,1147843.8645748121,True,True
276,design_000276,nan,False,False
270,design_000270,781440.278276475,True,False
342,design_000342,867388.1156201006,True,False
13,design_000013,1403224.9549244193,True,True
38,design_000038,957378.1573380633,True,True
83,design_000083,881112.0587124347,True,True
292,design_000292,843701.9901252383,True,True
325,design_000325,1497967.045405422,True,True
251,design_000251,901084.5227438093,True,True
74,design_000074,1199753.5021963578,True,True
272,design_000272,1006315.4490886829,True,False
286,design_000286,944573.8427524369,True,True
202,design_000202,1573551.0518619933,True,False
430,design_000430,946170.2818195058,True,True
65,design_000065,790157.8315319226,True,True
332,design_000332,nan,False,False
330,design_000330,644030.8636253588,True,False
221,design_000221,930132.6983350175,True,True
32,design_000032,5811040.317541724,True,False
168,design_000168,1063048.5067146055,True,True
435,design_000435,936458.6265739356,True,True
126,design_000126,829214.4133621934,True,False
449,design_000449,878210.6192412835,True,True
12,design_000012,1313326.6570432961,True,True
236,design_000236,1085423.1650233697,True,True
283,design_000283,668597.1748167125,True,False
