design_index,design_id,rank,risk,bootstrap_standard_error,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,projection_valid,law_risk_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,maximum_projection_residual,mean_projection_kl,minimum_log10_intrinsic_ess,worst_covariance_condition
0,design_000000,40,0.009902834571908901,0.005187588539582596,0.009256470592107272,0.02947165275581056,39.5,4.0,418.0,True,True,False,False,False,0.029735412390456593,,,
1,design_000001,495,0.050875942945907436,0.02164124397387769,0.024294178844442748,0.10763726765915056,496.0,426.2750000000001,504.0,True,True,False,False,False,0.02311499234344629,,,
2,design_000002,384,0.028651338180178374,0.015043522959491356,0.014373376280543911,0.07287835112073981,381.0,205.47500000000002,394.0,True,True,False,False,False,0.0267359796136371,,,
3,design_000003,337,0.024799389519860677,0.01176921997887824,0.01601164904689344,0.061808661027132734,326.0,217.7500000000001,415.04999999999995,True,True,False,False,False,0.026421484403386285,,,
4,design_000004,9,0.007916766809157543,0.0073563810286204475,0.006413156145422585,0.034540891950625534,21.0,1.0,87.19999999999982,True,True,False,False,False,0.03745835174034763,,,
5,design_000005,367,0.026547203494663375,0.013102591752043034,0.01622736547608909,0.06545827262050556,352.0,252.2750000000001,413.525,True,True,False,False,False,0.014440861452321733,,,
6,design_000006,445,0.03805315151737394,0.017789340746696317,0.01930187013294076,0.08816229073220093,443.5,328.95000000000005,484.525,True,True,False,False,False,0.01201716970560808,,,
7,design_000007,268,0.020380119562316265,0.009994228486215624,0.014706814248426448,0.05315937958187896,257.0,181.42500000000004,362.525,True,True,False,False,False,0.025921306667434904,,,
8,design_000008,418,0.0334274402803808,0.014716488602799012,0.019403002588669185,0.07384615525367214,416.0,311.95000000000005,446.0,True,True,False,False,False,0.011348658483870734,,,
9,design_000009,451,0.03892338783735405,0.017201540133659335,0.021538134150283366,0.08717480868265078,448.0,361.32500000000005,473.0,True,True,False,False,False,0.003946046159170191,,,
10,design_000010,360,0.026384150975093192,0.012725105043865545,0.015521173312176999,0.06425801658416319,351.0,251.0,399.0,True,True,False,False,False,0.011432438753961974,,,
11,design_000011,214,0.01801051978910169,0.01080455449391583,0.011190222820350607,0.05197527270362378,214.5,78.47500000000001,282.525,True,True,False,False,False,0.013396219151309575,,,
12,design_000012,69,0.011586477472038625,0.010575305853911192,0.005880903093504061,0.045953521990373704,72.5,3.0,169.04999999999995,True,True,False,False,False,0.058205997097404025,,,
