repeat,drifter_id,role,season,decade
0,8909322,inference,DJF,1980
0,8909323,validation,DJF,1980
0,9009327,inference,DJF,1990
0,9009329,validation,MAM,1990
0,9012731,inference,MAM,1990
0,9012734,inference,MAM,1990
0,9012732,inference,JJA,1990
0,9012733,inference,JJA,1990
0,9012735,inference,JJA,1990
0,9012737,inference,JJA,1990
0,9012740,inference,JJA,1990
0,9012741,inference,JJA,1990
0,9012749,inference,JJA,1990
0,9012748,inference,JJA,1990
0,9012751,inference,SON,1990
0,9012744,inference,SON,1990
0,9012746,inference,SON,1990
0,9012752,validation,SON,1990
0,9012753,inference,SON,1990
0,9012743,inference,DJF,1990
0,9012763,validation,SON,1990
0,9012758,inference,DJF,1990
0,9012759,validation,DJF,1990
0,9012761,inference,DJF,1990
0,9012762,validation,DJF,1990
0,9012760,inference,DJF,1990
0,9012765,inference,DJF,1990
0,9112764,validation,DJF,1990
0,9112769,inference,DJF,1990
0,9112776,validation,DJF,1990
0,9112771,inference,MAM,1990
0,9112773,inference,MAM,1990
0,9112772,validation,MAM,1990
0,9112767,inference,MAM,1990
0,9122732,inference,JJA,1990
0,9122734,validation,JJA,1990
0,9122735,inference,JJA,1990
0,9122731,validation,JJA,1990
0,9122737,validation,JJA,1990
0,7708593,validation,JJA,1990
0,9423709,inference,JJA,1990
0,9423714,inference,JJA,1990
0,9423754,inference,MAM,1990
0,9423487,inference,JJA,1990
0,9423750,inference,DJF,1990
0,9423719,inference,SON,1990
0,9423721,inference,SON,1990
0,9423766,inference,DJF,1990
0,9423767,inference,DJF,1990
0,9423758,inference,DJF,1990
0,9423579,inference,MAM,1990
0,9423771,inference,DJF,1990
0,9423769,inference,MAM,1990
0,9423763,validation,DJF,1990
0,9423764,inference,MAM,1990
0,9423718,inference,MAM,1990
0,9423773,validation,MAM,1990
0,9423770,validation,JJA,1990
0,9423789,inference,MAM,1990
0,9423774,inference,JJA,1990
0,9423776,inference,JJA,1990
0,9423800,inference,SON,1990
0,9423805,inference,DJF,1990
0,9423797,validation,SON,1990
0,9624886,inference,MAM,1990
0,9624885,inference,MAM,1990
0,9624887,validation,MAM,1990
0,9624889,inference,MAM,1990
0,9624910,validation,MAM,1990
0,9423818,inference,JJA,1990
0,9624909,inference,MAM,1990
0,9624927,inference,JJA,1990
0,9624939,inference,JJA,1990
0,9624925,validation,JJA,1990
0,9423547,inference,DJF,1990
0,9525721,inference,JJA,1990
0,9825539,inference,JJA,1990
0,9821159,inference,DJF,1990
0,9823729,inference,MAM,1990
0,9815338,validation,MAM,1990
0,9815168,inference,JJA,1990
0,9815075,inference,MAM,1990
0,9624970,validation,JJA,1990
