drifter_id,split,season,year,decade,crossing_time
8909322,inference,DJF,1989,1980,1989-12-09T06:00:00
8909323,validation,DJF,1989,1980,1989-12-02T06:00:00
8909325,final_test,DJF,1990,1990,1990-01-18T18:00:00
9009326,final_test,DJF,1990,1990,1990-02-24T00:00:00
9009327,inference,DJF,1990,1990,1990-02-22T12:00:00
9009329,validation,MAM,1990,1990,1990-04-08T06:00:00
9012731,inference,MAM,1990,1990,1990-04-27T06:00:00
9012734,inference,MAM,1990,1990,1990-05-01T18:00:00
9012732,inference,JJA,1990,1990,1990-06-02T12:00:00
9012733,inference,JJA,1990,1990,1990-06-29T12:00:00
9012738,final_test,JJA,1990,1990,1990-06-06T06:00:00
9012735,inference,JJA,1990,1990,1990-07-03T06:00:00
9012737,inference,JJA,1990,1990,1990-07-20T06:00:00
9012740,inference,JJA,1990,1990,1990-07-16T00:00:00
9012741,inference,JJA,1990,1990,1990-07-14T18:00:00
9012749,inference,JJA,1990,1990,1990-08-29T12:00:00
9012748,inference,JJA,1990,1990,1990-08-24T00:00:00
9012751,inference,SON,1990,1990,1990-09-30T00:00:00
9012744,inference,SON,1990,1990,1990-10-11T12:00:00
9012746,inference,SON,1990,1990,1990-11-12T06:00:00
9012754,final_test,SON,1990,1990,1990-11-16T12:00:00
9012752,validation,SON,1990,1990,1990-11-16T12:00:00
9012753,inference,SON,1990,1990,1990-11-11T00:00:00
9012743,inference,DJF,1990,1990,1990-12-04T06:00:00
9012763,validation,SON,1990,1990,1990-11-24T00:00:00
9012758,inference,DJF,1991,1990,1991-01-24T12:00:00
9012759,validation,DJF,1991,1990,1991-01-25T00:00:00
9012761,inference,DJF,1991,1990,1991-02-08T06:00:00
9012762,validation,DJF,1991,1990,1991-01-30T18:00:00
9012760,inference,DJF,1991,1990,1991-02-12T18:00:00
9012765,inference,DJF,1991,1990,1991-02-13T06:00:00
9112764,validation,DJF,1991,1990,1991-02-13T06:00:00
9112769,inference,DJF,1991,1990,1991-01-29T18:00:00
9112776,validation,DJF,1991,1990,1991-02-19T00:00:00
9112771,inference,MAM,1991,1990,1991-04-01T06:00:00
9112773,inference,MAM,1991,1990,1991-04-01T00:00:00
9112772,validation,MAM,1991,1990,1991-03-26T18:00:00
9112767,inference,MAM,1991,1990,1991-04-03T00:00:00
9122730,final_test,MAM,1991,1990,1991-05-05T00:00:00
9122732,inference,JJA,1991,1990,1991-06-19T12:00:00
9122734,validation,JJA,1991,1990,1991-06-06T18:00:00
9122735,inference,JJA,1991,1990,1991-07-09T06:00:00
9122736,final_test,JJA,1991,1990,1991-06-19T12:00:00
9122731,validation,JJA,1991,1990,1991-06-08T12:00:00
9122737,validation,JJA,1991,1990,1991-06-02T18:00:00
7708593,validation,JJA,1992,1990,1992-07-03T00:00:00
9423704,final_test,MAM,1995,1990,1995-03-01T12:00:00
9423709,inference,JJA,1995,1990,1995-08-01T06:00:00
