contract_hash,design_index,design_id,source_time_index,day,grid_nx,grid_ny,tangent_action,direct_action_qr,direct_action_svd,direct_qr_svd_relative_difference,direct_condition_number,direct_full_column_rank,direct_numerical_success,forcing_compatibility_relative_residual,forcing_compatibility_valid,multiplier_coordinate_ready,lambda_dot_solve_relative_residual,lambda_dot_valid,tangent_compatibility_relative_residual,tangent_compatibility_valid,tangent_full_lower_bound_valid,local_valid,final_test_accessed
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,48,12.0,511,273,1535097.3251035733,2550328.079376992,2550328.0793838627,2.6940974181979078e-12,2120919.8429317665,True,True,3.672486677525312e-15,True,True,1.0023632778171193e-16,True,4.048292091665562e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,49,12.249999999999998,511,273,1476775.4428277637,2601735.856527698,2601735.8565323227,1.7774603185185823e-12,1816927.9918969357,True,True,2.4612753675041773e-16,True,True,2.7201764591419117e-17,True,2.1161346821928206e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,50,12.5,511,273,1399572.4306522196,2593084.3245471604,2593084.3245470827,2.9989551147347636e-14,1554067.610524043,True,True,8.59071561226985e-16,True,True,1.2496223759258097e-16,True,5.106847279426622e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,51,12.75,511,273,1304847.0352032545,2514025.1045073736,2514025.1045074454,2.852471047994639e-14,1325136.1451480326,True,True,3.533916396957368e-15,True,True,3.3695966926125715e-17,True,4.203680783826453e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,52,12.999999999999998,511,273,1195814.0422714031,2360398.6128408816,2360398.6128389924,8.003681379619806e-13,1129671.9570659809,True,True,2.307311402536461e-15,True,True,0.0,True,2.8697513419666544e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,53,13.25,511,273,1076408.742132113,2147385.5117361927,2147385.5117360516,6.570565428662473e-14,961809.2423396565,True,True,1.183442531867479e-16,True,True,2.0527583560168267e-17,True,2.2695608628692585e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,54,13.5,511,273,953368.0337111029,1899331.7015032242,1899331.701504365,6.006692527694533e-13,818128.6612303386,True,True,8.920658969587147e-16,True,True,9.028696088882144e-17,True,5.556144467493661e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,55,13.750000000000002,511,273,834688.1412553696,1645345.311468743,1645345.3114691435,2.433949301056285e-13,695554.9690416746,True,True,9.30010588113214e-16,True,True,1.238549184820338e-16,True,1.7427255706714438e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,56,14.0,511,273,726199.8232756003,1408805.065169568,1408805.065169499,4.89193801367049e-14,590394.1740575446,True,True,3.1731124794863495e-16,True,True,1.120915929220848e-16,True,7.589816890290795e-16,True,True,True,False
04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,240,design_000240,57,14.25,511,273,633856.1304608176,1207361.4714801898,1207361.471480175,1.2341922072086058e-14,502082.84986785334,True,True,1.823117608283401e-15,True,True,0.0,True,6.050370931292205e-16,True,True,True,False
