all_local_valid,certified,contract_hash,convergence_valid,design_id,design_index,final_test_accessed,full_action,integrated_tangent_lower_bound_valid,levels,local_case_count,local_valid_count,maximum_consecutive_relative_action_change_observed,production_authorized,risk,risk_increase_percent,schema_version,tangent_action,temporal_quadrature_refinement_certified,maximum_later_two_transition_change,later_two_transition_stable,strict_failure_reason
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000216,216,False,481208.82166242064,True,"[{'full_action': 493980.99263654184, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 153408.5528189314, 'tangent_relative_change_from_previous': None}, {'full_action': 484495.87352338125, 'full_relative_change_from_previous': 0.019201384779068794, 'node_count': 23, 'source_step': 6, 'tangent_action': 152675.99509279075, 'tangent_relative_change_from_previous': 0.004775207853015197}, {'full_action': 482032.1946203213, 'full_relative_change_from_previous': 0.0050850358851221075, 'node_count': 45, 'source_step': 3, 'tangent_action': 152982.07796757563, 'tangent_relative_change_from_previous': 0.002000776031096664}, {'full_action': 481208.82166242064, 'full_relative_change_from_previous': 0.0017081285588178862, 'node_count': 133, 'source_step': 1, 'tangent_action': 153061.76319751356, 'tangent_relative_change_from_previous': 0.0005206083366170106}]",133,133,0.019201384779068794,True,0.006490757661634413,0.0,1,153061.76319751356,True,0.0050850358851221075,True,
True,False,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,False,design_000278,278,False,468280.2420443177,True,"[{'full_action': 501292.4867782223, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 212129.3366197254, 'tangent_relative_change_from_previous': None}, {'full_action': 469661.92040800414, 'full_relative_change_from_previous': 0.06309802601173217, 'node_count': 23, 'source_step': 6, 'tangent_action': 200309.2633449902, 'tangent_relative_change_from_previous': 0.0557210683967041}, {'full_action': 468599.72067942575, 'full_relative_change_from_previous': 0.002261626251614426, 'node_count': 45, 'source_step': 3, 'tangent_action': 199401.4293784825, 'tangent_relative_change_from_previous': 0.004532161675140013}, {'full_action': 468280.2420443177, 'full_relative_change_from_previous': 0.0006817729951798222, 'node_count': 133, 'source_step': 1, 'tangent_action': 199143.32707148028, 'tangent_relative_change_from_previous': 0.0012943854404991876}]",133,133,0.06309802601173217,False,0.006973254284188823,7.433594777484198,1,199143.32707148028,False,0.004532161675140013,True,coarse_ladder_transition_exceeds_5pct
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000240,240,False,439416.2552151201,True,"[{'full_action': 437061.69041306875, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 142608.99756024135, 'tangent_relative_change_from_previous': None}, {'full_action': 439238.2438714032, 'full_relative_change_from_previous': 0.004955291322427983, 'node_count': 23, 'source_step': 6, 'tangent_action': 138093.13525724495, 'tangent_relative_change_from_previous': 0.031666040574254706}, {'full_action': 439331.0320800645, 'full_relative_change_from_previous': 0.0002112034021862585, 'node_count': 45, 'source_step': 3, 'tangent_action': 137509.83806635666, 'tangent_relative_change_from_previous': 0.004223940529713535}, {'full_action': 439416.2552151201, 'full_relative_change_from_previous': 0.00019394625038130403, 'node_count': 133, 'source_step': 1, 'tangent_action': 137366.1968153244, 'tangent_relative_change_from_previous': 0.0010445889039804872}]",133,133,0.031666040574254706,True,0.007386796377257886,13.80484008700218,1,137366.1968153244,True,0.004223940529713535,True,
True,False,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,False,design_000266,266,False,417895.4983867975,True,"[{'full_action': 439964.43395325233, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 135401.35363250392, 'tangent_relative_change_from_previous': None}, {'full_action': 418710.85309504275, 'full_relative_change_from_previous': 0.048307497647566304, 'node_count': 23, 'source_step': 6, 'tangent_action': 123722.33420207047, 'tangent_relative_change_from_previous': 0.08625482033312423}, {'full_action': 418119.96608135477, 'full_relative_change_from_previous': 0.0014112053922659133, 'node_count': 45, 'source_step': 3, 'tangent_action': 122728.13570521788, 'tangent_relative_change_from_previous': 0.00803572372979006}, {'full_action': 417895.4983867975, 'full_relative_change_from_previous': 0.0005368499779166169, 'node_count': 133, 'source_step': 1, 'tangent_action': 122436.80678583638, 'tangent_relative_change_from_previous': 0.002373774503356314}]",133,133,0.08625482033312423,False,0.007451953803854988,14.808689406200081,1,122436.80678583638,False,0.00803572372979006,True,coarse_ladder_transition_exceeds_5pct
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000324,324,False,441635.98835701763,True,"[{'full_action': 447670.0996711465, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 144886.47603214192, 'tangent_relative_change_from_previous': None}, {'full_action': 442870.0963402157, 'full_relative_change_from_previous': 0.010722188804784608, 'node_count': 23, 'source_step': 6, 'tangent_action': 139004.9989764913, 'tangent_relative_change_from_previous': 0.040593692501333614}, {'full_action': 441833.5545616764, 'full_relative_change_from_previous': 0.0023405097501616574, 'node_count': 45, 'source_step': 3, 'tangent_action': 137995.44771390953, 'tangent_relative_change_from_previous': 0.007262697528975312}, {'full_action': 441635.98835701763, 'full_relative_change_from_previous': 0.000447150748554542, 'node_count': 133, 'source_step': 1, 'tangent_action': 137733.48411459668, 'tangent_relative_change_from_previous': 0.0018983495735014862}]",133,133,0.040593692501333614,True,0.0074733552462024665,15.138411196215106,1,137733.48411459668,True,0.007262697528975312,True,
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000235,235,False,430647.80650025955,True,"[{'full_action': 435279.95210333617, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 130668.18598387581, 'tangent_relative_change_from_previous': None}, {'full_action': 431345.4130464648, 'full_relative_change_from_previous': 0.00903910009606257, 'node_count': 23, 'source_step': 6, 'tangent_action': 124375.14576106175, 'tangent_relative_change_from_previous': 0.04816046213108528}, {'full_action': 430775.923043962, 'full_relative_change_from_previous': 0.0013202644221499069, 'node_count': 45, 'source_step': 3, 'tangent_action': 123388.8445800406, 'tangent_relative_change_from_previous': 0.007930050453295057}, {'full_action': 430647.80650025955, 'full_relative_change_from_previous': 0.00029740878458835607, 'node_count': 133, 'source_step': 1, 'tangent_action': 123125.1179464915, 'tangent_relative_change_from_previous': 0.002137362047976911}]",133,133,0.04816046213108528,True,0.007617707327653049,17.36237469902495,1,123125.1179464915,True,0.007930050453295057,True,
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000267,267,False,463985.7996585676,True,"[{'full_action': 475298.56468427234, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 177347.2138722546, 'tangent_relative_change_from_previous': None}, {'full_action': 464917.26427669084, 'full_relative_change_from_previous': 0.021841640558030104, 'node_count': 23, 'source_step': 6, 'tangent_action': 173865.19806105914, 'tangent_relative_change_from_previous': 0.01963389068916296}, {'full_action': 464172.6255108637, 'full_relative_change_from_previous': 0.0016016586671299608, 'node_count': 45, 'source_step': 3, 'tangent_action': 173531.35542946614, 'tangent_relative_change_from_previous': 0.0019201233790085827}, {'full_action': 463985.7996585676, 'full_relative_change_from_previous': 0.0004024921807711557, 'node_count': 133, 'source_step': 1, 'tangent_action': 173449.97637565812, 'tangent_relative_change_from_previous': 0.0004689587861894999}]",133,133,0.021841640558030104,True,0.007687360373972135,18.43548588188102,1,173449.97637565812,True,0.0019201233790085827,True,
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000186,186,False,461230.29534401477,True,"[{'full_action': 479338.67236832186, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 212682.3263269618, 'tangent_relative_change_from_previous': None}, {'full_action': 462253.00936279696, 'full_relative_change_from_previous': 0.035644240680827735, 'node_count': 23, 'source_step': 6, 'tangent_action': 204645.17105905683, 'tangent_relative_change_from_previous': 0.03778948353023589}, {'full_action': 461460.0026607695, 'full_relative_change_from_previous': 0.0017155252339418972, 'node_count': 45, 'source_step': 3, 'tangent_action': 203662.16112787853, 'tangent_relative_change_from_previous': 0.004803484617257933}, {'full_action': 461230.29534401477, 'full_relative_change_from_previous': 0.0004977838066793375, 'node_count': 133, 'source_step': 1, 'tangent_action': 203397.2589282853, 'tangent_relative_change_from_previous': 0.0013006942385674492}]",133,133,0.03778948353023589,True,0.007765408606081955,19.637937678396966,1,203397.2589282853,True,0.004803484617257933,True,
True,False,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,False,design_000004,4,False,418813.1206117803,True,"[{'full_action': 397807.27743939013, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 112070.40904476636, 'tangent_relative_change_from_previous': None}, {'full_action': 418749.25215225626, 'full_relative_change_from_previous': 0.050010775195967805, 'node_count': 23, 'source_step': 6, 'tangent_action': 115393.11898204306, 'tangent_relative_change_from_previous': 0.02879469734927402}, {'full_action': 414934.3173664397, 'full_relative_change_from_previous': 0.009110308295976333, 'node_count': 45, 'source_step': 3, 'tangent_action': 113942.99557257172, 'tangent_relative_change_from_previous': 0.012566810068605608}, {'full_action': 418813.1206117803, 'full_relative_change_from_previous': 0.009261417693110225, 'node_count': 133, 'source_step': 1, 'tangent_action': 114539.6150718686, 'tangent_relative_change_from_previous': 0.005208848475023498}]",133,133,0.050010775195967805,False,0.007916766809157543,21.969841147390067,1,114539.6150718686,False,0.012566810068605608,True,coarse_ladder_transition_exceeds_5pct
True,True,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,True,design_000138,138,False,394831.68473287014,True,"[{'full_action': 401766.40002571774, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 132343.65469563217, 'tangent_relative_change_from_previous': None}, {'full_action': 394816.17821944016, 'full_relative_change_from_previous': 0.01729916141776088, 'node_count': 23, 'source_step': 6, 'tangent_action': 127514.53321784623, 'tangent_relative_change_from_previous': 0.03648925586112986}, {'full_action': 394843.6141854482, 'full_relative_change_from_previous': 6.948565209710033e-05, 'node_count': 45, 'source_step': 3, 'tangent_action': 126653.7723366335, 'tangent_relative_change_from_previous': 0.00675029629557756}, {'full_action': 394831.68473287014, 'full_relative_change_from_previous': 3.021310754305004e-05, 'node_count': 133, 'source_step': 1, 'tangent_action': 126399.9529392414, 'tangent_relative_change_from_previous': 0.002004041353916196}]",133,133,0.03648925586112986,True,0.007948301564554556,22.455682046726167,1,126399.9529392414,True,0.00675029629557756,True,
True,False,04d783147dc5ecdf04ca7090e1d08aca987bf46b0a97310d619a107eb8ffe776,False,design_000347,347,False,388099.72627270425,True,"[{'full_action': 402836.2910833691, 'full_relative_change_from_previous': None, 'node_count': 12, 'source_step': 12, 'tangent_action': 155929.94718419868, 'tangent_relative_change_from_previous': None}, {'full_action': 388261.671417419, 'full_relative_change_from_previous': 0.03618000658965911, 'node_count': 23, 'source_step': 6, 'tangent_action': 145528.1237467127, 'tangent_relative_change_from_previous': 0.06670831117000513}, {'full_action': 388158.5526749838, 'full_relative_change_from_previous': 0.00026559083738224163, 'node_count': 45, 'source_step': 3, 'tangent_action': 144733.38536894173, 'tangent_relative_change_from_previous': 0.0054610638638767865}, {'full_action': 388099.72627270425, 'full_relative_change_from_previous': 0.00015155250830916345, 'node_count': 133, 'source_step': 1, 'tangent_action': 144478.84557494175, 'tangent_relative_change_from_previous': 0.0017586805791292134}]",133,133,0.06670831117000513,False,0.008021008677925672,23.575845780474445,1,144478.84557494175,False,0.0054610638638767865,True,coarse_ladder_transition_exceeds_5pct
