allowance_percent,method,phase,trial_count,time_trial_count,grid_n,bandwidth,minimum_q_h,maximum_mass_error,maximum_source_compatibility_error,maximum_component_compatibility_residual,maximum_conductive_component_count,incompatible_time_trial_count,unconverged_time_trial_count,invalid_trial_count,maximum_physical_poisson_relative_residual,maximum_full_moment_rate_residual,maximum_tangent_moment_rate_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,A_full_h,A_tan_h,A_hid_h,Gamma_h,physical_poisson_tolerance,moment_tolerance,energy_tolerance,passes,flag_positive_q,flag_mass,flag_source,flag_component_compatibility,flag_solver_convergence,flag_trial_validity,flag_poisson,flag_full_moment,flag_tangent_moment,flag_hidden_nullspace,flag_orthogonality,flag_pythagorean,flag_hierarchy,flag_all,elapsed_seconds,source,full_action_se
0.5,candidate,selection,64,1344,101,0.41753010655193434,1.908159088191579e-12,4.440892098500626e-16,3.887262915135739e-16,4.491854671767142e-15,1,0,0,0,9.610333006151088e-12,2.982111537472708e-14,7.108895957933346e-16,3.003773998359987e-14,6.162559924178492e-14,4.547473508864641e-13,-0.2881092928596021,30.201589389286397,0.6812904616289339,29.520298927657464,0.9774419003964536,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
0.5,candidate,validation,128,2688,101,0.41753010655193434,1.9246790770627902e-12,2.220446049250313e-16,4.047746246494554e-16,6.0279290211920275e-15,1,0,0,0,1.1895753240744788e-11,3.963884912402526e-14,7.447602459741819e-16,3.975156601658404e-14,6.459275772379679e-14,4.547473508864641e-13,-0.23086562298572966,29.013979671903794,0.6902284349372492,28.323751236966526,0.9762104874015038,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
0.5,candidate,selection,64,1344,101,0.41753010655193434,1.9099526583632438e-12,2.220446049250313e-16,4.1369036528050065e-16,5.660885494176443e-15,1,0,0,0,1.1171591841309254e-11,4.58824431029856e-14,5.978733960281817e-16,4.5878547628505336e-14,6.213914590213314e-14,4.547473508864641e-13,-0.2741689738207246,31.42873841856627,0.6365139177159893,30.79222450085028,0.9797473920448563,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
0.5,candidate,validation,128,2688,101,0.41753010655193434,1.9271621369774323e-12,4.440892098500626e-16,5.064140678433715e-16,5.65367063670702e-15,1,0,0,0,9.871524578123065e-12,3.293023303578457e-14,8.08254562088053e-16,3.313229924743549e-14,6.935732951702738e-14,4.547473508864641e-13,-0.22217544778365594,30.332181721427823,0.645916576803437,29.686265144624397,0.9787052384580985,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
0.5,full,selection,64,1344,101,0.41753010655193434,1.9094478809060083e-12,4.440892098500626e-16,5.171129566006258e-16,6.2845918598590585e-15,1,0,0,0,7.646473547030954e-12,3.330743087921409e-14,4.577566798522237e-16,3.3084646133829665e-14,5.215351639536243e-14,4.547473508864641e-13,-0.2877139629062747,27.573950551159513,0.7194469992757277,26.85450355188378,0.9739084539975184,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,83.62140748000002,accepted_isolated_corrected_0p5_rerun,
0.5,full,validation,128,2688,101,0.41753010655193434,1.922040800795093e-12,4.440892098500626e-16,4.814499940764447e-16,5.86513625681126e-15,1,0,0,0,8.19768989917828e-12,3.797453710231645e-14,6.004449063730082e-16,3.8083926865476484e-14,8.890063298027863e-14,4.547473508864641e-13,-0.2631612045543269,26.618645891833523,0.7307324741131851,25.887913417720327,0.9725480974095162,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,172.7306370340002,new_corrected_nested_sweep_evaluation,0.8560269738226035
1.0,candidate,selection,64,1344,101,0.41753010655193434,1.908159088191579e-12,4.440892098500626e-16,3.887262915135739e-16,4.491854671767142e-15,1,0,0,0,9.610333006151088e-12,2.982111537472708e-14,7.108895957933346e-16,3.003773998359987e-14,6.162559924178492e-14,4.547473508864641e-13,-0.2881092928596021,30.201589389286397,0.6812904616289339,29.520298927657464,0.9774419003964536,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
1.0,candidate,validation,128,2688,101,0.41753010655193434,1.9246790770627902e-12,2.220446049250313e-16,4.047746246494554e-16,6.0279290211920275e-15,1,0,0,0,1.1895753240744788e-11,3.963884912402526e-14,7.447602459741819e-16,3.975156601658404e-14,6.459275772379679e-14,4.547473508864641e-13,-0.23086562298572966,29.013979671903794,0.6902284349372492,28.323751236966526,0.9762104874015038,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
1.0,candidate,selection,64,1344,101,0.41753010655193434,1.9056508064036136e-12,3.3306690738754696e-16,4.493533278046817e-16,5.07343979803984e-15,1,0,0,0,9.829523451774958e-12,2.6425407063883964e-14,4.710277376051325e-16,2.6431703297108165e-14,7.657551313192163e-14,4.547473508864641e-13,-0.2247953010251644,38.32483626673544,0.5549870957547843,37.76984917098067,0.9855188658369696,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
1.0,candidate,validation,128,2688,101,0.41753010655193434,1.918925635071154e-12,4.440892098500626e-16,4.9928147533853525e-16,5.658425777638817e-15,1,0,0,0,9.849876441498814e-12,2.6423541225180547e-14,5.661048867003676e-16,2.631228568361621e-14,6.958557247718214e-14,9.094947017729282e-13,-0.1663660054600585,36.57695597501567,0.5586682127832056,36.01828776223247,0.9847262245342447,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
1.0,full,selection,64,1344,101,0.41753010655193434,1.9093341065924213e-12,2.220446049250313e-16,3.6732851399906525e-16,6.09664033863385e-15,1,0,0,0,7.388270583549006e-12,4.085997827016998e-14,6.280369834735101e-16,4.0635527706662686e-14,1.1902870372070682e-13,4.547473508864641e-13,-0.16499721404885734,21.040259435874198,0.8789559045973179,20.16130353127688,0.9582250443595446,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,85.73597664099998,new_corrected_nested_sweep_evaluation,
1.0,full,validation,128,2688,101,0.41753010655193434,1.9054704655077335e-12,4.440892098500626e-16,3.352318477273022e-16,8.285679294152734e-15,1,0,0,0,7.879038971796387e-12,6.117691541221252e-14,8.005932084973442e-16,6.095619839776269e-14,1.129802652766057e-13,4.547473508864641e-13,-0.12736852099426876,20.310305049837915,0.8919492038407337,19.41835584599718,0.9560839090475476,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,167.34223318800014,new_corrected_nested_sweep_evaluation,0.6338133489109813
2.0,candidate,selection,64,1344,101,0.41753010655193434,1.908159088191579e-12,4.440892098500626e-16,3.887262915135739e-16,4.491854671767142e-15,1,0,0,0,9.610333006151088e-12,2.982111537472708e-14,7.108895957933346e-16,3.003773998359987e-14,6.162559924178492e-14,4.547473508864641e-13,-0.2881092928596021,30.201589389286397,0.6812904616289339,29.520298927657464,0.9774419003964536,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
