candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,feasible,proxy_evaluated,proxy_A_full_h,proxy_passes,proxy_trial_count,proxy_grid_n,prescreen_evaluated,selection_evaluated,validation_evaluated,is_saved_full,is_existing_pool_winner,is_rerun_winner,prescreen_A_full_h,prescreen_passes,prescreen_trial_count,prescreen_grid_n,selection_A_full_h,selection_passes,selection_trial_count,selection_grid_n,validation_A_full_h,validation_passes,validation_trial_count,validation_grid_n
"[0.39026746451612937,1.151562647044907]","[0.39026746451612937,1.151562647044907]","[22.360678598045826,65.97967952058643]","[""tangent_search_audit_0""]",True,True,0.06878452987871773,0.06630482942138824,43.61900092254061,True,True,17.917268200946523,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.42655167198968663,1.174272828594405]","[0.42655167198968663,1.174272828594405]","[24.439610549257697,67.28087707534854]","[""full_search_audit_10+saved_final_tangent+tangent_search_audit_1""]",True,True,0.06876124417721063,0.06615899327394037,42.84126652609085,True,True,22.838648123029543,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40862062037868857,1.180549148047054]","[0.40862062037868857,1.180549148047054]","[23.412236969716254,67.64048369086119]","[""tangent_search_audit_2""]",True,True,0.0687375457468716,0.06618868714174546,44.228246721144934,True,True,20.87212862388883,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4087498041215589,1.1859824182270888]","[0.4087498041215589,1.1859824182270888]","[23.419638652964426,67.95178714113146]","[""tangent_search_audit_3""]",True,True,0.06873602635585954,0.0661838039194299,44.53214848816704,True,True,21.06448440151359,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40814378702017196,1.1859824182270888]","[0.40814378702017196,1.1859824182270888]","[23.3849164307422,67.95178714113146]","[""full_search_audit_11+saved_final_law+tangent_search_audit_4""]",True,True,0.0687360118546043,0.06618573672099663,44.56687071038926,True,True,20.990203480732347,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3932249567184853,1.1833434872100188]","[0.3932249567184853,1.1833434872100188]","[22.53013041918367,67.80058753142718]","[""tangent_search_audit_5""]",True,True,0.06874412120856273,0.06624420924544536,45.27045711224351,True,True,19.133834997582603,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4063563544195883,1.187619852907662]","[0.4063563544195883,1.187619852907662]","[23.282504086564664,68.04560523755666]","[""tangent_search_audit_6""]",True,True,0.06873635297833446,0.06619086971317503,44.76310115099199,True,True,20.82305398562135,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4140433766985971,1.1936773882583889]","[0.4140433766985971,1.1936773882583889]","[23.722938020174904,68.39267644740461]","[""tangent_search_audit_7""]",True,True,0.06873881962639275,0.0661648354765783,44.6697384272297,True,True,21.97880601720822,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.37033236503396244,1.2015904235629604]","[0.37033236503396244,1.2015904235629604]","[21.218481533544228,68.84605997349458]","[""full_search_audit_0+saved_final_full"",""mandatory_published_full""]",True,True,0.06883140339741334,0.06639764175908028,47.62757843995035,True,True,16.922060029040466,True,2,51,True,True,False,True,False,False,25.021138195365477,True,12,101,28.45076639323583,True,64,101,,,,
"[0.388740250003477,1.189880833930277]","[0.388740250003477,1.189880833930277]","[22.273175652059717,68.17514990771168]","[""full_search_audit_1""]",True,True,0.06875475449943871,0.06626604516840919,45.901974255651965,True,True,18.781482084184933,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.39112838922648985,1.1811324755236539]","[0.39112838922648985,1.1811324755236539]","[22.410005950428005,67.67390589334437]","[""full_search_audit_2""]",True,True,0.06874632626029936,0.06625459042069515,45.26389994291637,True,True,18.833353530741206,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.39330681673959367,1.1878346102783426]","[0.39330681673959367,1.1878346102783426]","[22.534820652904035,68.05790992851598]","[""full_search_audit_3""]",True,True,0.06874600779284484,0.06624324138858542,45.52308927561195,True,True,19.26332697753149,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3966209337790867,1.1881433052139743]","[0.3966209337790867,1.1881433052139743]","[22.724705572079376,68.07559684548474]","[""full_search_audit_4""]",True,True,0.06874237559418132,0.06622840567353341,45.35089127340537,True,True,19.66349399462827,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3980735765665334,1.1842011397905663]","[0.3980735765665334,1.1842011397905663]","[22.80793587294019,67.84972740458106]","[""full_search_audit_5""]",True,True,0.06873965620509605,0.06622318509670452,45.04179153164087,True,True,19.725010286055795,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
