allowance_percent,method,A_full_h,A_tan_h,A_hid_h,hidden_fraction_A_hid_over_A_full,aggregate_full_moment_residual_norm,aggregate_tangent_moment_residual_norm,aggregate_hidden_nullspace_residual_norm,aggregate_orthogonality_residual,aggregate_pythagorean_residual,aggregate_hierarchy_raw_violation,maximum_full_moment_residual,maximum_tangent_moment_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,maximum_full_action_reproduction_error,maximum_full_moment_residual_after_stabilization,aggregate_violation_count,trial_violation_count,time_trial_violation_count,trial_count,invalid_trial_count,time_trial_count,minimum_gram_rank,first_failing_condition,tolerance,passes,geometry,result_path,evaluation_key,phase
0.5,law,8.113409853715208,0.44589018362932603,7.66751967008589,0.9450428128655254,3.1626673157236796e-14,1.5398459456037738e-17,3.1616416075712374e-14,-4.7872683781195225e-15,-9.401218229824574e-15,-7.6675196700858805,2.631244026297398e-11,9.417447403841266e-15,2.631199930099835e-11,4.143244775045574e-12,8.277822871605167e-12,-0.17572661321367228,1.534196911734398e-05,2.631244026297398e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",selection
0.5,tangent,7.343264262296953,0.4307443597413112,6.912519902555558,0.9413415690413055,2.1085309679117271e-13,8.827472010624279e-17,2.1078044183345013e-13,4.215084865933053e-14,8.401288923802027e-14,-6.912519902555641,3.090998811842544e-11,3.619006973679046e-14,3.091030962344713e-11,4.583135954083772e-12,9.158895863947691e-12,-0.14733853149697462,9.890813025492662e-06,3.090998811842544e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",selection
0.5,full,7.343264262296953,0.4307443597413112,6.912519902555558,0.9413415690413055,2.1085309679117271e-13,8.827472010624279e-17,2.1078044183345013e-13,4.215084865933053e-14,8.401288923802027e-14,-6.912519902555641,3.090998811842544e-11,3.619006973679046e-14,3.091030962344713e-11,4.583135954083772e-12,9.158895863947691e-12,-0.14733853149697462,9.890813025492662e-06,3.090998811842544e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",selection
1.0,law,8.113409853715208,0.44589018362932603,7.66751967008589,0.9450428128655254,3.1626673157236796e-14,1.5398459456037738e-17,3.1616416075712374e-14,-4.7872683781195225e-15,-9.401218229824574e-15,-7.6675196700858805,2.631244026297398e-11,9.417447403841266e-15,2.631199930099835e-11,4.143244775045574e-12,8.277822871605167e-12,-0.17572661321367228,1.534196911734398e-05,2.631244026297398e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",selection
1.0,tangent,8.03719154730924,0.4290144421799004,7.608177105129369,0.9466213490552555,6.733852932243039e-14,1.1264503624919164e-16,6.732028945641662e-14,-1.5276116666298276e-14,-3.047469684010671e-14,-7.6081771051293385,1.7065517602761972e-11,2.377008626683301e-14,1.7065628583070035e-11,2.9356968245242143e-12,5.8548721426632255e-12,-0.15632946938667006,1.0283092883867084e-05,1.7065517602761972e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0544485259659548,0.39014881126645495,0.4518302121299058,0.7486302446169791,1.76,0.24,0.26200407904762774,0.5778474299245894]",selection
1.0,full,6.688759565914658,0.43577341065310266,6.252986155261581,0.9348498916191067,6.128716583253954e-14,4.064963654749659e-17,6.131294937074019e-14,-1.2610247160899375e-14,-2.4872985615598246e-14,-6.2529861552615555,1.919012442702403e-11,1.2408063646698904e-14,1.9190072896935755e-11,3.689219069125116e-12,7.382539024547441e-12,-0.17863563436319435,9.512595347871411e-06,1.919012442702403e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_1pct/result.json,"[1.0548735620183505,0.40254903114931073,0.47001144928369853,0.76,1.76,0.24,0.24,0.6108855638010898]",selection
2.0,law,8.113409853715208,0.44589018362932603,7.66751967008589,0.9450428128655254,3.1626673157236796e-14,1.5398459456037738e-17,3.1616416075712374e-14,-4.7872683781195225e-15,-9.401218229824574e-15,-7.6675196700858805,2.631244026297398e-11,9.417447403841266e-15,2.631199930099835e-11,4.143244775045574e-12,8.277822871605167e-12,-0.17572661321367228,1.534196911734398e-05,2.631244026297398e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",selection
2.0,tangent,9.04045606084226,0.4211309430370275,8.619325117805232,0.9534170687625915,3.2209798297178495e-14,4.5073384549606675e-17,3.2169184442511246e-14,-6.955649344981146e-16,-1.1071005223683932e-15,-8.61932511780523,1.4162604172680866e-11,5.871493668845153e-15,1.4162721807542823e-11,2.5246194024219903e-12,5.066169705969514e-12,-0.16648602421555944,9.236375234422667e-06,1.4162604172680866e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",selection
2.0,full,6.510045334216412,0.43047080050621894,6.079574533710104,0.9338759135449058,1.9184155130690117e-13,5.392929379191445e-17,1.9184914235455986e-13,4.4494505419872307e-14,8.911818042782001e-14,-6.079574533710193,2.32804337425156e-11,1.1773370910437075e-14,2.3280550318164153e-11,5.017819276406654e-12,1.0061285138363019e-11,-0.13052845660475088,1.5675730971054236e-05,2.32804337425156e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_2pct/result.json,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",selection
3.0,law,8.113409853715208,0.44589018362932603,7.66751967008589,0.9450428128655254,3.1626673157236796e-14,1.5398459456037738e-17,3.1616416075712374e-14,-4.7872683781195225e-15,-9.401218229824574e-15,-7.6675196700858805,2.631244026297398e-11,9.417447403841266e-15,2.631199930099835e-11,4.143244775045574e-12,8.277822871605167e-12,-0.17572661321367228,1.534196911734398e-05,2.631244026297398e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",selection
