mode,step,loss,gradient_norm,update_norm,correction_loss,loss_std,moment_error_initial,moment_error_training,observed_loss,physical_energy_initial,physical_energy_training,physical_loss,preprojection_loss,projection_converged,projection_rank_deficient,relaxation_converged,training_correction_rms,training_projection_used,training_relaxation_used
base,0,12.24945317326501,1.3433871628758596,0.06753907653428787,0.0,7.211058032876908,0.10630983026316938,0.10630983026316938,12.249317368838845,0.0013580442616542227,0.0013580442616542227,0.0001358044261654223,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,1,8.149965959234105,0.8028565180932693,0.05335890206268864,0.0,1.4087420580415493,0.08991165787727165,0.08991165787727165,8.149847542429093,0.0011841680501169997,0.0011841680501169997,0.00011841680501169999,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,2,11.053436563353818,0.7518236267775942,0.049373471665842245,0.0,2.4098204364547726,0.10450616760469067,0.10450616760469067,11.053327906752896,0.0010865660092194932,0.0010865660092194932,0.00010865660092194934,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,3,9.251837567365612,0.8134582322841407,0.04937223453317588,0.0,3.3208978832345095,0.0946186542443873,0.0946186542443873,9.251728035239054,0.001095321265579674,0.001095321265579674,0.00010953212655796739,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,4,10.02085234473087,1.2126592903862063,0.04909592835633762,0.0,1.5850952181998037,0.09979549125391665,0.09979549125391665,10.020722917444578,0.0012942728629010453,0.0012942728629010453,0.00012942728629010452,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,5,12.1174341543585,0.9491635620185407,0.04912713640672185,0.0,7.117799692533236,0.10599136449997375,0.10599136449997375,12.117308710386066,0.001254439724358075,0.001254439724358075,0.0001254439724358075,0.0,1.0,0.0,1.0,0.0,0.0,0.0
base,6,10.450383504568407,0.9675726632600629,0.0,0.0,4.783603153695768,0.10006595838292794,0.10006595838292794,10.450261771417802,0.0012173315060351156,0.0012173315060351156,0.0001217331506035116,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,0,12.24945317326501,1.3433871628758596,0.06753907653428787,0.0,7.211058032876908,0.10630983026316938,0.10630983026316938,12.249317368838845,0.0013580442616542227,0.0013580442616542227,0.0001358044261654223,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,1,8.149965959234105,0.8028565180932693,0.05335890206268864,0.0,1.4087420580415493,0.08991165787727165,0.08991165787727165,8.149847542429093,0.0011841680501169997,0.0011841680501169997,0.00011841680501169999,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,2,11.053436563353818,0.7518236267775942,0.049373471665842245,0.0,2.4098204364547726,0.10450616760469067,0.10450616760469067,11.053327906752896,0.0010865660092194932,0.0010865660092194932,0.00010865660092194934,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,3,9.251837567365612,0.8134582322841407,0.04937223453317588,0.0,3.3208978832345095,0.0946186542443873,0.0946186542443873,9.251728035239054,0.001095321265579674,0.001095321265579674,0.00010953212655796739,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,4,10.02085234473087,1.2126592903862063,0.04909592835633762,0.0,1.5850952181998037,0.09979549125391665,0.09979549125391665,10.020722917444578,0.0012942728629010453,0.0012942728629010453,0.00012942728629010452,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,5,12.1174341543585,0.9491635620185407,0.04912713640672185,0.0,7.117799692533236,0.10599136449997375,0.10599136449997375,12.117308710386066,0.001254439724358075,0.001254439724358075,0.0001254439724358075,0.0,1.0,0.0,1.0,0.0,0.0,0.0
post_hoc,6,10.450383504568407,0.9675726632600629,0.0,0.0,4.783603153695768,0.10006595838292794,0.10006595838292794,10.450261771417802,0.0012173315060351156,0.0012173315060351156,0.0001217331506035116,0.0,1.0,0.0,1.0,0.0,0.0,0.0
relax_e2e,0,12.175002018936757,1.3200535633905393,0.06754327830401184,0.004508191773514247,7.2119633538041095,0.10630983026316937,0.10591111359751382,12.1703975336987,0.0013580442616542227,0.0009629346454134396,9.629346454134396e-05,0.0,1.0,0.0,1.0,0.0021177588842296253,0.0,1.0
relax_e2e,1,8.112289989525838,0.7796821608586002,0.05336384971687886,0.0023907366776959892,1.3985593241661745,0.08991177749308171,0.08969316613073126,8.109805020764796,0.0011842268555222802,0.000942320833460344,9.423208334603441e-05,0.0,1.0,0.0,1.0,0.001366261651263891,0.0,1.0
relax_e2e,2,11.021477657686795,0.7281294260088601,0.049443758604893764,0.0024806842363285925,2.421548215067052,0.1045060902809013,0.10433301741853582,11.018910263679858,0.0010867611395776527,0.0008670977060688721,8.670977060688722e-05,0.0,1.0,0.0,1.0,0.0013210069554745536,0.0,1.0
relax_e2e,3,9.221015715153676,0.7982128017906451,0.049541561865841126,0.0017389761619338497,3.342970744591991,0.09461879172704704,0.09441578397979904,9.21918464627143,0.0010956225422906612,0.0009209272031348,9.209272031347999e-05,0.0,1.0,0.0,1.0,0.0010888414226190096,0.0,1.0
relax_e2e,4,9.962415224396544,1.1860394259116025,0.04923608250746578,0.003981300099484506,1.578884632942266,0.09979569487496837,0.09948338512705462,9.958339901302068,0.0012949145636869496,0.0009402299499269484,9.402299499269485e-05,0.0,1.0,0.0,1.0,0.0019295258652568207,0.0,1.0
relax_e2e,5,12.064894453250385,0.9255974804303022,0.0492586809221576,0.003758601793332024,7.105750269598657,0.10599190139086047,0.10572691916175228,12.061043797092147,0.00125562416749079,0.0009205436490719558,9.205436490719558e-05,0.0,1.0,0.0,1.0,0.0018048162363083035,0.0,1.0
relax_e2e,6,10.4035430612171,0.9441628323392615,0.0,0.0031722511946000185,4.7803091474567045,0.10006649613915317,0.09980817823353534,10.400277907940858,0.0012183883178133017,0.0009290208164124067,9.290208164124067e-05,0.0,1.0,0.0,1.0,0.001610669842488268,0.0,1.0
full_e2e,0,5.172416463703691,2.077800812697745,0.0675631368521336,5.170914911224001,1.7593996774218914,0.10630983026316937,0.000136276346188223,1.890404908428898e-05,0.0013580442616542227,0.014826484306050403,0.0014826484306050404,0.0,1.0,0.0,1.0,0.07091390172004257,1.0,1.0
full_e2e,1,4.422414177336398,1.6174587173301977,0.05392581392123142,4.421465583798547,0.5001612779524366,0.08991802268620715,8.755050455237635e-05,9.06210778553522e-06,0.001187014436506182,0.00939531430065604,0.0009395314300656042,0.0,1.0,0.0,1.0,0.0663809095196032,1.0,1.0
full_e2e,2,5.471837973079448,1.6686777979898628,0.05247343651000761,5.470442923650894,0.6409128296030207,0.1045129202510435,0.00010660430488626215,1.154533512432263e-05,0.001090086793031353,0.013835040934302744,0.0013835040934302746,0.0,1.0,0.0,1.0,0.0738344036107034,1.0,1.0
full_e2e,3,4.744398163378305,1.5333248306904166,0.05241309277500185,4.743254097698151,1.1320981726462949,0.09462768416943826,0.00011083324519900199,1.263851400024246e-05,0.0011009554401033184,0.01131427166152809,0.0011314271661528091,0.0,1.0,0.0,1.0,0.06835637958560578,1.0,1.0
full_e2e,4,4.9516678256177595,1.8746439093859633,0.05213162006489781,4.9504226632124,0.4776854261131833,0.09981069643175561,0.00013953474764629974,2.0767422801119798e-05,0.0013017517201121295,0.012243949825578485,0.0012243949825578482,0.0,1.0,0.0,1.0,0.07028089757050734,1.0,1.0
full_e2e,5,5.280781543987992,1.8985636544431306,0.051782030541218084,5.2792952585019775,1.6495406532632404,0.10600796961483158,7.903709503376057e-05,7.138651085635191e-06,0.0012663308322275672,0.01479146834928408,0.001479146834928408,0.0,1.0,0.0,1.0,0.07183041026534892,1.0,1.0
full_e2e,6,4.968198101666591,1.9229456508447806,0.0,4.966907278351236,1.209120833467459,0.10008523096658606,0.00010726406107219589,1.2907349895683614e-05,0.001228721657380249,0.012779159654586938,0.001277915965458694,0.0,1.0,0.0,1.0,0.06998060974466276,1.0,1.0
