step,parameter,loss,gradient,moment_error_initial,moment_error_relaxed,moment_error_projected,total_correction_rms,relaxation_displacement,projection_correction
0,0.2,0.2170040743328115,-0.521002617103739,0.031635880259918626,0.016253193572535997,1.2554977916856602e-05,0.014731052803698077,0.016407109932054763,0.02215130815399358
1,0.2521002617103739,0.19114663775758128,-0.4856605159036238,0.029711958344727295,0.01622012481592966,6.83964136109665e-07,0.01382557909419256,0.0166146392739496,0.021734496531510432
2,0.3006663133007363,0.1659589890913446,-0.5785126513925573,0.02748800490174892,0.016510285300525857,3.400382570227811e-07,0.012882507092011188,0.016991325100278426,0.021356536125562244
3,0.358517578439992,0.12632012931139988,-0.7396104934534953,0.024303585878388344,0.017207101781614026,9.160110829800548e-07,0.011239222769939368,0.01754682313711548,0.020917823713573692
4,0.4324786277853415,0.07477012751253238,-0.6085411600397612,0.019405509533894277,0.018772773442872294,3.157804314519967e-07,0.008646972152887686,0.01833078371934298,0.020382359093962583
5,0.49333274378931763,0.041965127240926714,2.3146557824855503,0.014702892029283206,0.020671489356020967,2.1549577333328124e-05,0.006478013804913005,0.018954429384228574,0.02001704364351461
6,0.3933327437893176,0.1007591847538393,-0.7154997205767548,0.022111825835815356,0.01784751897222892,4.666482885536848e-07,0.010037887453845987,0.017912685319476596,0.02065843066768257
7,0.4648827158469931,0.05626104483099786,-0.5081822186902691,0.01697534992514323,0.019713965816162377,9.686079151629714e-07,0.0075007362233847795,0.018670148784458225,0.020176732137963123
8,0.51570093771602,0.033982882513380636,-0.37078602179217446,0.012826909362319644,0.02148621546728163,6.617632549429751e-07,0.0058294838601243276,0.019159608828610526,0.01991211953010471
9,0.5527795398952374,0.02273846854085999,-0.24938774257436505,0.00954820509093462,0.02301584523849163,6.073109294130135e-07,0.004768486989814843,0.019470015157762706,0.01978412095846508
10,0.5777183141526739,0.017274201758116826,-0.18112133966936111,0.007227463012622284,0.024134904252800193,8.082282402699194e-07,0.004156224380959712,0.01964614620339731,0.019738481802001648
11,0.5958304481196101,0.014248417183650327,-0.12808435192361287,0.005485290647783863,0.025006470474548546,4.863989714692035e-05,0.0037743941691423624,0.01975751180167319,0.019696637996788488
12,0.6086388833119714,0.012719128598813984,-0.09924511853940507,0.004225033047161003,0.025657244135455424,1.6032290222920483e-05,0.0035663526977129157,0.01982712617707594,0.01973072399685741
13,0.6185633951659119,0.012078977608745932,-0.0742931289334186,0.003232687221323357,0.02615560647444692,6.513196438361663e-07,0.0034754822952402812,0.019870722453591744,0.019754817518450495
14,0.6259927080592537,0.011447597890228992,-0.06263569305504298,0.0024808851173610397,0.026564866461420956,0.00010514428879021778,0.0033817957609476937,0.01990361084873627,0.01969701366437155
15,0.632256277364758,0.01108878694744086,-0.05459802310359581,0.001841152567415346,0.026950032834728195,9.592268722774438e-05,0.003328601175496378,0.019933485848697485,0.019727712065831585
16,0.6377160796751176,0.010831982929439602,-0.033466288799084615,0.0012791481468955163,0.02729707656999239,1.6257848722211404e-05,0.003291157640070516,0.01995772660653532,0.01980955924545033
17,0.641062708555026,0.01073303199627488,-0.025591752365597215,0.0009326666699148609,0.027497688673986186,1.3454961789482699e-05,0.0032761030142958152,0.019969078398294083,0.01982506272347841
18,0.6436218837915857,0.010691372372158942,-0.019368767173653167,0.0006666929563333289,0.02767933646298001,1.0898384856429333e-05,0.0032697482467869696,0.019981035046219477,0.01984134922311929
19,0.645558760508951,0.010658531378774204,-0.014529489535342461,0.0004648097456483568,0.02779884281862335,9.415606084183127e-06,0.00326472705216474,0.01998691448105167,0.019851099129387793
20,0.6470117094624852,0.010640086910328061,-0.010853952562606687,0.0003130372477645357,0.02788935980311835,8.359173819735739e-06,0.0032619038971957947,0.019991157184965448,0.01985858335972608
21,0.6480971047187459,0.011164995396395873,0.0011366154772811197,0.00019947473233629723,0.027981792532087137,9.243012487249132e-07,0.003341406072608218,0.019997674650057518,0.019870332034546412
22,0.6479834431710179,0.011081654943621589,-0.0015074261946684993,0.00021137425847366357,0.027974637333056315,6.019229256540016e-07,0.0033289119215308745,0.019997358361066864,0.019870851659620083
23,0.6481341857904848,0.011165039231063802,0.0012276422612102836,0.0001955922447729945,0.027984127879837024,9.251093568354669e-07,0.0033414126316928415,0.019997777639757037,0.019870507694635497
24,0.6480114215643638,0.011164907021238884,0.0009262027318635013,0.00020844528680291868,0.027976398182885172,9.223920932382092e-07,0.003341392848862838,0.01999743630163423,0.019869926624254724
25,0.6479188012911774,0.011081757657328417,-0.0016705055328378703,0.00021814101814372563,0.027970570126697875,6.015860596323824e-07,0.0033289273490754692,0.019997178074982486,0.019870544154614072
26,0.6480858518444612,0.011164982761647907,0.0011089878729384252,0.00020065290215959863,0.027981083931608662,9.240538374364936e-07,0.003341404182042695,0.019997643376947996,0.019870278752736514
27,0.6479749530571673,0.011081667832764847,-0.0015288448047432075,0.00021226304164824743,0.027974103055588524,6.018784051930171e-07,0.0033289138574777257,0.019997334698916035,0.019870811251622673
28,0.6481278375376417,0.01116503148713975,0.0012120599745826452,0.0001962569368628485,0.027983728034087822,9.249717928653419e-07,0.003341411472950755,0.019997760014866507,0.019870477612714765
29,0.6480066315401835,0.011164902612885207,0.0009144366451503665,0.00020894674706152248,0.027976096697243276,9.222836566263984e-07,0.0033413921892346105,0.01999742296177276,0.019869903980286693
30,0.6479151878756684,0.011081763710029578,-0.001679621686072991,0.00021851925669648793,0.02797034281923095,6.015673728949313e-07,0.003328928258185549,0.019997167988504035,0.019870526975772553
