pair_id,spot_regime,labyrinth_regime,spot_feed,spot_kill,labyrinth_feed,labyrinth_kill,calibration_residual_standardized,spot_ess_fraction,labyrinth_ess_fraction,minimum_ess_fraction,spot_weight_entropy_fraction,labyrinth_weight_entropy_fraction,spot_max_weight,labyrinth_max_weight,spot_lambda_norm,labyrinth_lambda_norm,spot_covariance_condition,labyrinth_covariance_condition,calibrated_morphology_effect_size,endpoint_gate_pass,failure_reason,method_blind_endpoint_score
grid_F0340_k0650__gs_09,grid_F0340_k0650,gs_09,0.034,0.065,0.054,0.062,1.801573024101783,0.6851508316124146,0.09375096469602236,0.09375096469602236,0.9724629401037638,0.43084618574037,0.0963317145633338,0.1666658091654785,39.9968926252524,9.481287378202172,325888.9900237523,2486494.783828128,1.365794727997162,False,calibration_residual;endpoint_ess,-0.587174420917447
grid_F0340_k0650__grid_F0260_k0570,grid_F0340_k0650,grid_F0260_k0570,0.034,0.065,0.026,0.057,1.8015749870685507,0.6851557974342521,0.03125001954120465,0.03125001954120465,0.972463431395764,0.16666806689418556,0.09633074860450443,0.49999984367043254,39.99689283395076,28.18390473806699,325886.87052947824,7262.592544093073,1.3658028009108047,False,calibration_residual;endpoint_ess,-0.6184168310161311
grid_F0340_k0650__gs_03,grid_F0340_k0650,gs_03,0.034,0.065,0.026,0.055,1.8015752174162185,0.6851556429169534,0.015625000451036593,0.015625000451036593,0.9724634160731235,8.050169443226623e-08,0.09633077792511607,0.9999999855668293,39.99689292411157,29.610863832228965,325886.9661521439,103275.7493020688,1.365803191661764,False,calibration_residual;endpoint_ess,-0.6262289543182964
grid_F0340_k0650__gs_08,grid_F0340_k0650,gs_08,0.034,0.065,0.046,0.063,1.8015565078018665,0.6851157154092687,0.015627821385097444,0.015627821385097444,0.9724594660480413,0.0003136780529927228,0.09633855107793149,0.9999097278366617,39.99689041567476,11.439113350488627,325903.7526020202,2987385.5569751,1.3656646600869304,False,calibration_residual;endpoint_ess,-0.6263659500042591
grid_F0420_k0650__gs_03,grid_F0420_k0650,gs_03,0.042,0.065,0.026,0.055,3.483022359418442e-08,0.015625000237610036,0.01562500045103819,0.015625000237610036,4.346871250109596e-08,8.05019651335175e-08,0.999999992396479,0.9999999855667783,22.176077645822488,29.653441562641476,1703632.3196241115,103321.28197564807,1.6838296821377795e-08,False,endpoint_ess;morphology_effect,-1.474859561174972
grid_F0420_k0650__gs_09,grid_F0420_k0650,gs_09,0.042,0.065,0.054,0.062,7.927613213798423e-05,0.015625791610647446,0.09375142457312893,0.015625791610647446,9.561835641640327e-05,0.43085457904969887,0.9999746694163754,0.16666540039336897,34.61219940309068,7.900100204413195,1694000.0222176071,2483648.933368745,4.670944383824862e-05,False,calibration_residual;endpoint_ess;morphology_effect,-1.722750364905372
grid_F0300_k0630__gs_08,grid_F0300_k0630,gs_08,0.03,0.063,0.046,0.063,0.04727847662453932,0.016234377787733695,0.015625302188636753,0.015625302188636753,0.04145307048358674,3.879658063430352e-05,0.9810494463075926,0.9999903301031382,39.99999081588924,23.154110010024574,8996854.104664672,2978604.1540001156,0.036490432822750225,False,calibration_residual;endpoint_ess;morphology_effect,-1.9556964568773936
grid_F0300_k0630__gs_09,grid_F0300_k0630,gs_09,0.03,0.063,0.054,0.062,0.04629980714049964,0.01622140711550595,0.0937500051373505,0.01622140711550595,0.040689180839299455,0.4308272196914725,0.9814417143495023,0.16666666210013306,39.99999828069343,39.46088272189576,8999379.746025225,2566927.116320435,0.03574771598195477,False,calibration_residual;endpoint_ess;morphology_effect,-1.956141494494964
grid_F0300_k0630__gs_03,grid_F0300_k0630,gs_03,0.03,0.063,0.026,0.055,0.04629956519395817,0.016221403911301887,0.015625000451112415,0.015625000451112415,0.04068899177029045,8.051461796722726e-08,0.9814418113110612,0.9999999855644031,39.99999828107397,29.503188542767923,8999380.235874882,103368.0272319045,0.03574755153789026,False,calibration_residual;endpoint_ess;morphology_effect,-1.9564398622902521
grid_F0340_k0640__gs_08,grid_F0340_k0640,gs_08,0.034,0.064,0.046,0.063,0.012359768350064915,0.01576497594469193,0.015628922390964747,0.015628922390964747,0.01128849084062537,0.0004261241860341706,0.9955504827307781,0.9998745069896489,39.948369549264825,10.121284027970315,17798616.587838534,2981658.1245920085,0.009128872594126303,False,calibration_residual;endpoint_ess;morphology_effect,-1.9804751436736325
grid_F0300_k0625__gs_08,grid_F0300_k0625,gs_08,0.03,0.0625,0.046,0.063,0.0010326421163400212,0.015637239741310947,0.015625192073775846,0.015625192073775846,0.0012222387862618068,2.532948349426068e-05,0.9996085570140758,0.9999938536955368,39.99030013361727,26.11297832419813,12904081.282864451,2978074.1534590833,0.0007964437286034576,False,calibration_residual;endpoint_ess;morphology_effect,-1.9909059669153721
grid_F0340_k0640__gs_03,grid_F0340_k0640,gs_03,0.034,0.064,0.026,0.055,4.669558027448062e-05,0.015625525586080973,0.015625000451080884,0.015625000451080884,6.52069428704579e-05,8.05092430770005e-08,0.9999831816674041,0.999999985565412,39.98525939678689,29.561525130012843,18007056.455633037,103345.64432176214,3.508584362241149e-05,False,calibration_residual;endpoint_ess;morphology_effect,-1.9914153837701816
grid_F0340_k0640__gs_09,grid_F0340_k0640,gs_09,0.034,0.064,0.054,0.062,5.300326707580183e-05,0.015625596577524152,0.0937500049533886,0.015625596577524152,7.343360117176878e-05,0.4308272150435696,0.9999809100629189,0.16666666226365476,39.9879026103386,36.164600729821615,18004730.699894115,2550302.764149963,3.980579638627128e-05,False,calibration_residual;endpoint_ess;morphology_effect,-1.9915425264317819
grid_F0300_k0625__gs_09,grid_F0300_k0625,gs_09,0.03,0.0625,0.054,0.062,0.00035632007954733425,0.015629221862537197,0.09375000512322679,0.015629221862537197,0.00045629260010322814,0.4308272193349976,0.9998649276246292,0.1666666621126875,39.999832935881344,39.35309421313437,12905102.017410913,2566345.8890557224,0.00027757939842938906,False,calibration_residual;endpoint_ess;morphology_effect,-1.9918994564643693
grid_F0300_k0625__gs_03,grid_F0300_k0625,gs_03,0.03,0.0625,0.026,0.055,0.0003557059386802841,0.015629214584847353,0.01562500045105029,0.01562500045105029,0.0004555620954268782,8.050403268856341e-08,0.9998651604169309,0.999999985566391,39.99983475549631,29.605650557074775,12905089.838386862,103328.54288783339,0.0002771228490200694,False,calibration_residual;endpoint_ess;morphology_effect,-1.9919021147002702
gs_17__grid_F0340_k0605,gs_17,grid_F0340_k0605,0.038,0.064,0.034,0.0605,0.20988185765882605,0.0625065312207316,0.12968252479828282,0.0625065312207316,0.46179869238178184,0.6464039444666142,0.38966667531130345,0.2611107427033493,86.74848500480434,86.74848500480434,31748.873640391314,39857.21273029647,0.711776914018926,False,calibration_residual;endpoint_ess;morphology_effect,-3.5943940706109254
grid_F0320_k0615__grid_F0300_k0580,grid_F0320_k0615,grid_F0300_k0580,0.032,0.0615,0.03,0.058,0.29133187052262866,0.1692957136201271,0.14464317158242918,0.14464317158242918,0.6728986318935591,0.6926014683122916,0.1523414916008894,0.2760153888067214,97.59220178199426,97.59220178199426,59172.507901014214,7455.113292669522,1.127521705017318,False,calibration_residual;endpoint_ess,-3.6797667982911815
grid_F0300_k0610__grid_F0300_k0580,grid_F0300_k0610,grid_F0300_k0580,0.03,0.061,0.03,0.058,0.2467577222152569,0.11679191833899437,0.24555472466696163,0.11679191833899437,0.6256512435049113,0.7615016560306714,0.29589053038913454,0.14628391097992635,100.65221275240155,100.65221275240155,51114.153925462655,8951.032395684444,1.1695309513015006,False,calibration_residual;endpoint_ess,-3.80468372714908
grid_F0300_k0610__grid_F0300_k0570,grid_F0300_k0610,grid_F0300_k0570,0.03,0.061,0.03,0.057,0.3390583910845275,0.1105789189276268,0.5743933566030263,0.1105789189276268,0.6230784875058246,0.9286416193845853,0.2886033019029361,0.0818684746310326,103.62489165110003,103.62489165110003,54864.30550691689,20980.587666256117,1.2524497981812808,False,calibration_residual;endpoint_ess,-3.8735053249099076
gs_17__grid_F0320_k0590,gs_17,grid_F0320_k0590,0.038,0.064,0.032,0.059,0.2858655782993281,0.04403243770682958,0.17547843942725994,0.04403243770682958,0.33669063480562894,0.697251353380145,0.45128429775831475,0.1620333038630211,101.021718436012,101.021718436012,41890.335365445324,49159.82714591115,0.9693994977611577,False,calibration_residual;endpoint_ess;morphology_effect,-4.059670205186027
grid_F0340_k0620__grid_F0300_k0585,grid_F0340_k0620,grid_F0300_k0585,0.034,0.062,0.03,0.0585,0.26330529749620013,0.043792120840843024,0.2098701096667024,0.043792120840843024,0.4085188327894088,0.7329273052006953,0.5762551608322275,0.17044196720731983,105.92604203655628,105.92604203655628,124631.51238972037,11411.456691739233,0.6178172013403687,False,calibration_residual;endpoint_ess;morphology_effect,-4.656588840067024
grid_F0300_k0615__grid_F0300_k0580,grid_F0300_k0615,grid_F0300_k0580,0.03,0.0615,0.03,0.058,0.2907121023940333,0.05050603011001671,0.1808364100382802,0.05050603011001671,0.4488777142656479,0.7567938458295626,0.5055638590792055,0.24961622478818166,123.73876990461186,123.73876990461186,75871.66138815669,5292.580471606779,1.2520168470713406,False,calibration_residual;endpoint_ess,-4.9096686331042445
grid_F0260_k0605__grid_F0360_k0590,grid_F0260_k0605,grid_F0360_k0590,0.026,0.0605,0.036,0.059,0.5167025522116182,0.03451935249029497,0.040576967105052285,0.03451935249029497,0.22440233906603504,0.3199848410133117,0.6146584211973118,0.5368073197441022,156.51660017769984,156.51660017769984,51992.57955179534,499513.6377557527,2.300170055158518,False,calibration_residual;endpoint_ess,-5.508400277481327
grid_F0260_k0605__grid_F0420_k0610,grid_F0260_k0605,grid_F0420_k0610,0.026,0.0605,0.042,0.061,0.5692664643304153,0.02654299937217817,0.02074075809582489,0.02074075809582489,0.1697573813653728,0.14843413440430872,0.7344199319730117,0.8650925972204943,165.2241348212933,165.2241348212933,219549.15116246982,65912.7279765656,1.8374138706624557,False,calibration_residual;endpoint_ess,-6.413422491354297
grid_F0420_k0650__grid_F0360_k0610,grid_F0420_k0650,grid_F0360_k0610,0.042,0.065,0.036,0.061,0.305417004048133,0.03747041121565014,0.0921302329420282,0.03747041121565014,0.36547497811912677,0.5636802200538191,0.6303345522182038,0.34317688078176806,153.58429026945709,153.58429026945709,80412.55455704474,16668.75827075222,0.9044634300307122,False,calibration_residual;endpoint_ess;morphology_effect,-6.756015877834317
grid_F0260_k0605__grid_F0300_k0570,grid_F0260_k0605,grid_F0300_k0570,0.026,0.0605,0.03,0.057,0.4433784967398706,0.04256764272992514,0.0829385051748406,0.04256764272992514,0.27729651615726353,0.451294133124625,0.46302200133414456,0.24958096665111248,184.82821356064494,184.82821356064494,41265.55183599107,270934.0061546738,2.325081598492705,False,calibration_residual;endpoint_ess,-6.89504525817458
grid_F0380_k0650__grid_F0320_k0600,grid_F0380_k0650,grid_F0320_k0600,0.038,0.065,0.032,0.06,0.31132502788007455,0.10869774429353085,0.022298290800570726,0.022298290800570726,0.5570482633254011,0.13112098091244892,0.24361050304836004,0.8209170089683914,151.76731028074147,151.76731028074147,17748.147056880793,984124.7666849795,0.634029135029561,False,calibration_residual;endpoint_ess;morphology_effect,-6.943187233607228
grid_F0260_k0605__grid_F0320_k0580,grid_F0260_k0605,grid_F0320_k0580,0.026,0.0605,0.032,0.058,0.45130227961696334,0.041232125359153236,0.08272851386346723,0.041232125359153236,0.2689953844078557,0.4591483163331511,0.4712268975823921,0.2669123128170978,186.08758585098226,186.08758585098226,36244.302766494526,398496.7378361933,2.269722232414219,False,calibration_residual;endpoint_ess,-7.014040997455317
grid_F0260_k0605__grid_F0360_k0595,grid_F0260_k0605,grid_F0360_k0595,0.026,0.0605,0.036,0.0595,0.47505601201306114,0.0300444107017179,0.05929716680172588,0.0300444107017179,0.18974296287512274,0.3796621532228772,0.6539223848913851,0.358795187778886,185.6063647438232,185.6063647438232,34017.43680381854,39634.22027594621,2.2196038057726475,False,calibration_residual;endpoint_ess,-7.045692226067654
gs_15__grid_F0300_k0590,gs_15,grid_F0300_k0590,0.03,0.062,0.03,0.059,0.23331937128718458,0.11835684941269081,0.03135992244894702,0.03135992244894702,0.5412626539023306,0.22541486386487147,0.19692373765392457,0.6663085741612108,160.7501470935391,160.7501470935391,23020.59822323551,10699.595488632935,0.9509915695195503,False,calibration_residual;endpoint_ess;morphology_effect,-7.070835823932932
grid_F0300_k0605__grid_F0300_k0580,grid_F0300_k0605,grid_F0300_k0580,0.03,0.0605,0.03,0.058,0.19385883372016566,0.04922363448720701,0.2626652027994447,0.04922363448720701,0.35726420708425943,0.7989537766136708,0.47285527775082864,0.15578075114055046,159.00124928431077,159.00124928431077,4455.295815691561,10163.2822429813,0.7265899351899356,False,calibration_residual;endpoint_ess;morphology_effect,-7.198860711781999
gs_16__grid_F0300_k0580,gs_16,grid_F0300_k0580,0.034,0.063,0.03,0.058,0.30924154220144295,0.07561681039055945,0.1571257343357302,0.07561681039055945,0.40471141566763635,0.6172640998450188,0.23723477184343386,0.17460654974883327,174.43608913818588,174.43608913818588,33075.62811350525,9020.600692542728,1.189494819572015,False,calibration_residual;endpoint_ess,-7.494501232142
grid_F0320_k0630__grid_F0280_k0580,grid_F0320_k0630,grid_F0280_k0580,0.032,0.063,0.028,0.058,0.20067666852391336,0.01566908426611576,0.04776723666973226,0.01566908426611576,0.002880810637485616,0.332971265389823,0.998591721003314,0.471174913972221,185.36095275637746,185.36095275637746,921984.4540538344,32502.229104119666,1.644147363598232,False,calibration_residual;endpoint_ess,-7.616065732087582
grid_F0300_k0615__grid_F0300_k0590,grid_F0300_k0615,grid_F0300_k0590,0.03,0.0615,0.03,0.059,0.18515929884970828,0.037053573518677996,0.06241896839270965,0.037053573518677996,0.25147011934287544,0.38374917429200706,0.476200821828441,0.3165418056946525,168.70214643094346,168.70214643094346,214297.72834917443,5119.883055020631,0.7123195269433318,False,calibration_residual;endpoint_ess;morphology_effect,-7.704261007844503
grid_F0300_k0605__grid_F0300_k0590,grid_F0300_k0605,grid_F0300_k0590,0.03,0.0605,0.03,0.059,0.10348945477305671,0.028362246131026038,0.05437462016613122,0.028362246131026038,0.1912931133345893,0.38136636773276184,0.7001879690675236,0.46168271916571096,161.80849462125278,161.80849462125278,2263.0235777241373,7568.477744962305,0.3084686249369869,False,calibration_residual;endpoint_ess;morphology_effect,-7.767774983060138
grid_F0260_k0605__grid_F0320_k0585,grid_F0260_k0605,grid_F0320_k0585,0.026,0.0605,0.032,0.0585,0.4132166680303522,0.05147407120866672,0.14014677682473672,0.05147407120866672,0.31429612875418145,0.6216023968151735,0.4243169641757287,0.21687139540794206,189.4855351101708,189.4855351101708,55996.208964366124,77929.64393444992,1.634452059002742,False,calibration_residual;endpoint_ess,-7.814087660901464
gs_15__grid_F0300_k0580,gs_15,grid_F0300_k0580,0.03,0.062,0.03,0.058,0.34363593322032826,0.127663290409107,0.1831630633615899,0.127663290409107,0.6160035690726076,0.6807875036564673,0.21014375569819532,0.19845707636979423,186.14064777667923,186.14064777667923,32134.081595819258,6589.169321523404,1.4073750731888215,False,calibration_residual;endpoint_ess,-7.835825670440586
gs_16__grid_F0360_k0590,gs_16,grid_F0360_k0590,0.034,0.063,0.036,0.059,0.4959360492940177,0.8984164880065393,0.772612317119306,0.772612317119306,0.9887498277066452,0.967613575091796,0.04390330529904041,0.05286118241556655,199.99880120060843,199.99880120060843,26173.433872482725,7481.763117742353,1.6829621043947798,False,calibration_residual,-7.9306717970759895
grid_F0320_k0625__grid_F0300_k0590,grid_F0320_k0625,grid_F0300_k0590,0.032,0.0625,0.03,0.059,0.20161657033949199,0.06780014197885972,0.04159897765742167,0.04159897765742167,0.42662693742068275,0.3182001405142883,0.34823740933798103,0.5555691819016702,173.54697034489652,173.54697034489652,56598.68511349453,4287.308410399628,0.7231486066283173,False,calibration_residual;endpoint_ess;morphology_effect,-7.933400421787798
grid_F0320_k0625__grid_F0300_k0570,grid_F0320_k0625,grid_F0300_k0570,0.032,0.0625,0.03,0.057,0.4164224887613165,0.8444652264020439,0.8746393937232934,0.8444652264020439,0.9833678331520787,0.9830862103511978,0.04801754132679975,0.03547238539598439,199.9903672710938,199.9903672710938,50505.683679312424,12618.306833987957,1.6401822464621598,False,calibration_residual,-7.9371035038915085
grid_F0300_k0610__grid_F0320_k0580,grid_F0300_k0610,grid_F0320_k0580,0.03,0.061,0.032,0.058,0.34846973117955093,0.10995419781813497,0.44902208602668675,0.10995419781813497,0.6352801286735547,0.8859572159980105,0.2822202427950862,0.07397902937482607,185.4045254526687,185.4045254526687,53490.913950393195,26560.989496483646,1.2767761898861045,False,calibration_residual;endpoint_ess,-7.938472983838263
grid_F0300_k0610__grid_F0320_k0585,grid_F0300_k0610,grid_F0320_k0585,0.03,0.061,0.032,0.0585,0.30203085999224977,0.10337744034280999,0.31432965071501595,0.10337744034280999,0.6246901170047017,0.8350288885044014,0.3084476810951905,0.13915484649489107,184.56753424151606,184.56753424151606,55112.728570947314,28416.00328298764,1.2343415294059044,False,calibration_residual;endpoint_ess,-7.942346462498494
gs_17__grid_F0360_k0590,gs_17,grid_F0360_k0590,0.038,0.064,0.036,0.059,0.48953418955029493,0.7715745963057475,0.8090420319813442,0.7715745963057475,0.970851967974775,0.9727145405471094,0.04742965626661858,0.03880174278883402,199.9998136456078,199.9998136456078,21752.610570453427,7229.340259198715,1.646734225900432,False,calibration_residual,-7.967469158227085
grid_F0280_k0610__grid_F0360_k0590,grid_F0280_k0610,grid_F0360_k0590,0.028,0.061,0.036,0.059,0.5251805741347797,0.09796627253107021,0.23042483240881945,0.09796627253107021,0.580322713692154,0.7026419384611429,0.2986314394951647,0.1320223002171628,193.77141875057353,193.77141875057353,213710.79129021446,52082.87670797174,1.666719426191995,False,calibration_residual;endpoint_ess,-7.9728683750711475
grid_F0320_k0625__grid_F0360_k0590,grid_F0320_k0625,grid_F0360_k0590,0.032,0.0625,0.036,0.059,0.5178028052014412,0.9178343651253079,0.7477777966008826,0.7477777966008826,0.9904890859172414,0.9636951502451664,0.03698437463189615,0.05784616174752412,199.99815744925377,199.99815744925377,57809.58910571387,7535.279640762821,1.6528424598782356,False,calibration_residual,-7.973176514284012
grid_F0380_k0650__gs_03,grid_F0380_k0650,gs_03,0.038,0.065,0.026,0.055,0.30201639668367186,0.022322097944034964,0.0486607752109055,0.022322097944034964,0.1341875166853234,0.31820684849655306,0.8219554527348452,0.433607275444915,174.88641281288952,174.88641281288952,25684481.206956852,4272183.208457277,0.7582027386906044,False,calibration_residual;endpoint_ess;morphology_effect,-7.974956852981855
