regime_id,feed,kill,sample_index,initial_condition_seed,component_count,background_component_count,minority_component_count,phase_component_max,euler_characteristic,absolute_euler_characteristic,interface_length,area_fraction,minkowski_area,minkowski_perimeter,minkowski_euler,anisotropy,heldout_spectrum_1,heldout_spectrum_2,phi_mean,phi_second_moment,phi_shell_1,phi_shell_2
gs_01,0.018,0.051,0,31000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80908925027372e-45,0.0,0.0,0.0
gs_01,0.018,0.051,1,31001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2918038782255284e-66,5.236476856490141e-87,1.1239114341047247e-86,3.769590623614629e-36,0.0,0.0,0.0
gs_01,0.018,0.051,2,31002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.690030506037754e-76,1.5661396578121308e-91,2.2742616213236975e-91,4.3482291347999074e-41,0.0,0.0,0.0
gs_01,0.018,0.051,3,31003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6562571606331436e-12,3.9172805083226024e-36,7.729494170825883e-36,9.250812615935189e-11,1.0635574892302855e-20,4.91079277434903e-21,7.473249678021992e-22
gs_01,0.018,0.051,4,31004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6646560724758216e-41,1.5718029696226947e-63,2.946898122218183e-63,1.8865356112870827e-24,0.0,0.0,0.0
gs_01,0.018,0.051,5,31005,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80908925027372e-45,0.0,0.0,0.0
gs_01,0.018,0.051,6,31006,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5886785152759117e-50,1.0596614978939601e-73,1.6851656333397604e-73,1.6071725894837964e-29,0.0,0.0,0.0
gs_01,0.018,0.051,7,31007,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80908925027372e-45,0.0,0.0,0.0
gs_01,0.018,0.051,8,31008,4.0,1.0,4.0,4.0,4.0,4.0,0.12109375,0.166015625,0.166015625,0.12109375,4.0,0.0579713265775507,2.132771358112889e-06,2.5949373830566266e-08,0.0780939906835556,0.010532930493354797,0.006041265092790127,0.0018787995213642716
gs_01,0.018,0.051,9,31009,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.248418810414265e-26,1.6262726624104848e-48,2.252264924672188e-48,5.2850210462348243e-17,2.9200286191463513e-33,1.1641099635410621e-33,1.4470578822687178e-34
