regime_id,coarse_dt,fine_dt,mean_relative_field_rmse,max_relative_field_rmse
gs_01,1.0,0.5,0.25,1.0
gs_02,1.0,0.5,0.6147538423538208,1.054762840270996
gs_03,1.0,0.5,0.01925988309085369,0.025385556742548943
gs_04,1.0,0.5,0.014664369635283947,0.04625776782631874
gs_05,1.0,0.5,0.010073462501168251,0.018995394930243492
gs_06,1.0,0.5,0.01112707331776619,0.03448840230703354
gs_07,1.0,0.5,0.001052945968694985,0.0015474010724574327
gs_08,1.0,0.5,0.002686518244445324,0.004187969025224447
gs_09,1.0,0.5,0.00276983343064785,0.007563118822872639
gs_10,1.0,0.5,0.0018986966460943222,0.006370137445628643
gs_11,1.0,0.5,0.0007514107855968177,0.0016726736212149262
gs_12,1.0,0.5,0.0009637331240810454,0.0026927844155579805
gs_13,1.0,0.5,0.0,0.0
gs_14,1.0,0.5,0.1553230732679367,0.5790480971336365
gs_15,1.0,0.5,0.04053683951497078,0.0801606997847557
gs_16,1.0,0.5,0.009361708536744118,0.019571689888834953
gs_17,1.0,0.5,0.005232676863670349,0.009215849451720715
gs_18,1.0,0.5,0.010219189338386059,0.03336919844150543
gs_19,1.0,0.5,0.0025660479441285133,0.003960273694247007
gs_20,1.0,0.5,0.006581458263099194,0.0204609502106905
grid_F0220_k0550,1.0,0.5,0.7663519382476807,1.2026166915893555
grid_F0220_k0570,1.0,0.5,37180833792.0,148723335168.0
grid_F0220_k0590,1.0,0.5,0.3243826627731323,1.2175980806350708
grid_F0220_k0630,1.0,0.5,0.0,0.0
grid_F0220_k0640,1.0,0.5,0.0,0.0
grid_F0220_k0650,1.0,0.5,0.0,0.0
grid_F0260_k0570,1.0,0.5,0.00974058173596859,0.02027258649468422
grid_F0260_k0590,1.0,0.5,0.16374064981937408,0.5399059653282166
grid_F0260_k0630,1.0,0.5,0.2627415657043457,0.8839030265808105
grid_F0260_k0640,1.0,0.5,0.0,0.0
grid_F0260_k0650,1.0,0.5,0.0,0.0
grid_F0300_k0570,1.0,0.5,0.02043585665524006,0.06993681192398071
grid_F0300_k0590,1.0,0.5,0.003277626819908619,0.005004679784178734
grid_F0300_k0610,1.0,0.5,0.008393230848014355,0.01690356247127056
grid_F0300_k0630,1.0,0.5,0.01610727421939373,0.030803125351667404
grid_F0300_k0640,1.0,0.5,0.015219400636851788,0.03339735046029091
grid_F0300_k0650,1.0,0.5,0.00015253314631991088,0.0006101325852796435
grid_F0340_k0550,1.0,0.5,0.0019148244755342603,0.003384229727089405
grid_F0340_k0570,1.0,0.5,0.005939316004514694,0.017489304766058922
grid_F0340_k0590,1.0,0.5,0.06591879576444626,0.25720909237861633
grid_F0340_k0610,1.0,0.5,0.007091976236552,0.011823879554867744
grid_F0340_k0640,1.0,0.5,0.005321190692484379,0.010137343779206276
grid_F0340_k0650,1.0,0.5,0.008967800997197628,0.031119640916585922
grid_F0380_k0550,1.0,0.5,3.4980116652150173e-06,4.559300577966496e-06
grid_F0380_k0570,1.0,0.5,0.0005474979989230633,0.0009923488833010197
grid_F0380_k0590,1.0,0.5,0.0031458474695682526,0.004915089346468449
grid_F0380_k0630,1.0,0.5,0.009639298543334007,0.024554146453738213
grid_F0380_k0650,1.0,0.5,0.0030510229989886284,0.007027840707451105
grid_F0420_k0550,1.0,0.5,1.9073750081588514e-06,2.624357421154855e-06
grid_F0420_k0570,1.0,0.5,3.8358593883458525e-06,4.281443580111954e-06
grid_F0420_k0610,1.0,0.5,0.01996489055454731,0.07621365040540695
grid_F0420_k0630,1.0,0.5,0.003155110403895378,0.00359973288141191
