observation_dimension,lp_feasible,lp_maximum_equality_residual,lp_status,central_lp_success,central_maximum_minimum_weight,central_minimum_weight_uniform_fraction,entropy_central_converged,entropy_equality_residual,target_source,target_standardized,target_physical,standardization_affine_roundtrip_error,minus_calibration_converged,plus_calibration_converged,maximum_standardized_calibration_residual,minimum_ess_fraction,hidden_morphology_effect,maximum_lambda_norm,pair_id,spot_regime,labyrinth_regime,spot_feed,spot_kill,labyrinth_feed,labyrinth_kill,endpoint_gate_pass,rejection_reasons,method_blind_passing_score
2,True,1.1102230246251565e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.003511179698958362,0.8988620029333406,True,9.103828801926284e-14,maximum_total_entropy,[-0.73563771 -0.97711761],[0.12850529 0.02765587],3.469446951953614e-18,True,True,4.551914400963142e-14,0.434902264777131,1.3375845083022055,0.34109579477711127,v6_F0280_k05950__v6_F0280_k05800,v6_F0280_k05950,v6_F0280_k05800,0.028,0.0595,0.028,0.058,True,,1.5379808509519155
2,True,1.1102230246251565e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.003556647022997606,0.9105016378873871,True,1.2212453270876722e-15,maximum_total_entropy,[-0.73590025 -0.99821619],[0.128502   0.02758649],3.469446951953614e-18,True,True,8.881784197001252e-16,0.3417223734273154,1.2099231866104379,0.22500186600441863,v6_F0280_k05950__v6_F0280_k05825,v6_F0280_k05950,v6_F0280_k05825,0.028,0.0595,0.028,0.05825,True,,1.3695342800238746
2,True,5.551115123125783e-17,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.001085643859331228,0.27792482798879437,True,5.551115123125783e-16,maximum_total_entropy,[1.18248797 0.92761977],[0.152558   0.03391929],0.0,True,True,8.881784197001252e-16,0.008057509532771744,2.0671805684770916,2.286616042671608,v6_F0280_k05950__v6_F0300_k05850,v6_F0280_k05950,v6_F0300_k05850,0.028,0.0595,0.03,0.0585,False,endpoint_ess,
2,True,1.1102230246251565e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0013807176057073138,0.35346370706107233,True,9.992007221626409e-16,maximum_total_entropy,[0.96900753 0.72739764],[0.14988102 0.03326089],0.0,True,True,3.3306690738754696e-16,0.01069390148770567,1.8901974444907192,2.063198693379568,v6_F0280_k05950__v6_F0300_k05875,v6_F0280_k05950,v6_F0300_k05875,0.028,0.0595,0.03,0.058750000000000004,False,endpoint_ess,
2,True,2.0816681711721685e-17,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0019255205589054486,0.49293326307979485,True,2.3869795029440866e-15,maximum_total_entropy,[0.53258494 0.32802281],[0.14440841 0.03194761],0.0,True,True,1.2212453270876722e-15,0.02179226490732148,1.5748648773407492,1.7344222357287307,v6_F0280_k05950__v6_F0300_k05925,v6_F0280_k05950,v6_F0300_k05925,0.028,0.0595,0.03,0.059250000000000004,False,endpoint_ess,
2,True,1.3322676295501878e-15,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0006564560080441875,0.168052738059312,True,6.8611782921834674e-12,maximum_total_entropy,[1.21392281 1.19481306],[0.15295218 0.03479791],0.0,True,True,3.4305891460917337e-12,0.007918836895647065,2.0308338203295833,2.7088258743656564,v6_F0280_k05950__v6_F0320_k05950,v6_F0280_k05950,v6_F0320_k05950,0.028,0.0595,0.032,0.0595,False,endpoint_ess,
2,True,1.1102230246251565e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0010857588665044307,0.27795426982513427,True,1.1102230246251565e-16,maximum_total_entropy,[0.97415542 0.97982216],[0.14994557 0.03409094],0.0,True,True,8.881784197001252e-16,0.010776569996409947,1.863376038592209,2.248242452110065,v6_F0280_k05950__v6_F0320_k05975,v6_F0280_k05950,v6_F0320_k05975,0.028,0.0595,0.032,0.05975,False,endpoint_ess,
2,True,4.163336342344337e-17,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0013652004958863244,0.34949132694689905,True,3.4416913763379853e-15,maximum_total_entropy,[0.76784099 0.78119509],[0.14735845 0.03343779],0.0,True,True,1.887379141862766e-15,0.01446870806002061,1.63746272751228,2.0269364490093618,v6_F0280_k05950__v6_F0320_k06000,v6_F0280_k05950,v6_F0320_k06000,0.028,0.0595,0.032,0.06,False,endpoint_ess,
2,True,2.7755575615628914e-17,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.002138129055587382,0.5473610382303697,True,3.885780586188048e-16,maximum_total_entropy,[0.41116076 0.4743335 ],[0.14288579 0.03242873],0.0,True,True,1.1102230246251565e-16,0.02520531051588349,1.4643418833967319,1.7961029419455972,v6_F0280_k05950__v6_F0320_k06025,v6_F0280_k05950,v6_F0320_k06025,0.028,0.0595,0.032,0.06025,False,endpoint_ess,
2,True,8.881784197001252e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.00016395641028003725,0.04197284103168954,False,2.417722466674377e-09,maximum_minimum_weight_lp,[0.90594003 1.36034253],[0.14909017 0.03534222],0.0,True,True,4.6851411639181606e-14,0.004421725543707466,2.8685503449225283,51.087464432004445,v6_F0280_k05950__v6_F0340_k06000,v6_F0280_k05950,v6_F0340_k06000,0.028,0.0595,0.034,0.06,False,endpoint_ess,
2,True,4.440892098500626e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.00037398384843643486,0.09573986519972733,True,1.1102230246251565e-15,maximum_total_entropy,[1.13771579 1.3996242 ],[0.15199657 0.03547139],0.0,True,True,6.661338147750939e-16,0.007763593186471936,2.2615380723080083,5.874337664039665,v6_F0280_k05950__v6_F0340_k06025,v6_F0280_k05950,v6_F0340_k06025,0.028,0.0595,0.034,0.06025,False,endpoint_ess,
2,True,8.881784197001252e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0007353614995493522,0.18825254388463417,True,2.220446049250313e-15,maximum_total_entropy,[1.02910897 1.26486559],[0.15063467 0.03502826],0.0,True,True,1.7763568394002505e-15,0.009025777245007307,1.8788497813949643,2.7553568764848344,v6_F0280_k05950__v6_F0340_k06050,v6_F0280_k05950,v6_F0340_k06050,0.028,0.0595,0.034,0.0605,False,endpoint_ess,
2,True,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0011204008898900108,0.28682262781184276,True,7.771561172376096e-16,maximum_total_entropy,[0.78938149 1.04318251],[0.14762856 0.03429929],0.0,True,True,4.440892098500626e-16,0.011947813900094612,1.6659550757939117,2.3147530843912016,v6_F0280_k05950__v6_F0340_k06075,v6_F0280_k05950,v6_F0340_k06075,0.028,0.0595,0.034,0.06075,False,endpoint_ess,
2,True,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0032254773820966772,0.8257222098167494,True,4.551914400963142e-14,maximum_total_entropy,[-1.55436502 -1.57921942],[0.1182387  0.02567595],3.469446951953614e-18,True,True,2.3092638912203256e-14,0.20921717866713027,1.8330540328816638,0.584370433001738,v6_F0280_k06025__v6_F0280_k05800,v6_F0280_k06025,v6_F0280_k05800,0.028,0.06025,0.028,0.058,True,,1.908444100565142
2,True,2.220446049250313e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0032653408548418738,0.8359272588395197,True,6.661338147750939e-16,maximum_total_entropy,[-1.55171601 -1.58232786],[0.11827191 0.02566573],3.469446951953614e-18,True,True,4.440892098500626e-16,0.12698308049227564,1.7176722966196676,0.8495272530615093,v6_F0280_k06025__v6_F0280_k05825,v6_F0280_k06025,v6_F0280_k05825,0.028,0.06025,0.028,0.05825,False,endpoint_ess,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0300_k05850,v6_F0280_k06025,v6_F0300_k05850,0.028,0.06025,0.03,0.0585,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0300_k05875,v6_F0280_k06025,v6_F0300_k05875,0.028,0.06025,0.03,0.058750000000000004,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0300_k05925,v6_F0280_k06025,v6_F0300_k05925,0.028,0.06025,0.03,0.059250000000000004,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0320_k05950,v6_F0280_k06025,v6_F0320_k05950,0.028,0.06025,0.032,0.0595,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0320_k05975,v6_F0280_k06025,v6_F0320_k05975,0.028,0.06025,0.032,0.05975,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0320_k06000,v6_F0280_k06025,v6_F0320_k06000,0.028,0.06025,0.032,0.06,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is Infeasible),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0320_k06025,v6_F0280_k06025,v6_F0320_k06025,0.028,0.06025,0.032,0.06025,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0340_k06000,v6_F0280_k06025,v6_F0340_k06000,0.028,0.06025,0.034,0.06,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0340_k06025,v6_F0280_k06025,v6_F0340_k06025,0.028,0.06025,0.034,0.06025,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0340_k06050,v6_F0280_k06025,v6_F0340_k06050,0.028,0.06025,0.034,0.0605,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,0.0,False,False,,,,,v6_F0280_k06025__v6_F0340_k06075,v6_F0280_k06025,v6_F0340_k06075,0.028,0.06025,0.034,0.06075,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,True,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0031339204899703153,0.8022836454324007,True,3.6191050156730853e-12,maximum_total_entropy,[-1.81014337 -1.77292335],[0.11503131 0.02503899],3.469446951953614e-18,True,True,1.8101076193488552e-12,0.17189671507992782,1.9014248440550499,0.7378724804990341,v6_F0280_k06050__v6_F0280_k05800,v6_F0280_k06050,v6_F0280_k05800,0.028,0.0605,0.028,0.058,False,endpoint_ess,
2,True,2.220446049250313e-16,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.003173456239116589,0.8124047972138467,True,2.2721824421978454e-12,maximum_total_entropy,[-1.80815189 -1.77598908],[0.11505629 0.02502891],3.469446951953614e-18,True,True,1.1368683772161603e-12,0.10011318077154789,1.7898053176677704,1.0126122542027431,v6_F0280_k06050__v6_F0280_k05825,v6_F0280_k06050,v6_F0280_k05825,0.028,0.0605,0.028,0.05825,False,endpoint_ess,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,3.469446951953614e-18,False,False,,,,,v6_F0280_k06050__v6_F0300_k05850,v6_F0280_k06050,v6_F0300_k05850,0.028,0.0605,0.03,0.0585,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,3.469446951953614e-18,False,False,,,,,v6_F0280_k06050__v6_F0300_k05875,v6_F0280_k06050,v6_F0300_k05875,0.028,0.0605,0.03,0.058750000000000004,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
2,False,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),False,,,False,,,,,3.469446951953614e-18,False,False,,,,,v6_F0280_k06050__v6_F0300_k05925,v6_F0280_k06050,v6_F0300_k05925,0.028,0.0605,0.03,0.059250000000000004,False,convex_hulls_disjoint;calibration_residual;endpoint_ess;hidden_morphology_effect,
