id,feed,kill,component_count_mean,component_count_std,background_component_count_mean,background_component_count_std,minority_component_count_mean,minority_component_count_std,phase_component_max_mean,phase_component_max_std,euler_characteristic_mean,euler_characteristic_std,absolute_euler_characteristic_mean,absolute_euler_characteristic_std,interface_length_mean,interface_length_std,area_fraction_mean,area_fraction_std,minkowski_area_mean,minkowski_area_std,minkowski_perimeter_mean,minkowski_perimeter_std,minkowski_euler_mean,minkowski_euler_std,anisotropy_mean,anisotropy_std,heldout_spectrum_1_mean,heldout_spectrum_1_std,heldout_spectrum_2_mean,heldout_spectrum_2_std,within_regime_diversity,pattern_presence_fraction,mean_timestep_relative_rmse,worst_timestep_relative_rmse,design_regime_gate_pass,design_regime_failure_reason,morphology_score,empirical_class
v6_F0280_k05800,0.028,0.058,2.28125,0.9856818084204356,1.3125,0.464420364012824,2.27734375,0.9887774066006573,2.28515625,0.9785615568722467,1.40234375,1.3627518205857603,1.40234375,1.3627518205857603,0.22582244873046875,0.025100042919866943,0.43886566162109375,0.04926160827618732,0.43886566162109375,0.04926160827618732,0.22582244873046875,0.025100042919866943,1.40234375,1.3627518205857603,0.3801698055265219,0.2072426046199229,3.264603627709508e-05,1.2566092443082179e-05,1.2861366175892177e-06,7.213561018490519e-07,0.10192470252513885,0.99609375,0.008873878046870232,0.011869221925735474,True,,-2.5145333395063734,labyrinth_like
v6_F0280_k05825,0.028,0.05825,2.66796875,1.2058311652215694,1.25390625,0.43609719077737885,2.66796875,1.2058311652215694,2.671875,1.1987534375014608,1.9609375,1.6868689815111053,1.9609375,1.6868689815111053,0.2264251708984375,0.020353676557415615,0.427001953125,0.0404533707836428,0.427001953125,0.0404533707836428,0.2264251708984375,0.020353676557415615,1.9609375,1.6868689815111053,0.39145532956171336,0.17686499254494156,3.641168803267836e-05,1.6812660022713422e-05,1.4625819033667033e-06,9.27747758791194e-07,0.10238014161586761,0.99609375,0.007523522712290287,0.008733883500099182,True,,-2.0611632116002134,labyrinth_like
v6_F0280_k05850,0.028,0.0585,3.1640625,1.4965442218134208,1.23828125,0.5956207628493612,3.16796875,1.4947979649044056,3.203125,1.5074163066547435,2.5703125,2.1298387815264603,2.65625,2.021211052227614,0.22556304931640625,0.021558391345456868,0.4164581298828125,0.045761033864765537,0.4164581298828125,0.045761033864765537,0.22556304931640625,0.021558391345456868,2.5703125,2.1298387815264603,0.3626355949538478,0.15356779806273266,4.0826516769582535e-05,2.0478693469454176e-05,1.6200571001874753e-06,1.105467785983489e-06,0.10305224359035492,0.99609375,0.017078224569559097,0.03563222289085388,True,,-1.3522828240966693,ambiguous
v6_F0280_k05875,0.028,0.058750000000000004,3.79296875,1.7646055424905123,1.16796875,0.5522763720968611,3.79296875,1.7646055424905123,3.82421875,1.7680052388241965,3.359375,2.29486852970436,3.421875,2.200211665396995,0.22369384765625,0.021706306249459576,0.3957252502441406,0.045951260792465115,0.3957252502441406,0.045951260792465115,0.22369384765625,0.021706306249459576,3.359375,2.29486852970436,0.33971110727988363,0.1470942664739032,4.4270449830923996e-05,2.1026044146654165e-05,1.697976390567551e-06,9.772361579039118e-07,0.10326404124498367,0.99609375,0.021417755633592606,0.0356067530810833,True,,-0.49591937948532605,ambiguous
v6_F0280_k05900,0.028,0.059000000000000004,4.37890625,1.9161297734818301,1.08984375,0.286517930520594,4.3515625,1.914198111942624,4.3828125,1.9102246813747679,4.12109375,2.2537516380645033,4.12109375,2.2537516380645033,0.22255706787109375,0.019349777276428726,0.3838348388671875,0.03431959055348729,0.3838348388671875,0.03431959055348729,0.22255706787109375,0.019349777276428726,4.12109375,2.2537516380645033,0.3104915138330259,0.1688202687883917,5.045096318877846e-05,2.2126338906465887e-05,1.8190692478189267e-06,1.0715059551566225e-06,0.10407452285289764,1.0,0.023815050721168518,0.047711294144392014,True,,0.2623127755285114,ambiguous
v6_F0280_k05925,0.028,0.05925,5.28125,1.9053588000328823,1.0234375,0.15158476564770812,5.28125,1.9053588000328823,5.28515625,1.8954885486953736,5.1953125,2.0505708196193835,5.1953125,2.0505708196193835,0.2205657958984375,0.020849627312495154,0.3619537353515625,0.03800965769153417,0.3619537353515625,0.03800965769153417,0.2205657958984375,0.020849627312495154,5.1953125,2.0505708196193835,0.23663227406739612,0.17164740116604743,5.9321513965904806e-05,2.2785537462002576e-05,1.9090943701741595e-06,1.0418132101874808e-06,0.10480715334415436,0.99609375,0.11540208011865616,0.4038648009300232,False,mean_timestep_convergence;worst_timestep_convergence,nan,rejected_unstable
v6_F0280_k05950,0.028,0.0595,5.79296875,1.6850290551401974,1.0078125,0.08821486691651266,5.79296875,1.6850290551401974,5.79296875,1.6850290551401974,5.7421875,1.776738999005829,5.7421875,1.776738999005829,0.2180938720703125,0.014983334414850598,0.3474159240722656,0.029274877879415226,0.3474159240722656,0.029274877879415226,0.2180938720703125,0.014983334414850598,5.7421875,1.776738999005829,0.1898367363910965,0.14642723515698147,6.328366958109773e-05,1.965180325042788e-05,1.9870959450820733e-06,1.1133615536535996e-06,0.10479352623224258,1.0,0.02634301781654358,0.05388731509447098,True,,2.264383363772607,spot_like
v6_F0280_k05975,0.028,0.05975,6.3125,1.281849154503743,1.00390625,0.0625,6.3125,1.281849154503743,6.3125,1.281849154503743,6.29296875,1.329937848687881,6.29296875,1.329937848687881,0.21539306640625,0.01301302806806432,0.3332023620605469,0.022804792812348113,0.3332023620605469,0.022804792812348113,0.21539306640625,0.01301302806806432,6.29296875,1.329937848687881,0.13781902883018943,0.10631326994820033,7.298130825186672e-05,1.802704749981663e-05,2.1663462356462e-06,7.537189671768065e-07,0.10619773715734482,1.0,0.18389272689819336,0.669625997543335,False,mean_timestep_convergence;worst_timestep_convergence,nan,rejected_unstable
v6_F0280_k06000,0.028,0.06,6.6015625,0.9728860945358282,1.00390625,0.0625,6.6015625,0.9728860945358282,6.6015625,0.9728860945358282,6.5859375,1.009968694913799,6.5859375,1.009968694913799,0.2106781005859375,0.01213238320032382,0.3194618225097656,0.019438807935982978,0.3194618225097656,0.019438807935982978,0.2106781005859375,0.01213238320032382,6.5859375,1.009968694913799,0.11265080908255967,0.08484161685170573,8.346631675578878e-05,2.2366196418390788e-05,2.357216668539034e-06,7.11796784356149e-07,0.10730160772800446,1.0,0.13375672698020935,0.45543453097343445,False,mean_timestep_convergence;worst_timestep_convergence,nan,rejected_unstable
v6_F0280_k06025,0.028,0.06025,6.59765625,0.9194171080785103,1.0,0.0,6.59765625,0.9194171080785103,6.59765625,0.9194171080785103,6.58984375,0.9454402309993778,6.58984375,0.9454402309993778,0.2060546875,0.011802701740802947,0.3111457824707031,0.01913924889657132,0.3111457824707031,0.01913924889657132,0.2060546875,0.011802701740802947,6.58984375,0.9454402309993778,0.10160939033131022,0.0703932574426761,9.469697668350565e-05,2.687771485610969e-05,2.514637880137448e-06,6.970969985326861e-07,0.10801464319229126,1.0,0.021289078518748283,0.05176669359207153,True,,3.850764453229911,spot_like
