candidate_rank,pair_id,observation_dimension,same_initial_condition_coupling_mass,all_time_targets_hull_feasible,all_time_calibrations_converged,feasible_time_count,minimum_interior_ess_fraction,maximum_interior_standardized_residual,phase3_overlap_gate_pass
1,v6_F0280_k06025__v6_F0280_k05800,2,0.7913766520799983,False,False,4,0.0035014946858996517,5.1781690046937e-11,False
2,v6_F0300_k06100__v6_F0280_k05800,2,0.7364311022899973,False,False,3,0.011787838288070906,5.108424794286748e-11,False
3,v6_F0300_k06075__v6_F0280_k05800,2,0.759642719168636,False,False,4,0.0009714860188026077,5.1422643920773226e-11,False
4,v6_F0300_k06050__v6_F0280_k05800,3,0.7159911723840064,False,False,3,0.013794533310936727,6.316600575928533e-10,False
5,v6_F0300_k06050__v6_F0280_k05800,2,0.7909675591039851,False,False,5,0.0013127531185083388,9.515721544062217e-13,False
6,v6_F0280_k05950__v6_F0280_k05800,3,0.6930046200025693,False,False,7,0.004769720355063567,1.5675660769431943e-10,False
7,v6_F0280_k05950__v6_F0280_k05800,2,0.8408751417943603,False,False,8,0.005742736005881275,6.198497271014958e-11,False
8,v6_F0280_k05950__v6_F0280_k05825,3,0.7293425715080065,False,False,8,0.0015734584644468614,1.273492422626532e-11,False
9,v6_F0300_k06025__v6_F0280_k05800,3,0.78442205776678,False,False,5,0.008782286332783315,7.778161448257492e-11,False
10,v6_F0300_k06050__v6_F0280_k05825,3,0.7207847232615225,False,False,3,0.008955570425099351,2.2821744494194718e-12,False
11,v6_F0280_k05950__v6_F0280_k05825,2,0.863057582726186,False,False,8,0.003941887697590431,9.207601348037997e-11,False
12,v6_F0300_k06025__v6_F0280_k05800,2,0.8185446527726963,False,False,6,0.006167173277397082,3.7844516409535345e-09,False
13,v6_F0300_k06050__v6_F0280_k05825,2,0.7717203448110076,False,False,4,0.0053547074175501015,4.404043796313317e-11,False
14,v6_F0300_k06025__v6_F0280_k05825,3,0.7850391900406598,True,False,9,0.004087889830036596,1.546326289236788e-09,False
