candidate_rank,pair_id,observation_dimension,coupling,construction,transport_cost_mean_squared_per_pixel,transport_displacement_rms,maximum_marginal_residual,same_initial_condition_mass,positive_edge_count,solver,status,message,iterations
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,maximum same-index mass with independent residual,0.01811712441460406,0.13459986781049996,8.326672684688674e-17,0.7913766520799983,4096,,,,
1,v6_F0280_k06025__v6_F0280_k05800,2,geometric_l2_ot,,0.012922909272873415,0.11367897462975911,2.8189256484623115e-17,0.06756946830728165,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1066
1,v6_F0280_k06025__v6_F0280_k05800,2,independent,outer product of calibrated endpoint marginals,0.02337443564611883,0.15288700286851997,9.71445146547012e-17,0.0039345728848618824,65536,,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,maximal_same_ic,maximum same-index mass with independent residual,0.020083915753288335,0.1417177326705742,5.551115123125783e-17,0.7364311022899973,4976,,,,
2,v6_F0300_k06100__v6_F0280_k05800,2,geometric_l2_ot,,0.013645873917294552,0.11681555511700722,6.375108774214766e-17,0.05257874672587552,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1128
2,v6_F0300_k06100__v6_F0280_k05800,2,independent,outer product of calibrated endpoint marginals,0.02466758453265172,0.15705917525777258,4.163336342344337e-17,0.0038932994293241025,65536,,,,
3,v6_F0300_k06075__v6_F0280_k05800,2,maximal_same_ic,maximum same-index mass with independent residual,0.019457901824061104,0.1394915833448782,2.0816681711721685e-17,0.759642719168636,6439,,,,
3,v6_F0300_k06075__v6_F0280_k05800,2,geometric_l2_ot,,0.01309969159767065,0.11445388415283532,1.3877787807814457e-17,0.06899573731574318,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1067
3,v6_F0300_k06075__v6_F0280_k05800,2,independent,outer product of calibrated endpoint marginals,0.02438762331917228,0.15616537170311567,2.7755575615628914e-17,0.0038870084825066843,65536,,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,maximum same-index mass with independent residual,0.01880922501183039,0.1371467280390983,3.469446951953614e-17,0.7159911723840064,14791,,,,
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,,0.012795470018733386,0.11311706334029975,1.9081958235744878e-17,0.10404014057009933,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1006
4,v6_F0300_k06050__v6_F0280_k05800,3,independent,outer product of calibrated endpoint marginals,0.02393762454953044,0.15471788697345384,4.163336342344337e-17,0.0038788947364042565,65536,,,,
5,v6_F0300_k06050__v6_F0280_k05800,2,maximal_same_ic,maximum same-index mass with independent residual,0.018031984667766343,0.1342832255636062,4.85722573273506e-17,0.7909675591039851,7036,,,,
5,v6_F0300_k06050__v6_F0280_k05800,2,geometric_l2_ot,,0.012242011807916616,0.11064362524753342,5.117434254131581e-17,0.118678989439368,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1159
5,v6_F0300_k06050__v6_F0280_k05800,2,independent,outer product of calibrated endpoint marginals,0.02393701371701468,0.15471591294050746,1.3877787807814457e-17,0.0038704419434571194,65536,,,,
6,v6_F0280_k05950__v6_F0280_k05800,3,maximal_same_ic,maximum same-index mass with independent residual,0.016414951125817527,0.12812084578950267,2.0816681711721685e-17,0.6930046200025693,16351,,,,
6,v6_F0280_k05950__v6_F0280_k05800,3,geometric_l2_ot,,0.010996038762043702,0.104861998655584,7.806255641895632e-18,0.13187248058213644,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1004
6,v6_F0280_k05950__v6_F0280_k05800,3,independent,outer product of calibrated endpoint marginals,0.022028017395104262,0.1484183863108081,1.734723475976807e-17,0.004644317413254503,65536,,,,
