step,training_mse_per_pixel,gradient_norm
1,0.6394110918045044,12.667522430419922
50,0.037800997495651245,0.06251069903373718
100,0.04039908945560455,0.02640235610306263
150,0.03777555376291275,0.07336301356554031
200,0.03983122110366821,0.025422926992177963
250,0.03867845982313156,0.02754781022667885
300,0.031837768852710724,0.05137249827384949
350,0.03684115409851074,0.07316232472658157
400,0.03536089509725571,0.03224540501832962
450,0.03753143548965454,0.04695818945765495
500,0.036957018077373505,0.04788845777511597
550,0.0333918035030365,0.10036006569862366
600,0.033329613506793976,0.11205367743968964
650,0.03586767986416817,0.187671959400177
700,0.03195773810148239,0.15340334177017212
750,0.03169361501932144,0.04595153406262398
800,0.03171619027853012,0.3311976194381714
850,0.027471544221043587,0.16540098190307617
900,0.03079119883477688,0.3971313536167145
950,0.02723594196140766,0.5365822315216064
1000,0.020994804799556732,0.20849266648292542
1050,0.02574983239173889,0.22164158523082733
1100,0.022840378805994987,0.45284923911094666
1150,0.01654192805290222,0.12501269578933716
1200,0.022154351696372032,0.24573327600955963
1250,0.02100095897912979,0.5457520484924316
1300,0.01900334656238556,0.12302499264478683
1350,0.02151249162852764,0.4356767535209656
1400,0.018954183906316757,0.1395803987979889
1450,0.021280843764543533,0.0661453977227211
1500,0.0190030075609684,0.2973642945289612
1550,0.01579638198018074,0.15726391971111298
1600,0.018722493201494217,0.19405655562877655
1650,0.017267007380723953,0.15108877420425415
1700,0.018406344577670097,0.06590177118778229
1750,0.019811175763607025,0.07446262985467911
1800,0.016429409384727478,0.10721678286790848
1850,0.01523610483855009,0.11248280853033066
1900,0.015449142083525658,0.08491144329309464
1950,0.01726633682847023,0.13267122209072113
2000,0.01515112817287445,0.09682542085647583
2050,0.01729048416018486,0.030621426180005074
2100,0.01882993057370186,0.07159058749675751
2150,0.015865754336118698,0.04988415166735649
2200,0.01742033287882805,0.06119858846068382
2250,0.016880718991160393,0.12018905580043793
2300,0.017162499949336052,0.11370211839675903
2350,0.016859866678714752,0.05660790577530861
2400,0.01661161333322525,0.05172055587172508
2450,0.01859569549560547,0.04588833451271057
2500,0.017370687797665596,0.04488812014460564
2550,0.015192368999123573,0.05268533155322075
2600,0.016849573701620102,0.06211083009839058
2650,0.015616312623023987,0.05896323174238205
2700,0.016686558723449707,0.040519967675209045
2750,0.015707924962043762,0.11369498074054718
2800,0.014692571014165878,0.03465089201927185
2850,0.015551113523542881,0.10599691420793533
2900,0.016292579472064972,0.09045219421386719
2950,0.015072183683514595,0.050393491983413696
3000,0.015142520889639854,0.10941517353057861
3050,0.014116637408733368,0.11184806376695633
3100,0.01476308237761259,0.08360164612531662
3150,0.014161782339215279,0.043578244745731354
3200,0.013630026951432228,0.05574123188853264
3250,0.012618564069271088,0.0556921549141407
3300,0.014584536664187908,0.04668472707271576
3350,0.013714997097849846,0.05041716992855072
3400,0.01278453879058361,0.028934471309185028
3450,0.015349981375038624,0.07944357395172119
3500,0.0149073526263237,0.04105294868350029
3550,0.016376981511712074,0.08403823524713516
3600,0.015964621677994728,0.052972983568906784
3650,0.014890678226947784,0.0862589180469513
3700,0.015278487466275692,0.11976877599954605
3750,0.012396879494190216,0.09599990397691727
3800,0.01335844211280346,0.12823894619941711
3850,0.013243863359093666,0.12101314961910248
3900,0.015334298834204674,0.1145218014717102
3950,0.014187410473823547,0.10126737505197525
4000,0.012395480647683144,0.04403391480445862
