model,t,fm_mse_per_pixel,zero_predictor_mse_per_pixel,normalized_fm_mse,target_velocity_rms,predicted_velocity_rms,cosine_alignment,low_frequency_error_energy,low_frequency_target_energy,low_frequency_error_fraction,middle_frequency_error_energy,middle_frequency_target_energy,middle_frequency_error_fraction,high_frequency_error_energy,high_frequency_target_energy,high_frequency_error_fraction
v8_control_C,0.0,0.06406402587890625,0.06321433931589127,1.0134413579610313,0.25142461955005774,0.1160995285962882,0.21632905314178114,0.2678258419036865,0.37150922417640686,0.7209130338484208,0.06396345049142838,0.05212042108178139,1.2272243616578666,0.05304789915680885,0.04849547520279884,1.093873169300283
v8_control_C,0.05,0.010589363053441048,0.062196679413318634,0.170256083657956,0.24939262100815782,0.22296370644268393,0.9110619632193065,0.16980211436748505,0.3733847737312317,0.454764431529046,0.017100101336836815,0.051253169775009155,0.3336398785070803,0.0008081802516244352,0.04729435592889786,0.01708830230904191
v8_control_C,0.1,0.007856616750359535,0.05880416929721832,0.13360645757359904,0.2424957098532226,0.22667922104546429,0.9308111297832349,0.12457822263240814,0.3709542453289032,0.335831774945592,0.01273308601230383,0.04820607230067253,0.26413863242963664,0.0006674577598460019,0.04378823563456535,0.01524285576190531
v8_control_C,0.15,0.006579269655048847,0.05368568003177643,0.12255166836211431,0.23170170485297778,0.21407550960185204,0.9368107247197385,0.10490676015615463,0.37033262848854065,0.2832771192328272,0.010407972149550915,0.04217115789651871,0.2468030917028747,0.0005727895186282694,0.03858945146203041,0.014843163012873044
v8_control_C,0.2,0.00569572951644659,0.046727851033210754,0.12189153557261773,0.21616625785078197,0.20264889783912485,0.9370745321739119,0.09244366735219955,0.3595191538333893,0.25713141112654153,0.008516701869666576,0.03568417951464653,0.2386688438827886,0.0004957753699272871,0.031756553798913956,0.015611749721540696
v8_control_C,0.25,0.0055097308941185474,0.03941446170210838,0.13978957611449042,0.1985307575719903,0.18438987389068806,0.9274761566984995,0.09309995174407959,0.3561437726020813,0.2614111460207953,0.007390048820525408,0.028490131720900536,0.2593897737265996,0.0004316953127272427,0.02420865371823311,0.017832272614238972
v8_control_C,0.3,0.005308076739311218,0.031984612345695496,0.16595720097966363,0.17884242322697233,0.1629786566834791,0.9132615487530973,0.09358486533164978,0.3497636020183563,0.26756604973075,0.006151146255433559,0.02074511907994747,0.29651053010244444,0.0003775946388486773,0.016778098419308662,0.022505210627095366
v8_control_C,0.35,0.0053611984476447105,0.024797476828098297,0.21619935305554464,0.15747214619766348,0.13945088050809817,0.885325174201131,0.09822732955217361,0.3331071138381958,0.29488211290463995,0.00529160350561142,0.014007685706019402,0.37776429430719627,0.0003447401977609843,0.010023651644587517,0.034392675442500444
v8_control_C,0.4,0.006092023104429245,0.019579747691750526,0.311138999354725,0.13992765163380155,0.11788999284305546,0.8300696847628424,0.11714160442352295,0.33073824644088745,0.35418221413488554,0.004792315419763327,0.008713205344974995,0.5500060230449073,0.0003099837340414524,0.004665323533117771,0.0664442094617808
v8_control_C,0.45,0.006648647598922253,0.016120173037052155,0.4124426942341352,0.1269652434213874,0.0985461978378002,0.7665828167503926,0.1320350617170334,0.3268742263317108,0.40393231120964757,0.004289696924388409,0.005235129036009312,0.8194061492815473,0.00027889461489394307,0.0012309470912441611,0.22656913272531848
v8_control_C,0.5,0.007712136954069138,0.0155321154743433,0.4965284327694073,0.12462790808780873,0.0894701071198904,0.7096057539702487,0.15791597962379456,0.3395306468009949,0.4651008122879464,0.003993924241513014,0.003977319225668907,1.00417492660306,0.00024056155234575272,4.4960084778722376e-05,5.350558245824303
